Freq	gain	phase
1.00000000000000e-01	5.85473453922298e+01	-1.79901887845948e+02
1.07977516232771e-01	5.85473472090125e+01	-1.79909184488421e+02
1.16591440117983e-01	5.85473487666536e+01	-1.79915943163532e+02
1.25892541179417e-01	5.85473501028014e+01	-1.79922207223407e+02
1.35935639087853e-01	5.85473512501954e+01	-1.79928020029592e+02
1.46779926762207e-01	5.85473522333852e+01	-1.79933403380941e+02
1.58489319246111e-01	5.85473530765383e+01	-1.79938393470490e+02
1.71132830416178e-01	5.85473538006242e+01	-1.79943026504614e+02
1.84784979742229e-01	5.85473544207365e+01	-1.79947317131133e+02
1.99526231496888e-01	5.85473549522293e+01	-1.79951294396453e+02
2.15443469003188e-01	5.85473554084194e+01	-1.79954987364985e+02
2.32630506715363e-01	5.85473558024234e+01	-1.79958439503156e+02
2.51188643150958e-01	5.85473561363497e+01	-1.79961608005555e+02
2.71227257933203e-01	5.85473564241820e+01	-1.79964565148391e+02
2.92864456462524e-01	5.85473566708602e+01	-1.79967311322434e+02
3.16227766016838e-01	5.85473568821396e+01	-1.79969861328799e+02
3.41454887383360e-01	5.85473570641584e+01	-1.79972244381414e+02
3.68694506451958e-01	5.85473572200621e+01	-1.79974460962915e+02
3.98107170553497e-01	5.85473573527603e+01	-1.79976511591989e+02
4.29866234708228e-01	5.85473574684123e+01	-1.79978454355438e+02
4.64158883361278e-01	5.85473575670840e+01	-1.79980261088950e+02
5.01187233627272e-01	5.85473576507082e+01	-1.79981932438648e+02
5.41169526546464e-01	5.85473577224383e+01	-1.79983497864896e+02
5.84341413373518e-01	5.85473577848650e+01	-1.79984986881901e+02
6.30957344480193e-01	5.85473578389100e+01	-1.79986400297623e+02
6.81292069057961e-01	5.85473578832428e+01	-1.79987681454030e+02
7.35642254459641e-01	5.85473579232193e+01	-1.79988946348278e+02
7.94328234724281e-01	5.85473579562709e+01	-1.79990109699671e+02
8.57695898590894e-01	5.85473579850321e+01	-1.79991230129698e+02
9.26118728128793e-01	5.85473580083023e+01	-1.79992251287922e+02
1.00000000000000e+00	5.85473580298224e+01	-1.79993289503987e+02
1.07977516232771e+00	5.85473580482065e+01	-1.79994288621033e+02
1.16591440117983e+00	5.85473580637880e+01	-1.79995250119842e+02
1.25892541179417e+00	5.85473580756869e+01	-1.79996118069528e+02
1.35935639087853e+00	5.85473580866414e+01	-1.79997009253024e+02
1.46779926762207e+00	5.85473580966392e+01	-1.79997925532171e+02
1.58489319246111e+00	5.85473581037934e+01	-1.79998753858690e+02
1.71132830416178e+00	5.85473581102758e+01	-1.79999611460118e+02
1.84784979742229e+00	5.85473581160673e+01	1.79999499321493e+02
1.99526231496888e+00	5.85473581196587e+01	1.79998691015775e+02
2.15443469003188e+00	5.85473581241388e+01	1.79997730777021e+02
2.32630506715363e+00	5.85473581266086e+01	1.79996845774307e+02
2.51188643150958e+00	5.85473581273491e+01	1.79996032825944e+02
2.71227257933203e+00	5.85473581276667e+01	1.79995173438750e+02
2.92864456462524e+00	5.85473581275142e+01	1.79994263903871e+02
3.16227766016838e+00	5.85473581268366e+01	1.79993300216886e+02
3.41454887383360e+00	5.85473581255699e+01	1.79992278054209e+02
3.68694506451957e+00	5.85473581236395e+01	1.79991192747603e+02
3.98107170553497e+00	5.85473581209582e+01	1.79990039256669e+02
4.29866234708228e+00	5.85473581187490e+01	1.79988582023073e+02
4.64158883361278e+00	5.85473581129213e+01	1.79987505518787e+02
5.01187233627272e+00	5.85473581073095e+01	1.79986113050823e+02
5.41169526546464e+00	5.85473580993869e+01	1.79984858000531e+02
5.84341413373517e+00	5.85473580901497e+01	1.79983502854720e+02
6.30957344480193e+00	5.85473580813207e+01	1.79981579394182e+02
6.81292069057961e+00	5.85473580687619e+01	1.79979999459060e+02
7.35642254459641e+00	5.85473580541191e+01	1.79978293505263e+02
7.94328234724281e+00	5.85473580370466e+01	1.79976451478084e+02
8.57695898590894e+00	5.85473580185145e+01	1.79974002288689e+02
