rl	V(vo)	I(RL)
1.000000000000000e-03	4.280170e-04	4.280170e-01
1.011579454259899e-03	4.329743e-04	4.280181e-01
1.023292992280754e-03	4.379891e-04	4.280192e-01
1.035142166679344e-03	4.430619e-04	4.280204e-01
1.047128548050900e-03	4.481935e-04	4.280215e-01
1.059253725177289e-03	4.533846e-04	4.280227e-01
1.071519305237607e-03	4.586358e-04	4.280238e-01
1.083926914021204e-03	4.639478e-04	4.280250e-01
1.096478196143186e-03	4.693214e-04	4.280262e-01
1.109174815262402e-03	4.747573e-04	4.280274e-01
1.122018454301964e-03	4.802560e-04	4.280287e-01
1.135010815672316e-03	4.858186e-04	4.280299e-01
1.148153621496884e-03	4.914455e-04	4.280311e-01
1.161448613840344e-03	4.971377e-04	4.280324e-01
1.174897554939531e-03	5.028957e-04	4.280337e-01
1.188502227437020e-03	5.087206e-04	4.280350e-01
1.202264434617414e-03	5.146128e-04	4.280363e-01
1.216186000646369e-03	5.205734e-04	4.280376e-01
1.230268770812383e-03	5.266030e-04	4.280390e-01
1.244514611771387e-03	5.327025e-04	4.280404e-01
1.258925411794169e-03	5.388726e-04	4.280417e-01
1.273503081016663e-03	5.451142e-04	4.280431e-01
1.288249551693136e-03	5.514282e-04	4.280445e-01
1.303166778452301e-03	5.578152e-04	4.280460e-01
1.318256738556409e-03	5.642764e-04	4.280474e-01
1.333521432163326e-03	5.708123e-04	4.280488e-01
1.348962882591656e-03	5.774240e-04	4.280503e-01
1.364583136588927e-03	5.841123e-04	4.280518e-01
1.380384264602887e-03	5.908781e-04	4.280533e-01
1.396368361055940e-03	5.977222e-04	4.280549e-01
1.412537544622757e-03	6.046458e-04	4.280564e-01
1.428893958511106e-03	6.116494e-04	4.280580e-01
1.445439770745931e-03	6.187343e-04	4.280595e-01
1.462177174456721e-03	6.259012e-04	4.280611e-01
1.479108388168211e-03	6.331512e-04	4.280628e-01
1.496235656094437e-03	6.404852e-04	4.280644e-01
1.513561248436212e-03	6.479042e-04	4.280660e-01
1.531087461682034e-03	6.554091e-04	4.280677e-01
1.548816618912485e-03	6.630010e-04	4.280694e-01
1.566751070108153e-03	6.706809e-04	4.280711e-01
1.584893192461118e-03	6.784498e-04	4.280729e-01
1.603245390690046e-03	6.863087e-04	4.280746e-01
1.621810097358935e-03	6.942586e-04	4.280764e-01
1.640589773199544e-03	7.023007e-04	4.280782e-01
1.659586907437566e-03	7.104360e-04	4.280800e-01
1.678804018122565e-03	7.186655e-04	4.280818e-01
1.698243652461749e-03	7.269904e-04	4.280837e-01
1.717908387157594e-03	7.354118e-04	4.280856e-01
1.737800828749381e-03	7.439308e-04	4.280875e-01
1.757923613958698e-03	7.525485e-04	4.280894e-01
1.778279410038929e-03	7.612660e-04	4.280913e-01
1.798870915128794e-03	7.700846e-04	4.280933e-01
1.819700858609990e-03	7.790053e-04	4.280953e-01
1.840772001468962e-03	7.880295e-04	4.280973e-01
1.862087136662874e-03	7.971583e-04	4.280993e-01
1.883649089489808e-03	8.063928e-04	4.281014e-01
1.905460717963254e-03	8.157344e-04	4.281035e-01
1.927524913190943e-03	8.251842e-04	4.281056e-01
1.949844599758053e-03	8.347435e-04	4.281077e-01
1.972422736114861e-03	8.444136e-04	4.281099e-01
1.995262314968888e-03	8.541959e-04	4.281121e-01
2.018366363681569e-03	8.640914e-04	4.281143e-01
2.041737944669538e-03	8.741017e-04	4.281165e-01
2.065380155810538e-03	8.842280e-04	4.281188e-01
2.089296130854048e-03	8.944717e-04	4.281210e-01
2.113489039836656e-03	9.048340e-04	4.281234e-01
2.137962089502242e-03	9.153165e-04	4.281257e-01
2.162718523727030e-03	9.259204e-04	4.281281e-01
2.187761623949562e-03	9.366474e-04	4.281304e-01
2.213094709605648e-03	9.474986e-04	4.281329e-01
2.238721138568350e-03	9.584756e-04	4.281353e-01
2.264644307593070e-03	9.695798e-04	4.281378e-01
2.290867652767784e-03	9.808127e-04	4.281403e-01
2.317394649968490e-03	9.921759e-04	4.281428e-01
2.344228815319934e-03	1.003671e-03	4.281454e-01
2.371373705661667e-03	1.015299e-03	4.281480e-01
2.398832919019503e-03	1.027062e-03	4.281506e-01
2.426610095082428e-03	1.038961e-03	4.281532e-01
2.454708915685043e-03	1.050998e-03	4.281560e-01
2.483133105295584e-03	1.063175e-03	4.281587e-01
2.511886431509593e-03	1.075493e-03	4.281614e-01
2.540972705549318e-03	1.087953e-03	4.281642e-01
2.570395782768878e-03	1.100559e-03	4.281670e-01
2.600159563165286e-03	1.113310e-03	4.281698e-01
2.630267991895396e-03	1.126209e-03	4.281727e-01
2.660725059798825e-03	1.139258e-03	4.281756e-01
2.691534803926931e-03	1.152458e-03	4.281786e-01
2.722701308077928e-03	1.165811e-03	4.281816e-01
2.754228703338183e-03	1.179318e-03	4.281846e-01
2.786121168629787e-03	1.192983e-03	4.281876e-01
2.818382931264471e-03	1.206805e-03	4.281907e-01
2.851018267503926e-03	1.220788e-03	4.281938e-01
2.884031503126624e-03	1.234934e-03	4.281970e-01
2.917427014001185e-03	1.249243e-03	4.282002e-01
2.951209226666404e-03	1.263718e-03	4.282034e-01
2.985382618917979e-03	1.278361e-03	4.282067e-01
3.019951720402036e-03	1.293173e-03	4.282100e-01
3.054921113215533e-03	1.308158e-03	4.282133e-01
3.090295432513611e-03	1.323316e-03	4.282167e-01
3.126079367123976e-03	1.338650e-03	4.282201e-01
3.162277660168401e-03	1.354162e-03	4.282236e-01
3.198895109691419e-03	1.369853e-03	4.282271e-01
3.235936569296305e-03	1.385727e-03	4.282306e-01
3.273406948788405e-03	1.401785e-03	4.282342e-01
3.311311214825934e-03	1.418029e-03	4.282378e-01
3.349654391578300e-03	1.434461e-03	4.282415e-01
3.388441561392049e-03	1.451084e-03	4.282452e-01
3.427677865464528e-03	1.467899e-03	4.282489e-01
3.467368504525341e-03	1.484910e-03	4.282527e-01
3.507518739525706e-03	1.502118e-03	4.282565e-01
3.548133892335781e-03	1.519525e-03	4.282604e-01
3.589219346450079e-03	1.537135e-03	4.282643e-01
3.630780547701041e-03	1.554948e-03	4.282683e-01
3.672823004980874e-03	1.572969e-03	4.282724e-01
3.715352290971754e-03	1.591198e-03	4.282764e-01
3.758374042884471e-03	1.609638e-03	4.282805e-01
3.801893963205641e-03	1.628293e-03	4.282847e-01
3.845917820453566e-03	1.647164e-03	4.282889e-01
3.890451449942837e-03	1.666254e-03	4.282932e-01
3.935500754557806e-03	1.685565e-03	4.282975e-01
3.981071705535005e-03	1.705100e-03	4.283018e-01
4.027170343254624e-03	1.724862e-03	4.283062e-01
4.073802778041160e-03	1.744853e-03	4.283107e-01
4.120975190973336e-03	1.765076e-03	4.283152e-01
4.168693834703388e-03	1.785534e-03	4.283198e-01
4.216965034285858e-03	1.806229e-03	4.283244e-01
4.265795188015962e-03	1.827164e-03	4.283291e-01
4.315190768277689e-03	1.848342e-03	4.283338e-01
4.365158322401697e-03	1.869766e-03	4.283386e-01
