rl	V(vo)	I(Rl)
1.000000000000023e-003	4.280170e-004	4.280170e-001
1.039122303835193e-003	4.447659e-004	4.280207e-001
1.079775162327734e-003	4.621704e-004	4.280246e-001
1.122018454301989e-003	4.802560e-004	4.280287e-001
1.165914401179858e-003	4.990497e-004	4.280328e-001
1.211527658628616e-003	5.185789e-004	4.280372e-001
1.258925411794196e-003	5.388726e-004	4.280417e-001
1.308177474260224e-003	5.599607e-004	4.280464e-001
1.359356390878556e-003	5.818743e-004	4.280513e-001
1.412537544622786e-003	6.046458e-004	4.280564e-001
1.467799267622102e-003	6.283086e-004	4.280617e-001
1.525222956539053e-003	6.528979e-004	4.280671e-001
1.584893192461149e-003	6.784498e-004	4.280729e-001
1.646897865482905e-003	7.050021e-004	4.280788e-001
1.711328304161819e-003	7.325939e-004	4.280849e-001
1.778279410038962e-003	7.612660e-004	4.280913e-001
1.847849797422332e-003	7.910607e-004	4.280980e-001
1.920141938638844e-003	8.220221e-004	4.281049e-001
1.995262314968923e-003	8.541959e-004	4.281121e-001
2.073321573486000e-003	8.876294e-004	4.281195e-001
2.154434690031931e-003	9.223722e-004	4.281273e-001
2.238721138568388e-003	9.584756e-004	4.281353e-001
2.326305067153676e-003	9.959928e-004	4.281437e-001
2.417315480804156e-003	1.034979e-003	4.281524e-001
2.511886431509634e-003	1.075493e-003	4.281614e-001
2.610157215682592e-003	1.117593e-003	4.281708e-001
2.712272579332086e-003	1.161342e-003	4.281805e-001
2.818382931264513e-003	1.206805e-003	4.281907e-001
2.928644564625298e-003	1.254049e-003	4.282012e-001
3.043219887107786e-003	1.303144e-003	4.282122e-001
3.162277660168445e-003	1.354162e-003	4.282236e-001
3.285993247600723e-003	1.407179e-003	4.282354e-001
3.414548873833672e-003	1.462273e-003	4.282477e-001
3.548133892335828e-003	1.519525e-003	4.282604e-001
3.686945064519651e-003	1.579022e-003	4.282737e-001
3.831186849557367e-003	1.640849e-003	4.282875e-001
3.981071705535054e-003	1.705100e-003	4.283018e-001
4.136820402388592e-003	1.771869e-003	4.283167e-001
4.298662347082365e-003	1.841255e-003	4.283322e-001
