vin	V(vo)
0.000000000000000e+000	2.189062e-009
1.000000000000000e-001	7.592795e-009
2.000000000000000e-001	3.577115e-008
3.000000000000000e-001	1.470935e-007
4.000000000000000e-001	3.090911e-007
5.000000000000000e-001	3.774845e-007
6.000000000000000e-001	4.304695e-007
7.000000000000000e-001	4.863520e-007
7.999999999999999e-001	5.448147e-007
8.999999999999999e-001	6.064842e-007
9.999999999999999e-001	6.714249e-007
1.100000000000000e+000	7.395972e-007
1.200000000000000e+000	8.108270e-007
1.300000000000000e+000	8.851499e-007
1.400000000000000e+000	9.626111e-007
1.500000000000000e+000	1.043117e-006
1.600000000000000e+000	1.126669e-006
1.700000000000000e+000	1.213960e-006
1.800000000000001e+000	1.335852e-006
1.900000000000001e+000	3.263307e-006
2.000000000000000e+000	3.357352e-004
2.100000000000001e+000	6.640801e-002
2.200000000000001e+000	1.491937e+000
2.300000000000001e+000	1.666408e+000
2.400000000000001e+000	1.773573e+000
2.500000000000001e+000	1.869295e+000
2.600000000000001e+000	1.940479e+000
2.700000000000001e+000	1.985840e+000
2.800000000000001e+000	2.054410e+000
2.900000000000001e+000	2.149885e+000
3.000000000000001e+000	2.248539e+000
3.100000000000001e+000	2.347325e+000
3.200000000000002e+000	2.446156e+000
3.300000000000002e+000	2.545022e+000
3.400000000000002e+000	2.643922e+000
3.500000000000002e+000	2.742853e+000
3.600000000000002e+000	2.841812e+000
3.700000000000002e+000	2.940798e+000
3.800000000000002e+000	3.039809e+000
3.900000000000002e+000	3.138844e+000
4.000000000000002e+000	3.237901e+000
4.100000000000001e+000	3.336979e+000
4.200000000000001e+000	3.436076e+000
4.300000000000001e+000	3.535192e+000
4.400000000000000e+000	3.634326e+000
4.500000000000000e+000	3.733476e+000
4.600000000000000e+000	3.832642e+000
4.699999999999999e+000	3.931822e+000
4.799999999999999e+000	4.031017e+000
4.899999999999999e+000	4.130226e+000
4.999999999999998e+000	4.229447e+000
5.099999999999998e+000	4.328681e+000
5.199999999999998e+000	4.427927e+000
5.299999999999997e+000	4.527180e+000
5.399999999999997e+000	4.626427e+000
5.499999999999996e+000	4.725568e+000
5.599999999999996e+000	4.823996e+000
5.699999999999996e+000	4.918506e+000
5.799999999999995e+000	4.996531e+000
5.899999999999995e+000	5.021510e+000
5.999999999999995e+000	5.022182e+000
6.099999999999994e+000	5.022786e+000
6.199999999999994e+000	5.022919e+000
6.299999999999994e+000	5.023055e+000
6.399999999999993e+000	5.023177e+000
6.499999999999993e+000	5.023299e+000
6.599999999999993e+000	5.023421e+000
6.699999999999992e+000	5.023543e+000
6.799999999999992e+000	5.023664e+000
6.899999999999992e+000	5.023785e+000
6.999999999999991e+000	5.023906e+000
7.099999999999991e+000	5.024026e+000
7.199999999999990e+000	5.024147e+000
7.299999999999990e+000	5.024267e+000
7.399999999999990e+000	5.024386e+000
7.499999999999989e+000	5.024506e+000
7.599999999999989e+000	5.024625e+000
7.699999999999989e+000	5.024744e+000
7.799999999999988e+000	5.024862e+000
7.899999999999988e+000	5.024981e+000
7.999999999999988e+000	5.025098e+000
8.099999999999987e+000	5.025216e+000
8.199999999999987e+000	5.025333e+000
8.299999999999987e+000	5.025451e+000
8.399999999999986e+000	5.025568e+000
8.499999999999986e+000	5.025684e+000
8.599999999999985e+000	5.025801e+000
8.699999999999985e+000	5.025917e+000
8.799999999999985e+000	5.026033e+000
8.899999999999984e+000	5.026148e+000
8.999999999999984e+000	5.026264e+000
9.099999999999984e+000	5.026379e+000
9.199999999999983e+000	5.026494e+000
9.299999999999983e+000	5.026608e+000
9.399999999999983e+000	5.026723e+000
9.499999999999982e+000	5.026837e+000
9.599999999999982e+000	5.026951e+000
9.699999999999982e+000	5.027064e+000
9.799999999999981e+000	5.027178e+000
9.899999999999981e+000	5.027291e+000
9.999999999999981e+000	5.027404e+000
1.009999999999998e+001	5.027516e+000
1.019999999999998e+001	5.027629e+000
1.029999999999998e+001	5.027741e+000
1.039999999999998e+001	5.027853e+000
1.049999999999998e+001	5.027965e+000
1.059999999999998e+001	5.028076e+000
1.069999999999998e+001	5.028187e+000
1.079999999999998e+001	5.028298e+000
1.089999999999998e+001	5.028409e+000
1.099999999999998e+001	5.028519e+000
1.109999999999998e+001	5.028629e+000
1.119999999999998e+001	5.028739e+000
1.129999999999998e+001	5.028849e+000
1.139999999999998e+001	5.028959e+000
1.149999999999998e+001	5.029068e+000
1.159999999999998e+001	5.029177e+000
1.169999999999997e+001	5.029286e+000
1.179999999999997e+001	5.029395e+000
1.189999999999997e+001	5.029503e+000
1.199999999999997e+001	5.029612e+000
1.209999999999997e+001	5.029719e+000
1.219999999999997e+001	5.029828e+000
1.229999999999997e+001	5.029935e+000
1.239999999999997e+001	5.030042e+000
1.249999999999997e+001	5.030149e+000
1.259999999999997e+001	5.030256e+000
1.269999999999997e+001	5.030363e+000
1.279999999999997e+001	5.030469e+000
1.289999999999997e+001	5.030576e+000
1.299999999999997e+001	5.030682e+000
1.309999999999997e+001	5.030788e+000
1.319999999999997e+001	5.030893e+000
1.329999999999997e+001	5.030999e+000
1.339999999999997e+001	5.031104e+000
1.349999999999997e+001	5.031209e+000
1.359999999999997e+001	5.031314e+000
1.369999999999997e+001	5.031418e+000
1.379999999999997e+001	5.031523e+000
1.389999999999997e+001	5.031627e+000
1.399999999999997e+001	5.031731e+000
1.409999999999997e+001	5.031835e+000
1.419999999999997e+001	5.031939e+000
1.429999999999997e+001	5.032042e+000
1.439999999999997e+001	5.032145e+000
1.449999999999996e+001	5.032248e+000
1.459999999999996e+001	5.032351e+000
1.469999999999996e+001	5.032454e+000
1.479999999999996e+001	5.032556e+000
1.489999999999996e+001	5.032658e+000
1.499999999999996e+001	5.032760e+000
1.509999999999996e+001	5.032862e+000
1.519999999999996e+001	5.032964e+000
1.529999999999996e+001	5.033065e+000
1.539999999999996e+001	5.033166e+000
1.549999999999996e+001	5.033267e+000
1.559999999999996e+001	5.033369e+000
1.569999999999996e+001	5.033469e+000
1.579999999999996e+001	5.033570e+000
1.589999999999996e+001	5.033670e+000
1.599999999999996e+001	5.033770e+000
1.609999999999996e+001	5.033870e+000
1.619999999999996e+001	5.033970e+000
1.629999999999996e+001	5.034070e+000
1.639999999999996e+001	5.034169e+000
1.649999999999996e+001	5.034268e+000
1.659999999999997e+001	5.034367e+000
1.669999999999997e+001	5.034466e+000
1.679999999999997e+001	5.034564e+000
1.689999999999997e+001	5.034663e+000
1.699999999999997e+001	5.034761e+000
1.709999999999997e+001	5.034860e+000
1.719999999999997e+001	5.034957e+000
