Freq	Gain	Phase
1.00000000000000e-001	5.85444284986927e+001	1.79313209825346e+002
1.07977516232771e-001	5.85442952074250e+001	1.79243308446035e+002
1.16591440117983e-001	5.85441392471680e+001	1.79168948110814e+002
1.25892541179417e-001	5.85439569374075e+001	1.79089695190511e+002
1.35935639087853e-001	5.85437439786515e+001	1.79005077299658e+002
1.46779926762207e-001	5.85434953466306e+001	1.78914602390655e+002
1.58489319246111e-001	5.85432051784854e+001	1.78817734513623e+002
1.71132830416178e-001	5.85428666310321e+001	1.78713912523093e+002
1.84784979742229e-001	5.85424717247918e+001	1.78602518234252e+002
1.99526231496888e-001	5.85420111511442e+001	1.78482909073978e+002
2.15443469003188e-001	5.85414740594619e+001	1.78354378582444e+002
2.32630506715363e-001	5.85408478022369e+001	1.78216152619791e+002
2.51188643150958e-001	5.85401176313945e+001	1.78067457221740e+002
2.71227257933203e-001	5.85392663657363e+001	1.77907413595165e+002
2.92864456462524e-001	5.85382739858093e+001	1.77735076654249e+002
3.16227766016838e-001	5.85371171652281e+001	1.77549458886752e+002
3.41454887383360e-001	5.85357687368421e+001	1.77349453253340e+002
3.68694506451958e-001	5.85341970574206e+001	1.77133914003532e+002
3.98107170553497e-001	5.85323652820071e+001	1.76901622153902e+002
4.29866234708228e-001	5.85302305241856e+001	1.76651193175089e+002
4.64158883361278e-001	5.85277428686642e+001	1.76381200179184e+002
5.01187233627272e-001	5.85248442414046e+001	1.76090138711927e+002
5.41169526546464e-001	5.85214671049536e+001	1.75776333887277e+002
5.84341413373518e-001	5.85175329468856e+001	1.75437933771835e+002
6.30957344480193e-001	5.85129505287613e+001	1.75073161720826e+002
6.81292069057961e-001	5.85076139029573e+001	1.74679936116677e+002
7.35642254459641e-001	5.85014001111562e+001	1.74256008288108e+002
7.94328234724282e-001	5.84941665557027e+001	1.73799187393065e+002
8.57695898590894e-001	5.84857480235307e+001	1.73306962240214e+002
9.26118728128794e-001	5.84759532858649e+001	1.72776786087648e+002
1.00000000000000e+000	5.84645612774943e+001	1.72205730517721e+002
1.07977516232771e+000	5.84513167859266e+001	1.71590947224872e+002
1.16591440117983e+000	5.84359256635908e+001	1.70929442712261e+002
1.25892541179417e+000	5.84180495271417e+001	1.70218087255120e+002
1.35935639087853e+000	5.83972999621514e+001	1.69453398957232e+002
1.46779926762207e+000	5.83732322556272e+001	1.68631967059544e+002
