RL	TIP42C
1.000000000000000e-003	3.655424e+000
1.079775162327710e-003	3.655468e+000
1.165914401179832e-003	3.655515e+000
1.258925411794167e-003	3.655566e+000
1.359356390878526e-003	3.655620e+000
1.467799267622070e-003	3.655679e+000
1.584893192461113e-003	3.655743e+000
1.711328304161781e-003	3.655813e+000
1.847849797422291e-003	3.655887e+000
1.995262314968879e-003	3.655968e+000
2.154434690031883e-003	3.656054e+000
2.326305067153626e-003	3.656148e+000
2.511886431509580e-003	3.656250e+000
2.712272579332028e-003	3.656359e+000
2.928644564625237e-003	3.656477e+000
3.162277660168379e-003	3.656605e+000
3.414548873833602e-003	3.656742e+000
3.686945064519576e-003	3.656891e+000
3.981071705534973e-003	3.657052e+000
4.298662347082277e-003	3.657225e+000
4.641588833612779e-003	3.657413e+000
5.011872336272723e-003	3.657615e+000
5.411695265464637e-003	3.657833e+000
5.843414133735176e-003	3.658069e+000
6.309573444801932e-003	3.658324e+000
6.812920690579613e-003	3.658599e+000
7.356422544596413e-003	3.658896e+000
7.943282347242814e-003	3.659217e+000
8.576958985908940e-003	3.659563e+000
9.261187281287935e-003	3.659937e+000
1.000000000000000e-002	3.660341e+000
1.079775162327710e-002	3.660778e+000
1.165914401179832e-002	3.661249e+000
1.258925411794167e-002	3.661758e+000
1.359356390878526e-002	3.662307e+000
1.467799267622069e-002	3.662901e+000
1.584893192461113e-002	3.663542e+000
1.711328304161780e-002	3.664235e+000
1.847849797422290e-002	3.664983e+000
1.995262314968879e-002	3.665790e+000
2.154434690031883e-002	3.666663e+000
2.326305067153625e-002	3.667606e+000
2.511886431509579e-002	3.668624e+000
2.712272579332027e-002	3.669724e+000
2.928644564625235e-002	3.670912e+000
3.162277660168378e-002	3.672195e+000
3.414548873833600e-002	3.673582e+000
3.686945064519574e-002	3.675080e+000
3.981071705534971e-002	3.676699e+000
4.298662347082275e-002	3.678448e+000
4.641588833612777e-002	3.680338e+000
5.011872336272721e-002	3.682380e+000
5.411695265464634e-002	3.684587e+000
5.843414133735173e-002	3.686972e+000
6.309573444801929e-002	3.689550e+000
6.812920690579609e-002	3.692337e+000
7.356422544596408e-002	3.695350e+000
7.943282347242810e-002	3.698607e+000
8.576958985908935e-002	3.702128e+000
9.261187281287928e-002	3.705936e+000
9.999999999999992e-002	3.710054e+000
1.079775162327709e-001	3.714507e+000
1.165914401179831e-001	3.719325e+000
1.258925411794166e-001	3.724537e+000
1.359356390878524e-001	3.730177e+000
1.467799267622068e-001	3.736280e+000
1.584893192461112e-001	3.742886e+000
1.711328304161779e-001	3.750037e+000
1.847849797422289e-001	3.757781e+000
1.995262314968878e-001	3.766167e+000
2.154434690031881e-001	3.775252e+000
2.326305067153624e-001	3.785095e+000
2.511886431509577e-001	3.795763e+000
2.712272579332025e-001	3.807328e+000
2.928644564625233e-001	3.819868e+000
3.162277660168376e-001	3.833471e+000
3.414548873833598e-001	3.848230e+000
3.686945064519571e-001	3.864249e+000
3.981071705534968e-001	3.881642e+000
4.298662347082272e-001	3.900532e+000
4.641588833612774e-001	3.921055e+000
5.011872336272717e-001	3.943360e+000
5.411695265464630e-001	3.967611e+000
5.843414133735169e-001	3.993983e+000
6.309573444801925e-001	4.022671e+000
6.812920690579605e-001	4.053883e+000
7.356422544596405e-001	4.087845e+000
7.943282347242806e-001	4.124796e+000
8.576958985908931e-001	4.164989e+000
9.261187281287924e-001	4.208683e+000
9.999999999999988e-001	4.256134e+000
1.079775162327708e+000	4.307579e+000
1.165914401179830e+000	4.363207e+000
1.258925411794166e+000	4.423112e+000
1.359356390878524e+000	4.487215e+000
