Time	Vin	Vo
0.000000000000000e+000	-1.000176e-002	-2.047685e-002
9.999999960041972e-012	3.783368e-003	-2.047685e-002
1.835034552387399e-011	3.452205e-003	-2.047685e-002
3.505103665153803e-011	3.239535e-003	-2.047685e-002
6.845241890686612e-011	3.551864e-003	-2.047685e-002
1.352551834175223e-010	3.852033e-003	-2.047685e-002
2.535185700845381e-010	4.385136e-003	-2.047685e-002
4.310565485497154e-010	4.976653e-003	-2.047685e-002
7.248137338125422e-010	5.916261e-003	-2.047685e-002
1.312328104338196e-009	7.277631e-003	-2.047685e-002
2.487356845389503e-009	8.963488e-003	-2.047685e-002
4.546571285477197e-009	9.976767e-003	-2.047685e-002
6.892973554382649e-009	1.016297e-002	-2.047685e-002
1.058393002415441e-008	1.011481e-002	-2.047685e-002
1.796584296369792e-008	1.012292e-002	-2.047685e-002
2.659229200001722e-008	1.004925e-002	-2.047685e-002
3.820863133355587e-008	1.004615e-002	-2.047685e-002
5.779252050031490e-008	1.000156e-002	-2.047637e-002
9.696029883383296e-008	1.003566e-002	-2.047589e-002
1.752958555008691e-007	1.000466e-002	-2.047351e-002
3.319669688349413e-007	1.002231e-002	-2.045873e-002
6.453091955030859e-007	9.981297e-003	-2.036813e-002
1.271993648839375e-006	1.001420e-002	-1.992038e-002
2.271993648839375e-006	9.982728e-003	-1.861098e-002
3.271993648839375e-006	1.001348e-002	-1.671985e-002
4.271993648839375e-006	9.982966e-003	-1.446393e-002
5.271993648839374e-006	1.001325e-002	-1.214269e-002
6.271993648839374e-006	9.983205e-003	-9.966402e-003
7.271993648839374e-006	1.001325e-002	-8.046655e-003
8.271993648839375e-006	9.983205e-003	-6.420641e-003
9.271993648839375e-006	1.001325e-002	-5.080728e-003
1.027199364883938e-005	9.983205e-003	-3.999262e-003
1.127199364883938e-005	1.001325e-002	-3.139047e-003
1.227199364883938e-005	9.983205e-003	-2.463369e-003
1.327199364883938e-005	1.001348e-002	-1.937895e-003
1.427199364883938e-005	9.983205e-003	-1.531153e-003
1.527199364883938e-005	1.001348e-002	-1.218824e-003
1.627199364883938e-005	9.983205e-003	-9.784983e-004
1.727199364883938e-005	1.001348e-002	-7.939623e-004
1.827199364883938e-005	9.982966e-003	-6.509111e-004
1.927199364883938e-005	1.001348e-002	-5.393312e-004
2.027199364883938e-005	9.982966e-003	-4.496859e-004
2.127199364883938e-005	1.001348e-002	-3.772066e-004
2.227199364883938e-005	9.982966e-003	-3.161715e-004
2.327199364883938e-005	1.001348e-002	-2.632425e-004
2.427199364883938e-005	9.982966e-003	-2.160357e-004
2.527199364883938e-005	1.001348e-002	-1.731203e-004
2.627199364883938e-005	9.982966e-003	-1.321123e-004
2.727199364883938e-005	1.001348e-002	-9.253483e-005
2.827199364883939e-005	9.982966e-003	-5.391102e-005
2.927199364883939e-005	1.001348e-002	-1.576405e-005
3.127199364883938e-005	1.001348e-002	6.005306e-005
3.441485079169652e-005	1.000414e-002	1.800019e-004
3.755770793455365e-005	9.997914e-003	2.997951e-004
4.070056507741079e-005	9.994800e-003	4.194326e-004
4.384342222026792e-005	9.994800e-003	5.389143e-004
4.698627936312506e-005	9.997914e-003	6.582404e-004
5.012913650598220e-005	1.000414e-002	7.774108e-004
5.327199364883932e-005	1.001348e-002	8.964254e-004
9.884342222026829e-005	1.000912e-002	2.501644e-003
1.444148507916972e-004	1.000476e-002	3.991838e-003
1.899862793631262e-004	1.000040e-002	5.367007e-003
2.355577079345551e-004	9.996045e-003	6.627152e-003
2.811291365059841e-004	9.991686e-003	7.772271e-003
3.267005650774131e-004	9.987326e-003	8.802366e-003
3.722719936488420e-004	9.982966e-003	9.717436e-003
4.181291365059859e-004	9.987326e-003	1.056539e-002
4.639862793631299e-004	9.991686e-003	1.135231e-002
5.098434222202739e-004	9.996045e-003	1.207819e-002
5.557005650774179e-004	1.000040e-002	1.274304e-002
6.015577079345618e-004	1.000476e-002	1.334685e-002
6.474148507917058e-004	1.000912e-002	1.388962e-002
6.932719936488497e-004	1.001348e-002	1.437137e-002
7.369474231275998e-004	1.000417e-002	1.479548e-002
7.806228526063498e-004	9.997943e-003	1.519016e-002
8.242982820850999e-004	9.994814e-003	1.555542e-002
8.679737115638499e-004	9.994780e-003	1.589125e-002
9.116491410426000e-004	9.997841e-003	1.619765e-002
9.553245705213501e-004	1.000400e-002	1.647463e-002
9.990000000001001e-004	1.001325e-002	1.672217e-002
1.000000000000100e-003	9.983205e-003	1.670215e-002
1.001000000000100e-003	-9.981967e-003	1.654002e-002
1.002000000000100e-003	-1.002941e-002	1.603505e-002
1.002996139292913e-003	-9.969569e-003	1.505372e-002
1.003996139292913e-003	-1.003609e-002	1.362273e-002
1.004996139292913e-003	-9.966470e-003	1.189658e-002
1.005996139292913e-003	-1.003704e-002	1.003739e-002
1.006996139292913e-003	-9.966470e-003	8.172960e-003
1.007996139292913e-003	-1.003680e-002	6.394835e-003
1.008996139292913e-003	-9.966947e-003	4.759760e-003
1.009996139292913e-003	-1.003633e-002	3.300638e-003
1.010996139292913e-003	-9.967185e-003	2.030344e-003
1.011996139292913e-003	-1.003609e-002	9.479238e-004
1.012996139292912e-003	-9.967424e-003	4.241008e-005
1.013996139292912e-003	-1.003609e-002	-7.028864e-004
1.014996139292912e-003	-9.967424e-003	-1.307993e-003
1.015996139292912e-003	-1.003609e-002	-1.793890e-003
1.016996139292912e-003	-9.967424e-003	-2.180128e-003
1.017996139292912e-003	-1.003609e-002	-2.484827e-003
1.018996139292912e-003	-9.967424e-003	-2.724199e-003
1.019996139292912e-003	-1.003609e-002	-2.911596e-003
1.020996139292912e-003	-9.967424e-003	-3.058939e-003
