Time	Vin	Vo
0.000000000000000e+000	-1.000176e-002	-2.047685e-002
9.999999960041972e-012	3.792666e-003	-2.047685e-002
1.834644688750768e-011	3.470563e-003	-2.047685e-002
3.503934074243911e-011	3.274583e-003	-2.047685e-002
6.842512845230195e-011	3.609322e-003	-2.047685e-002
1.351967038720276e-010	3.924750e-003	-2.047685e-002
2.535086806493593e-010	4.458808e-003	-2.047685e-002
4.307540349674884e-010	5.043649e-003	-2.047685e-002
7.263999062651322e-010	5.980634e-003	-2.047685e-002
1.317691648860420e-009	7.334136e-003	-2.047685e-002
2.500275134050996e-009	9.001635e-003	-2.047685e-002
4.566220124903058e-009	9.986781e-003	-2.047685e-002
6.929968586176765e-009	1.016297e-002	-2.047685e-002
1.065840588100649e-008	1.011195e-002	-2.047685e-002
1.811528047066594e-008	1.012030e-002	-2.047685e-002
2.678264356545926e-008	1.004686e-002	-2.047685e-002
3.861142633767334e-008	1.004472e-002	-2.047685e-002
5.855589648657984e-008	1.000061e-002	-2.047637e-002
9.844483678439282e-008	1.003494e-002	-2.047589e-002
1.782227173800188e-007	1.000323e-002	-2.047351e-002
3.377784785712707e-007	1.002111e-002	-2.045777e-002
6.568900009537746e-007	9.980821e-003	-2.035764e-002
1.295113045718782e-006	1.001420e-002	-1.981166e-002
2.295113045718782e-006	9.982489e-003	-1.803830e-002
3.295113045718782e-006	1.001372e-002	-1.505139e-002
4.295113045718782e-006	9.982966e-003	-1.081136e-002
5.295113045718781e-006	1.001372e-002	-5.577593e-003
6.295113045718781e-006	9.982966e-003	2.822592e-004
7.295113045718781e-006	1.001348e-002	6.370516e-003
8.295113045718781e-006	9.982966e-003	1.232383e-002
9.295113045718782e-006	1.001348e-002	1.784846e-002
1.029511304571878e-005	9.982966e-003	2.273223e-002
1.129511304571878e-005	1.001348e-002	2.684257e-002
1.229511304571878e-005	9.982966e-003	3.011558e-002
1.329511304571878e-005	1.001348e-002	3.254077e-002
1.429511304571879e-005	9.982966e-003	3.414819e-002
1.529511304571878e-005	1.001348e-002	3.499648e-002
1.629511304571878e-005	9.982966e-003	3.516099e-002
1.729511304571879e-005	1.001348e-002	3.472707e-002
1.829511304571879e-005	9.982966e-003	3.378293e-002
1.929511304571879e-005	1.001348e-002	3.241536e-002
2.029511304571879e-005	9.982966e-003	3.071019e-002
2.129511304571879e-005	1.001348e-002	2.874801e-002
2.229511304571879e-005	9.982966e-003	2.660701e-002
2.329511304571879e-005	1.001348e-002	2.436158e-002
2.429511304571879e-005	9.982966e-003	2.208278e-002
2.529511304571879e-005	1.001348e-002	1.984212e-002
2.629511304571879e-005	9.982966e-003	1.770732e-002
2.729511304571879e-005	1.001348e-002	1.574657e-002
2.829511304571879e-005	9.982966e-003	1.402137e-002
2.929511304571879e-005	1.001348e-002	1.258990e-002
3.029511304571879e-005	9.982966e-003	1.149985e-002
3.129511304571879e-005	1.001348e-002	1.078460e-002
3.229511304571879e-005	9.982966e-003	1.046226e-002
3.329511304571879e-005	1.001348e-002	1.052949e-002
3.429511304571879e-005	9.982966e-003	1.096389e-002
3.529511304571878e-005	1.001372e-002	1.172349e-002
3.629511304571878e-005	9.982966e-003	1.275203e-002
3.729511304571878e-005	1.001372e-002	1.398084e-002
