Vin	Rendimiento
9.300000000000001e+000	1.722578e+001
9.301000000000000e+000	1.722284e+001
9.302000000000000e+000	1.721989e+001
9.302999999999999e+000	1.721695e+001
9.303999999999999e+000	1.721400e+001
9.304999999999998e+000	1.721106e+001
9.305999999999997e+000	1.720812e+001
9.306999999999997e+000	1.720518e+001
9.307999999999996e+000	1.720224e+001
9.308999999999996e+000	1.719930e+001
9.309999999999995e+000	1.719637e+001
9.310999999999995e+000	1.719343e+001
9.311999999999994e+000	1.719049e+001
9.312999999999994e+000	1.718756e+001
9.313999999999993e+000	1.718462e+001
9.314999999999992e+000	1.718169e+001
9.315999999999992e+000	1.717875e+001
9.316999999999991e+000	1.717582e+001
9.317999999999991e+000	1.717289e+001
9.318999999999990e+000	1.716996e+001
9.319999999999990e+000	1.716703e+001
9.320999999999989e+000	1.716410e+001
9.321999999999989e+000	1.716117e+001
9.322999999999988e+000	1.715824e+001
9.323999999999987e+000	1.715531e+001
9.324999999999987e+000	1.715239e+001
9.325999999999986e+000	1.714946e+001
9.326999999999986e+000	1.714654e+001
9.327999999999985e+000	1.714361e+001
9.328999999999985e+000	1.714069e+001
9.329999999999984e+000	1.713777e+001
9.330999999999984e+000	1.713484e+001
9.331999999999983e+000	1.713192e+001
9.332999999999982e+000	1.712900e+001
9.333999999999982e+000	1.712609e+001
9.334999999999981e+000	1.712316e+001
9.335999999999981e+000	1.712025e+001
9.336999999999980e+000	1.711733e+001
9.337999999999980e+000	1.711441e+001
9.338999999999979e+000	1.711150e+001
9.339999999999979e+000	1.710858e+001
9.340999999999978e+000	1.710567e+001
9.341999999999977e+000	1.710275e+001
9.342999999999977e+000	1.709984e+001
9.343999999999976e+000	1.709693e+001
9.344999999999976e+000	1.709402e+001
9.345999999999975e+000	1.709111e+001
9.346999999999975e+000	1.708820e+001
9.347999999999974e+000	1.708529e+001
9.348999999999974e+000	1.708238e+001
9.349999999999973e+000	1.707947e+001
9.350999999999972e+000	1.707657e+001
9.351999999999972e+000	1.707366e+001
9.352999999999971e+000	1.707076e+001
9.353999999999971e+000	1.706785e+001
9.354999999999970e+000	1.706495e+001
9.355999999999970e+000	1.706205e+001
9.356999999999969e+000	1.705914e+001
9.357999999999969e+000	1.705624e+001
9.358999999999968e+000	1.705334e+001
9.359999999999968e+000	1.705044e+001
9.360999999999967e+000	1.704754e+001
9.361999999999966e+000	1.704464e+001
9.362999999999966e+000	1.704175e+001
9.363999999999965e+000	1.703885e+001
9.364999999999965e+000	1.703595e+001
9.365999999999964e+000	1.703306e+001
9.366999999999964e+000	1.703017e+001
9.367999999999963e+000	1.702727e+001
9.368999999999963e+000	1.702438e+001
9.369999999999962e+000	1.702149e+001
9.370999999999961e+000	1.701860e+001
9.371999999999961e+000	1.701571e+001
9.372999999999960e+000	1.701282e+001
9.373999999999960e+000	1.700993e+001
9.374999999999959e+000	1.700704e+001
9.375999999999959e+000	1.700415e+001
9.376999999999958e+000	1.700126e+001
9.377999999999958e+000	1.699838e+001
9.378999999999957e+000	1.699549e+001
9.379999999999956e+000	1.699261e+001
9.380999999999956e+000	1.698972e+001
9.381999999999955e+000	1.698684e+001
9.382999999999955e+000	1.698396e+001
9.383999999999954e+000	1.698107e+001
9.384999999999954e+000	1.697819e+001
9.385999999999953e+000	1.697531e+001
9.386999999999953e+000	1.697243e+001
9.387999999999952e+000	1.696956e+001
9.388999999999951e+000	1.696668e+001
9.389999999999951e+000	1.696380e+001
9.390999999999950e+000	1.696092e+001
9.391999999999950e+000	1.695805e+001
9.392999999999949e+000	1.695517e+001
9.393999999999949e+000	1.695230e+001
9.394999999999948e+000	1.694942e+001
9.395999999999948e+000	1.694655e+001
9.396999999999947e+000	1.694368e+001
