Vin	Rendimiento
9.300000000000001e+000	2.609353e+001
9.301000000000000e+000	2.608947e+001
9.302000000000000e+000	2.608542e+001
9.302999999999999e+000	2.608136e+001
9.303999999999999e+000	2.607731e+001
9.304999999999998e+000	2.607326e+001
9.305999999999997e+000	2.606920e+001
9.306999999999997e+000	2.606515e+001
9.307999999999996e+000	2.606110e+001
9.308999999999996e+000	2.605705e+001
9.309999999999995e+000	2.605300e+001
9.310999999999995e+000	2.604896e+001
9.311999999999994e+000	2.604491e+001
9.312999999999994e+000	2.604087e+001
9.313999999999993e+000	2.603682e+001
9.314999999999992e+000	2.603278e+001
9.315999999999992e+000	2.602874e+001
9.316999999999991e+000	2.602470e+001
9.317999999999991e+000	2.602066e+001
9.318999999999990e+000	2.601661e+001
9.319999999999990e+000	2.601258e+001
9.320999999999989e+000	2.600854e+001
9.321999999999989e+000	2.600451e+001
9.322999999999988e+000	2.600047e+001
9.323999999999987e+000	2.599643e+001
9.324999999999987e+000	2.599240e+001
9.325999999999986e+000	2.598837e+001
9.326999999999986e+000	2.598434e+001
9.327999999999985e+000	2.598031e+001
9.328999999999985e+000	2.597628e+001
9.329999999999984e+000	2.597226e+001
9.330999999999984e+000	2.596823e+001
9.331999999999983e+000	2.596420e+001
9.332999999999982e+000	2.596017e+001
9.333999999999982e+000	2.595615e+001
9.334999999999981e+000	2.595213e+001
9.335999999999981e+000	2.594810e+001
9.336999999999980e+000	2.594408e+001
9.337999999999980e+000	2.594006e+001
9.338999999999979e+000	2.593604e+001
9.339999999999979e+000	2.593203e+001
9.340999999999978e+000	2.592801e+001
9.341999999999977e+000	2.592399e+001
9.342999999999977e+000	2.591997e+001
9.343999999999976e+000	2.591596e+001
9.344999999999976e+000	2.591195e+001
9.345999999999975e+000	2.590793e+001
9.346999999999975e+000	2.590392e+001
9.347999999999974e+000	2.589991e+001
9.348999999999974e+000	2.589590e+001
9.349999999999973e+000	2.589189e+001
9.350999999999972e+000	2.588789e+001
9.351999999999972e+000	2.588388e+001
9.352999999999971e+000	2.587987e+001
9.353999999999971e+000	2.587587e+001
9.354999999999970e+000	2.587187e+001
9.355999999999970e+000	2.586786e+001
9.356999999999969e+000	2.586386e+001
9.357999999999969e+000	2.585986e+001
9.358999999999968e+000	2.585586e+001
9.359999999999968e+000	2.585186e+001
9.360999999999967e+000	2.584786e+001
9.361999999999966e+000	2.584387e+001
9.362999999999966e+000	2.583987e+001
9.363999999999965e+000	2.583587e+001
9.364999999999965e+000	2.583188e+001
9.365999999999964e+000	2.582789e+001
9.366999999999964e+000	2.582390e+001
9.367999999999963e+000	2.581990e+001
9.368999999999963e+000	2.581591e+001
9.369999999999962e+000	2.581193e+001
9.370999999999961e+000	2.580794e+001
9.371999999999961e+000	2.580395e+001
9.372999999999960e+000	2.579996e+001
9.373999999999960e+000	2.579598e+001
9.374999999999959e+000	2.579199e+001
9.375999999999959e+000	2.578801e+001
9.376999999999958e+000	2.578403e+001
9.377999999999958e+000	2.578005e+001
9.378999999999957e+000	2.577607e+001
9.379999999999956e+000	2.577209e+001
9.380999999999956e+000	2.576811e+001
9.381999999999955e+000	2.576413e+001
9.382999999999955e+000	2.576015e+001
9.383999999999954e+000	2.575618e+001
9.384999999999954e+000	2.575220e+001
9.385999999999953e+000	2.574823e+001
