time	V(vo)	V(vreg)	I(Rl)
0.000000000000000e+000	-1.673618e-024	0.000000e+000	-3.347235e-026
2.000000000000000e-003	-3.947551e-022	0.000000e+000	-7.895102e-024
2.000015625000000e-003	1.842123e-003	9.484925e+000	3.684247e-005
2.000015674745117e-003	1.847673e-003	9.500000e+000	3.695345e-005
2.000015774235352e-003	1.857687e-003	9.500000e+000	3.715375e-005
2.000015880851692e-003	1.867265e-003	9.500000e+000	3.734530e-005
2.000016010389870e-003	1.877372e-003	9.500000e+000	3.754743e-005
2.000016181830285e-003	1.889037e-003	9.500000e+000	3.778074e-005
2.000016365711154e-003	1.900069e-003	9.500000e+000	3.800138e-005
2.000016574842306e-003	1.911335e-003	9.500000e+000	3.822670e-005
2.000016834423911e-003	1.924237e-003	9.500000e+000	3.848474e-005
2.000017144281178e-003	1.938815e-003	9.500000e+000	3.877631e-005
2.000017491203179e-003	1.954587e-003	9.500000e+000	3.909174e-005
2.000018065006231e-003	1.980213e-003	9.500000e+000	3.960426e-005
2.000018585088423e-003	2.003271e-003	9.500000e+000	4.006542e-005
2.000019625252806e-003	2.049257e-003	9.500000e+000	4.098514e-005
2.000020771428386e-003	2.099890e-003	9.500000e+000	4.199781e-005
2.000022879835135e-003	2.192972e-003	9.500000e+000	4.385944e-005
2.000024868143024e-003	2.280691e-003	9.500000e+000	4.561383e-005
2.000027063607816e-003	2.377480e-003	9.500000e+000	4.754959e-005
2.000028565012468e-003	2.443627e-003	9.500000e+000	4.887255e-005
2.000029819137548e-003	2.498847e-003	9.500000e+000	4.997694e-005
2.000031396807720e-003	2.568274e-003	9.500000e+000	5.136547e-005
2.000033126468840e-003	2.644344e-003	9.500000e+000	5.288688e-005
2.000034882355171e-003	2.721517e-003	9.500000e+000	5.443034e-005
2.000036915319115e-003	2.810803e-003	9.500000e+000	5.621606e-005
2.000039207269153e-003	2.911380e-003	9.500000e+000	5.822759e-005
2.000042076296287e-003	3.037163e-003	9.500000e+000	6.074326e-005
2.000044913660537e-003	3.161446e-003	9.500000e+000	6.322892e-005
2.000046589205916e-003	3.234776e-003	9.500000e+000	6.469552e-005
2.000048437596909e-003	3.315607e-003	9.500000e+000	6.631214e-005
2.000050611122300e-003	3.410567e-003	9.500000e+000	6.821135e-005
2.000054958173082e-003	3.600267e-003	9.500000e+000	7.200535e-005
2.000059110263276e-003	3.781216e-003	9.500000e+000	7.562432e-005
2.000062954340193e-003	3.948472e-003	9.500000e+000	7.896943e-005
2.000067991237131e-003	4.167212e-003	9.500000e+000	8.334424e-005
2.000075384000786e-003	4.487561e-003	9.500000e+000	8.975122e-005
2.000082686627435e-003	4.803096e-003	9.500000e+000	9.606193e-005
2.000093927760339e-003	5.287190e-003	9.500000e+000	1.057438e-004
2.000103988302485e-003	5.718908e-003	9.500000e+000	1.143782e-004
2.000113599534528e-003	6.129728e-003	9.500000e+000	1.225946e-004
2.000125012935426e-003	6.615889e-003	9.500000e+000	1.323178e-004
2.000131296906889e-003	6.882742e-003	9.500000e+000	1.376548e-004
2.000136882323743e-003	7.119266e-003	9.500000e+000	1.423853e-004
2.000143762226393e-003	7.409810e-003	9.500000e+000	1.481962e-004
2.000154578364432e-003	7.865153e-003	9.500000e+000	1.573031e-004
2.000165103091082e-003	8.306623e-003	9.500000e+000	1.661325e-004
2.000175975167643e-003	8.760801e-003	9.500000e+000	1.752160e-004
2.000187857212788e-003	9.255051e-003	9.500000e+000	1.851010e-004
2.000200643402064e-003	9.784503e-003	9.500000e+000	1.956901e-004
2.000213948397916e-003	1.033281e-002	9.500000e+000	2.066561e-004
2.000227556796776e-003	1.089079e-002	9.500000e+000	2.178158e-004
2.000242209622434e-003	1.148832e-002	9.500000e+000	2.297663e-004
2.000259553500354e-003	1.219098e-002	9.500000e+000	2.438196e-004
2.000284354243232e-003	1.318648e-002	9.500000e+000	2.637295e-004
2.000327617162671e-003	1.489926e-002	9.500000e+000	2.979853e-004
2.000391182214141e-003	1.737143e-002	9.500000e+000	3.474286e-004
2.000451601481830e-003	1.967193e-002	9.500000e+000	3.934385e-004
2.000512838820289e-003	2.194912e-002	9.500000e+000	4.389824e-004
2.000581709514805e-003	2.444332e-002	9.500000e+000	4.888664e-004
2.000676206823768e-003	2.775746e-002	9.500000e+000	5.551493e-004
2.000798162401867e-003	3.185792e-002	9.500000e+000	6.371583e-004
2.000969409039585e-003	3.734799e-002	9.500000e+000	7.469599e-004
2.001092815030680e-003	4.113616e-002	9.500000e+000	8.227232e-004
2.001137543725965e-003	4.245800e-002	9.500000e+000	8.491600e-004
2.001199636236127e-003	4.424518e-002	9.500000e+000	8.849035e-004
2.001248686740228e-003	4.562944e-002	9.500000e+000	9.125889e-004
2.001302710170382e-003	4.712274e-002	9.500000e+000	9.424547e-004
2.001358304006232e-003	4.862114e-002	9.500000e+000	9.724229e-004
2.001469491677931e-003	5.151860e-002	9.500000e+000	1.030372e-003
2.001609426291878e-003	5.500601e-002	9.500000e+000	1.100120e-003
2.001780255402561e-003	5.902574e-002	9.500000e+000	1.180515e-003
2.001969287316943e-003	6.316184e-002	9.500000e+000	1.263237e-003
2.002244204201477e-003	6.860358e-002	9.500000e+000	1.372072e-003
2.002684158310322e-003	7.607020e-002	9.500000e+000	1.521404e-003
2.003462285632897e-003	8.681989e-002	9.500000e+000	1.736398e-003
2.004149202655538e-003	9.416530e-002	9.500000e+000	1.883306e-003
2.004863308032762e-003	9.984205e-002	9.500000e+000	1.996841e-003
2.005522337849307e-003	1.036721e-001	9.500000e+000	2.073441e-003
2.006432816888230e-003	1.073314e-001	9.500000e+000	2.146628e-003
2.007490534249753e-003	1.100084e-001	9.500000e+000	2.200169e-003
2.008834957048132e-003	1.117678e-001	9.500000e+000	2.235356e-003
2.010314665118600e-003	1.123991e-001	9.500000e+000	2.247983e-003
2.012161406354189e-003	1.121180e-001	9.500000e+000	2.242359e-003
2.014151816541571e-003	1.111729e-001	9.500000e+000	2.223458e-003
2.016690324144629e-003	1.096161e-001	9.500000e+000	2.192322e-003
2.018215623634014e-003	1.087567e-001	9.500000e+000	2.175133e-003
2.019431496555790e-003	1.085944e-001	9.500000e+000	2.171889e-003
2.020756736753227e-003	1.100074e-001	9.500000e+000	2.200148e-003
2.022162870588863e-003	1.139821e-001	9.500000e+000	2.279641e-003
2.022816575608117e-003	1.172351e-001	9.500000e+000	2.344703e-003
2.023609683253254e-003	1.228269e-001	9.500000e+000	2.456539e-003
2.024492800507916e-003	1.305176e-001	9.500000e+000	2.610352e-003
2.025416042338824e-003	1.399495e-001	9.500000e+000	2.798990e-003
2.026278964441063e-003	1.499369e-001	9.500000e+000	2.998738e-003
2.027538197391814e-003	1.659817e-001	9.500000e+000	3.319634e-003
2.028849245398348e-003	1.839168e-001	9.500000e+000	3.678335e-003
2.030093895357840e-003	2.019286e-001	9.500000e+000	4.038572e-003
2.031994807423147e-003	2.304945e-001	9.500000e+000	4.609890e-003
2.034018497320717e-003	2.615359e-001	9.500000e+000	5.230718e-003
2.037304609466465e-003	3.121437e-001	9.500000e+000	6.242874e-003
2.040905722819651e-003	3.665211e-001	9.500000e+000	7.330423e-003
2.046896310192363e-003	4.530938e-001	9.500000e+000	9.061877e-003
2.054592677880421e-003	5.570488e-001	9.500000e+000	1.114098e-002
2.064592677880421e-003	6.813238e-001	9.500000e+000	1.362648e-002
2.074592677880421e-003	7.953154e-001	9.500000e+000	1.590631e-002
2.084592677880421e-003	9.003879e-001	9.500000e+000	1.800776e-002
2.094592677880421e-003	9.983714e-001	9.500000e+000	1.996743e-002
2.104592677880421e-003	1.090726e+000	9.500000e+000	2.181451e-002
2.114592677880421e-003	1.178612e+000	9.500000e+000	2.357224e-002
2.124592677880421e-003	1.262953e+000	9.500000e+000	2.525907e-002
2.134592677880421e-003	1.344484e+000	9.500000e+000	2.688968e-002
