time	V(vo)	V(vregp)	I(Rl)
0.000000000000000e+000	1.800550e-025	0.000000e+000	3.601099e-027
1.000000000000000e-003	2.350500e-025	0.000000e+000	4.700999e-027
1.000002025000007e-003	1.068680e-003	9.499710e+000	2.137360e-005
1.000002025123603e-003	1.068745e-003	9.500000e+000	2.137490e-005
1.000002025370795e-003	1.068875e-003	9.500000e+000	2.137751e-005
1.000002025865180e-003	1.069135e-003	9.500000e+000	2.138271e-005
1.000002026853950e-003	1.069654e-003	9.500000e+000	2.139308e-005
1.000002028831489e-003	1.070685e-003	9.500000e+000	2.141370e-005
1.000002032786567e-003	1.072730e-003	9.500000e+000	2.145461e-005
1.000002037900065e-003	1.075347e-003	9.500000e+000	2.150694e-005
1.000002043129284e-003	1.077991e-003	9.500000e+000	2.155982e-005
1.000002049432708e-003	1.081133e-003	9.500000e+000	2.162266e-005
1.000002058424440e-003	1.085549e-003	9.500000e+000	2.171098e-005
1.000002066669000e-003	1.089530e-003	9.500000e+000	2.179061e-005
1.000002076699146e-003	1.094283e-003	9.500000e+000	2.188565e-005
1.000002087672187e-003	1.099374e-003	9.500000e+000	2.198749e-005
1.000002101073275e-003	1.105443e-003	9.500000e+000	2.210885e-005
1.000002116528066e-003	1.112239e-003	9.500000e+000	2.224479e-005
1.000002136658599e-003	1.120777e-003	9.500000e+000	2.241554e-005
1.000002161937989e-003	1.131003e-003	9.500000e+000	2.262007e-005
1.000002198428829e-003	1.144827e-003	9.500000e+000	2.289654e-005
1.000002252172082e-003	1.163209e-003	9.500000e+000	2.326417e-005
1.000002352597949e-003	1.192019e-003	9.500000e+000	2.384037e-005
1.000002553449682e-003	1.236947e-003	9.500000e+000	2.473895e-005
1.000002759212407e-003	1.270803e-003	9.500000e+000	2.541607e-005
1.000002963598165e-003	1.294792e-003	9.500000e+000	2.589585e-005
1.000003179500309e-003	1.313772e-003	9.500000e+000	2.627544e-005
1.000003407463472e-003	1.329724e-003	9.500000e+000	2.659448e-005
1.000003644339521e-003	1.343726e-003	9.500000e+000	2.687452e-005
1.000003894364651e-003	1.356890e-003	9.500000e+000	2.713781e-005
1.000004191124311e-003	1.371407e-003	9.500000e+000	2.742814e-005
1.000004525318375e-003	1.387050e-003	9.500000e+000	2.774100e-005
1.000004971948741e-003	1.407443e-003	9.500000e+000	2.814886e-005
1.000005503901191e-003	1.431431e-003	9.500000e+000	2.862862e-005
1.000006334841918e-003	1.468671e-003	9.500000e+000	2.937342e-005
1.000007163038752e-003	1.505673e-003	9.500000e+000	3.011347e-005
1.000007866298140e-003	1.537027e-003	9.500000e+000	3.074055e-005
1.000008576932316e-003	1.568660e-003	9.500000e+000	3.137320e-005
1.000009362483163e-003	1.603579e-003	9.500000e+000	3.207159e-005
1.000010371714125e-003	1.648386e-003	9.500000e+000	3.296771e-005
1.000011434602371e-003	1.695518e-003	9.500000e+000	3.391036e-005
1.000012671763129e-003	1.750316e-003	9.500000e+000	3.500633e-005
1.000013921855309e-003	1.805630e-003	9.500000e+000	3.611260e-005
1.000015313751295e-003	1.867157e-003	9.500000e+000	3.734315e-005
1.000016741228095e-003	1.930197e-003	9.500000e+000	3.860395e-005
1.000018818560509e-003	2.021850e-003	9.500000e+000	4.043700e-005
1.000021475379704e-003	2.138981e-003	9.500000e+000	4.277962e-005
1.000023544256893e-003	2.230137e-003	9.500000e+000	4.460274e-005
1.000026041414504e-003	2.340114e-003	9.500000e+000	4.680228e-005
1.000028545318880e-003	2.450339e-003	9.500000e+000	4.900678e-005
1.000031705954040e-003	2.589382e-003	9.500000e+000	5.178763e-005
1.000035421139147e-003	2.752666e-003	9.500000e+000	5.505332e-005
1.000039533382535e-003	2.933172e-003	9.500000e+000	5.866344e-005
1.000044221989766e-003	3.138641e-003	9.500000e+000	6.277282e-005
1.000050308342487e-003	3.404796e-003	9.500000e+000	6.809592e-005
1.000058845966385e-003	3.777015e-003	9.500000e+000	7.554031e-005
1.000072379204754e-003	4.364200e-003	9.500000e+000	8.728401e-005
1.000096309089712e-003	5.393534e-003	9.500000e+000	1.078707e-004
1.000144168859629e-003	7.426629e-003	9.500000e+000	1.485326e-004
1.000194374588171e-003	9.522703e-003	9.500000e+000	1.904541e-004
1.000260531550901e-003	1.222506e-002	9.500000e+000	2.445013e-004
1.000332783526464e-003	1.509587e-002	9.500000e+000	3.019174e-004
1.000444646172852e-003	1.938086e-002	9.500000e+000	3.876172e-004
1.000592227253583e-003	2.473139e-002	9.500000e+000	4.946278e-004
1.000865192206420e-003	3.371960e-002	9.500000e+000	6.743920e-004
1.001411122112093e-003	4.919468e-002	9.500000e+000	9.838935e-004
1.002131032632744e-003	6.582157e-002	9.500000e+000	1.316431e-003
1.002851649041677e-003	7.872888e-002	9.500000e+000	1.574578e-003
1.003566405079100e-003	8.846284e-002	9.500000e+000	1.769257e-003
1.004207349055340e-003	9.524261e-002	9.500000e+000	1.904852e-003
1.004603263181684e-003	9.861404e-002	9.500000e+000	1.972281e-003
1.004904101585602e-003	1.007499e-001	9.500000e+000	2.014999e-003
1.005264347221723e-003	1.029270e-001	9.500000e+000	2.058541e-003
1.005730250624979e-003	1.052388e-001	9.500000e+000	2.104775e-003
1.006485066404163e-003	1.080772e-001	9.500000e+000	2.161545e-003
1.007485066404163e-003	1.106679e-001	9.500000e+000	2.213357e-003
1.008485066404163e-003	1.122418e-001	9.500000e+000	2.244835e-003
1.009485066404162e-003	1.130513e-001	9.500000e+000	2.261025e-003
1.010485066404162e-003	1.133483e-001	9.500000e+000	2.266966e-003
1.011485066404162e-003	1.133038e-001	9.500000e+000	2.266076e-003
1.012485066404162e-003	1.130324e-001	9.500000e+000	2.260647e-003
1.013485066404162e-003	1.126180e-001	9.500000e+000	2.252360e-003
1.014107199391080e-003	1.123076e-001	9.500000e+000	2.246151e-003
1.014431806060755e-003	1.121293e-001	9.500000e+000	2.242587e-003
1.014782706554751e-003	1.119264e-001	9.500000e+000	2.238528e-003
1.015219130038070e-003	1.116646e-001	9.500000e+000	2.233292e-003
1.015656704776181e-003	1.113923e-001	9.500000e+000	2.227845e-003
1.016366403670445e-003	1.109336e-001	9.500000e+000	2.218673e-003
1.017366403670445e-003	1.102651e-001	9.500000e+000	2.205303e-003
1.018366403670444e-003	1.095774e-001	9.500000e+000	2.191548e-003
1.019366403670444e-003	1.088761e-001	9.500000e+000	2.177523e-003
1.020366403670444e-003	1.081684e-001	9.500000e+000	2.163369e-003
1.021366403670444e-003	1.074623e-001	9.500000e+000	2.149247e-003
1.022366403670444e-003	1.067706e-001	9.500000e+000	2.135411e-003
1.023366403670444e-003	1.061115e-001	9.500000e+000	2.122229e-003
1.024061880335155e-003	1.056887e-001	9.500000e+000	2.113775e-003
1.024397804236500e-003	1.055093e-001	9.500000e+000	2.110185e-003
1.024741564411062e-003	1.053607e-001	9.500000e+000	2.107215e-003
1.025203765943291e-003	1.052257e-001	9.500000e+000	2.104514e-003
1.025631708436685e-003	1.052157e-001	9.500000e+000	2.104314e-003
1.026326022255501e-003	1.055799e-001	9.500000e+000	2.111598e-003
1.027326022255501e-003	1.070266e-001	9.500000e+000	2.140532e-003
1.028326022255501e-003	1.098334e-001	9.500000e+000	2.196667e-003
1.029326022255501e-003	1.143169e-001	9.500000e+000	2.286338e-003
