time	V(vo)	V(vregp)	I(Rl)
0.000000000000000e+000	1.834155e-025	0.000000e+000	3.668310e-027
1.000000000000000e-003	-7.778897e-023	0.000000e+000	-1.555780e-024
1.000002025000007e-003	1.068368e-003	9.499710e+000	2.136737e-005
1.000002025123603e-003	1.068434e-003	9.500000e+000	2.136867e-005
1.000002025370795e-003	1.068564e-003	9.500000e+000	2.137128e-005
1.000002025865180e-003	1.068824e-003	9.500000e+000	2.137648e-005
1.000002026853950e-003	1.069344e-003	9.500000e+000	2.138688e-005
1.000002028831489e-003	1.070379e-003	9.500000e+000	2.140757e-005
1.000002032786567e-003	1.072435e-003	9.500000e+000	2.144869e-005
1.000002037861235e-003	1.075050e-003	9.500000e+000	2.150099e-005
1.000002043068710e-003	1.077704e-003	9.500000e+000	2.155408e-005
1.000002049318214e-003	1.080847e-003	9.500000e+000	2.161695e-005
1.000002058244515e-003	1.085272e-003	9.500000e+000	2.170544e-005
1.000002066419588e-003	1.089257e-003	9.500000e+000	2.178514e-005
1.000002076386589e-003	1.094024e-003	9.500000e+000	2.188048e-005
1.000002087332699e-003	1.099151e-003	9.500000e+000	2.198303e-005
1.000002100651492e-003	1.105240e-003	9.500000e+000	2.210480e-005
1.000002116024622e-003	1.112066e-003	9.500000e+000	2.224132e-005
1.000002135988731e-003	1.120617e-003	9.500000e+000	2.241234e-005
1.000002161076872e-003	1.130870e-003	9.500000e+000	2.261741e-005
1.000002197153359e-003	1.144687e-003	9.500000e+000	2.289375e-005
1.000002250218033e-003	1.163062e-003	9.500000e+000	2.326124e-005
1.000002348732046e-003	1.191746e-003	9.500000e+000	2.383492e-005
1.000002545760070e-003	1.236568e-003	9.500000e+000	2.473135e-005
1.000002751714900e-003	1.271058e-003	9.500000e+000	2.542115e-005
1.000002955340654e-003	1.295343e-003	9.500000e+000	2.590685e-005
1.000003171192867e-003	1.314513e-003	9.500000e+000	2.629025e-005
1.000003399455962e-003	1.330554e-003	9.500000e+000	2.661109e-005
1.000003635460461e-003	1.344488e-003	9.500000e+000	2.688975e-005
1.000003885160698e-003	1.357566e-003	9.500000e+000	2.715131e-005
1.000004179234484e-003	1.371841e-003	9.500000e+000	2.743682e-005
1.000004512630172e-003	1.387311e-003	9.500000e+000	2.774622e-005
1.000004953181149e-003	1.407253e-003	9.500000e+000	2.814507e-005
1.000005482712475e-003	1.430949e-003	9.500000e+000	2.861898e-005
1.000006296245008e-003	1.467180e-003	9.500000e+000	2.934361e-005
1.000007131336223e-003	1.504313e-003	9.500000e+000	3.008627e-005
1.000007839520624e-003	1.535780e-003	9.500000e+000	3.071559e-005
1.000008555775051e-003	1.567588e-003	9.500000e+000	3.135176e-005
1.000009331054878e-003	1.602001e-003	9.500000e+000	3.204002e-005
1.000010338890734e-003	1.646713e-003	9.500000e+000	3.293427e-005
1.000011395141978e-003	1.693547e-003	9.500000e+000	3.387095e-005
1.000012633245735e-003	1.748410e-003	9.500000e+000	3.496819e-005
1.000013878268475e-003	1.803539e-003	9.500000e+000	3.607077e-005
1.000015270240169e-003	1.865127e-003	9.500000e+000	3.730254e-005
1.000016690162536e-003	1.927903e-003	9.500000e+000	3.855805e-005
1.000018723730222e-003	2.017742e-003	9.500000e+000	4.035483e-005
1.000021368941741e-003	2.134529e-003	9.500000e+000	4.269058e-005
1.000023434201090e-003	2.225652e-003	9.500000e+000	4.451304e-005
1.000025935073151e-003	2.335915e-003	9.500000e+000	4.671831e-005
1.000028399675265e-003	2.444489e-003	9.500000e+000	4.888978e-005
1.000031583237905e-003	2.584590e-003	9.500000e+000	5.169181e-005
1.000035380344375e-003	2.751491e-003	9.500000e+000	5.502983e-005
1.000039445014019e-003	2.929897e-003	9.500000e+000	5.859794e-005
1.000044138640216e-003	3.135557e-003	9.500000e+000	6.271114e-005
1.000050129352685e-003	3.397486e-003	9.500000e+000	6.794972e-005
1.000058684310260e-003	3.770404e-003	9.500000e+000	7.540807e-005
1.000071980859903e-003	4.347244e-003	9.500000e+000	8.694489e-005
1.000095775021605e-003	5.370641e-003	9.500000e+000	1.074128e-004
1.000143363345010e-003	7.392058e-003	9.500000e+000	1.478412e-004
1.000193525822862e-003	9.486212e-003	9.500000e+000	1.897242e-004
