Freq	Gain	Phase
1.00000000000000e-001	5.95265102161302e+001	-1.77579175667527e+002
1.07977516232771e-001	5.95275083722135e+001	-1.77806642165197e+002
1.16591440117983e-001	5.95283574680724e+001	-1.78021224146496e+002
1.25892541179417e-001	5.95290775284768e+001	-1.78224177416302e+002
1.35935639087853e-001	5.95296854913744e+001	-1.78416691059247e+002
1.46779926762207e-001	5.95301956811128e+001	-1.78599894052576e+002
1.58489319246111e-001	5.95306201281777e+001	-1.78774861623521e+002
1.71132830416178e-001	5.95309688080152e+001	-1.78942621350789e+002
1.84784979742229e-001	5.95312499211223e+001	-1.79104159018216e+002
1.99526231496888e-001	5.95314701673534e+001	-1.79260424260881e+002
2.15443469003188e-001	5.95316346408301e+001	-1.79412336057779e+002
2.32630506715363e-001	5.95317473124336e+001	-1.79560788006849e+002
2.51188643150958e-001	5.95318107852381e+001	-1.79706653526418e+002
2.71227257933203e-001	5.95318265794796e+001	-1.79850790904667e+002
2.92864456462524e-001	5.95317950513913e+001	-1.79994048289020e+002
3.16227766016838e-001	5.95317154676007e+001	1.79862731390813e+002
3.41454887383360e-001	5.95315859400429e+001	1.79718705529135e+002
3.68694506451958e-001	5.95314034344164e+001	1.79573026958270e+002
3.98107170553497e-001	5.95311636384267e+001	1.79424839047320e+002
4.29866234708228e-001	5.95308609243560e+001	1.79273270755718e+002
4.64158883361278e-001	5.95304881067094e+001	1.79117431633418e+002
5.01187233627272e-001	5.95300364201398e+001	1.78956406714947e+002
5.41169526546464e-001	5.95294952774359e+001	1.78789251311911e+002
5.84341413373518e-001	5.95288518683609e+001	1.78614985699753e+002
6.30957344480193e-001	5.95280911020773e+001	1.78432589600770e+002
6.81292069057961e-001	5.95271950603641e+001	1.78240996559673e+002
7.35642254459641e-001	5.95261426916128e+001	1.78039088094208e+002
7.94328234724282e-001	5.95249092572374e+001	1.77825687683569e+002
8.57695898590894e-001	5.95234658205520e+001	1.77599554532176e+002
9.26118728128794e-001	5.95217784997142e+001	1.77359377172605e+002
1.00000000000000e+000	5.95198078090475e+001	1.77103766823568e+002
1.07977516232771e+000	5.95175075978101e+001	1.76831250660331e+002
1.16591440117983e+000	5.95148241676571e+001	1.76540264846372e+002
1.25892541179417e+000	5.95116949132903e+001	1.76229147577479e+002
1.35935639087853e+000	5.95080470328900e+001	1.75896132018612e+002
1.46779926762207e+000	5.95037958030297e+001	1.75539339401442e+002
1.58489319246111e+000	5.94988427755962e+001	1.75156772265871e+002
1.71132830416178e+000	5.94930736943803e+001	1.74746308070103e+002
1.84784979742229e+000	5.94863558377811e+001	1.74305693554729e+002
1.99526231496888e+000	5.94785354675841e+001	1.73832539739956e+002
2.15443469003188e+000	5.94694344410491e+001	1.73324318437396e+002
2.32630506715363e+000	5.94588467090612e+001	1.72778360275754e+002
2.51188643150958e+000	5.94465342253930e+001	1.72191855069697e+002
2.71227257933203e+000	5.94322223340410e+001	1.71561855168811e+002
2.92864456462524e+000	5.94155948559310e+001	1.70885282398260e+002
3.16227766016838e+000	5.93962883753377e+001	1.70158940005834e+002
3.41454887383360e+000	5.93738863366758e+001	1.69379530223900e+002
3.68694506451958e+000	5.93479124621776e+001	1.68543679300936e+002
3.98107170553497e+000	5.93178240441414e+001	1.67647970994640e+002
4.29866234708228e+000	5.92830049445244e+001	1.66688990491195e+002
4.64158883361278e+000	5.92427585767925e+001	1.65663380446483e+002
5.01187233627272e+000	5.91963015055198e+001	1.64567910296087e+002
5.41169526546464e+000	5.91427575209180e+001	1.63399561204982e+002
5.84341413373518e+000	5.90811533624455e+001	1.62155626715635e+002
6.30957344480193e+000	5.90104161764773e+001	1.60833830535829e+002
6.81292069057961e+000	5.89293739559207e+001	1.59432460037434e+002
7.35642254459641e+000	5.88367596476488e+001	1.57950513732199e+002
7.94328234724281e+000	5.87312196840758e+001	1.56387859380292e+002
8.57695898590894e+000	5.86113282331312e+001	1.54745395581880e+002
9.26118728128793e+000	5.84756075061277e+001	1.53025209397350e+002
1.00000000000000e+001	5.83225547693326e+001	1.51230718454261e+002
1.07977516232771e+001	5.81506759980465e+001	1.49366784715752e+002
1.16591440117983e+001	5.79585253665001e+001	1.47439786429816e+002
1.25892541179417e+001	5.77447494578805e+001	1.45457633580291e+002
1.35935639087853e+001	5.75081337451620e+001	1.43429716403172e+002
1.46779926762207e+001	5.72476487776154e+001	1.41366778491687e+002
1.58489319246111e+001	5.69624924072803e+001	1.39280714994148e+002
1.71132830416178e+001	5.66521250464683e+001	1.37184300275605e+002
1.84784979742229e+001	5.63162945448288e+001	1.35090860603320e+002
1.99526231496888e+001	5.59550485554557e+001	1.33013911665219e+002
2.15443469003188e+001	5.55687332015368e+001	1.30966786082242e+002
2.32630506715363e+001	5.51579781385960e+001	1.28962277762736e+002
2.51188643150958e+001	5.47236695877384e+001	1.27012326636534e+002
2.71227257933203e+001	5.42669137924162e+001	1.25127763605940e+002
2.92864456462524e+001	5.37889941632516e+001	1.23318127596504e+002
3.16227766016838e+001	5.32913255171780e+001	1.21591559333558e+002
3.41454887383360e+001	5.27754087025868e+001	1.19954768847579e+002
3.68694506451957e+001	5.22427882812722e+001	1.18413068522680e+002
3.98107170553497e+001	5.16950152986108e+001	1.16970459184204e+002
4.29866234708228e+001	5.11336163687586e+001	1.15629755328407e+002
4.64158883361278e+001	5.05600695755874e+001	1.14392735766153e+002
5.01187233627272e+001	4.99757871669114e+001	1.13260306490138e+002
5.41169526546464e+001	4.93821045038794e+001	1.12232666016680e+002
5.84341413373518e+001	4.87802745525604e+001	1.11309464624414e+002
6.30957344480193e+001	4.81714670220759e+001	1.10489952064303e+002
6.81292069057961e+001	4.75567713082689e+001	1.09773109480896e+002
7.35642254459641e+001	4.69372023636392e+001	1.09157764415578e+002
7.94328234724281e+001	4.63137087848543e+001	1.08642687806850e+002
8.57695898590894e+001	4.56871825484611e+001	1.08226672524920e+002
9.26118728128793e+001	4.50584698574675e+001	1.07908594952052e+002
1.00000000000000e+002	4.44283827451305e+001	1.07687460026025e+002
1.07977516232771e+002	4.37977111678898e+001	1.07562430075576e+002
1.16591440117983e+002	4.31672353425735e+001	1.07532838522593e+002
1.25892541179417e+002	4.25377381439653e+001	1.07598189155502e+002
1.35935639087853e+002	4.19100174431552e+001	1.07758140091854e+002
1.46779926762207e+002	4.12848981735490e+001	1.08012472768191e+002
1.58489319246111e+002	4.06632439485376e+001	1.08361045441579e+002
1.71132830416178e+002	4.00459679490730e+001	1.08803730133375e+002
1.84784979742229e+002	3.94340427466923e+001	1.09340332403301e+002
1.99526231496888e+002	3.88285085947688e+001	1.09970493154781e+002
2.15443469003188e+002	3.82304796329063e+001	1.10693572204278e+002
2.32630506715363e+002	3.76411472825384e+001	1.11508514094144e+002
2.51188643150958e+002	3.70617800614894e+001	1.12413697516710e+002
2.71227257933203e+002	3.64937188926484e+001	1.13406771267992e+002
2.92864456462524e+002	3.59383670342537e+001	1.14484482279311e+002
3.16227766016838e+002	3.53971737857349e+001	1.15642502340119e+002
3.41454887383360e+002	3.48716113623049e+001	1.16875263533436e+002
3.68694506451957e+002	3.43631446753165e+001	1.18175814830649e+002
3.98107170553497e+002	3.38731942995304e+001	1.19535712579191e+002
4.29866234708228e+002	3.34030935529970e+001	1.20944960507429e+002
4.64158883361278e+002	3.29540414106267e+001	1.22392010961314e+002
5.01187233627272e+002	3.25270536877902e+001	1.23863839731966e+002
5.41169526546464e+002	3.21229155488564e+001	1.25346097306392e+002
5.84341413373517e+002	3.17421387367047e+001	1.26823337178247e+002
6.30957344480193e+002	3.13849268225938e+001	1.28279311931968e+002
6.81292069057961e+002	3.10511512743278e+001	1.29697319424163e+002
7.35642254459641e+002	3.07403402091159e+001	1.31060578826426e+002
7.94328234724281e+002	3.04516804457959e+001	1.32352610565529e+002
8.57695898590894e+002	3.01840321835273e+001	1.33557595276639e+002
9.26118728128793e+002	2.99359544102769e+001	1.34660691610379e+002
1.00000000000000e+003	2.97057382895382e+001	1.35648296788146e+002
1.07977516232771e+003	2.94914453394100e+001	1.36508243269214e+002
1.16591440117983e+003	2.92909472448710e+001	1.37229930840718e+002
1.25892541179417e+003	2.91019645986239e+001	1.37804403795427e+002
1.35935639087853e+003	2.89221025959941e+001	1.38224381111393e+002
1.46779926762207e+003	2.87488825799111e+001	1.38484255869077e+002
1.58489319246111e+003	2.85797692236676e+001	1.38580079079813e+002
1.71132830416178e+003	2.84121939246162e+001	1.38509540266573e+002
1.84784979742229e+003	2.82435755793255e+001	1.38271950730706e+002
1.99526231496888e+003	2.80713403106379e+001	1.37868240646883e+002
2.15443469003188e+003	2.78929418610667e+001	1.37300964927186e+002
2.32630506715363e+003	2.77058842711080e+001	1.36574317642172e+002
2.51188643150958e+003	2.75077481205983e+001	1.35694145279392e+002
2.71227257933203e+003	2.72962210391742e+001	1.34667942441102e+002
2.92864456462524e+003	2.70691324537269e+001	1.33504825214770e+002
3.16227766016838e+003	2.68244916493208e+001	1.32215456480093e+002
3.41454887383360e+003	2.65605273506090e+001	1.30811922819160e+002
3.68694506451957e+003	2.62757262368974e+001	1.29307538913958e+002
3.98107170553497e+003	2.59688673014567e+001	1.27716598082057e+002
4.29866234708228e+003	2.56390488231731e+001	1.26054055435879e+002
4.64158883361278e+003	2.52857050608794e+001	1.24335168428089e+002
5.01187233627272e+003	2.49086105589053e+001	1.22575111564413e+002
5.41169526546464e+003	2.45078710940943e+001	1.20788586795125e+002
5.84341413373518e+003	2.40839016070403e+001	1.18989463468119e+002
6.30957344480193e+003	2.36373927194864e+001	1.17190456095991e+002
6.81292069057961e+003	2.31692684499331e+001	1.15402877633044e+002
7.35642254459641e+003	2.26806383505684e+001	1.13636453888164e+002
7.94328234724281e+003	2.21727474461645e+001	1.11899226980053e+002
8.57695898590894e+003	2.16469271021820e+001	1.10197527045855e+002
9.26118728128794e+003	2.11045493866271e+001	1.08536008253364e+002
1.00000000000000e+004	2.05469867570083e+001	1.06917741781618e+002
1.07977516232771e+004	1.99755781344094e+001	1.05344335366464e+002
1.16591440117983e+004	1.93916017258688e+001	1.03816085178788e+002
1.25892541179417e+004	1.87962543952505e+001	1.02332146662334e+002
1.35935639087853e+004	1.81906369808183e+001	1.00890675397943e+002
1.46779926762207e+004	1.75757447195089e+001	9.94890053093903e+001
1.58489319246111e+004	1.69524618338523e+001	9.81237833656271e+001
1.71132830416178e+004	1.63215593391754e+001	9.67911034401058e+001
1.84784979742229e+004	1.56836952019103e+001	9.54866230863456e+001
1.99526231496888e+004	1.50394160958240e+001	9.42056634701621e+001
2.15443469003188e+004	1.43891601405316e+001	9.29433066900240e+001
2.32630506715363e+004	1.37332601487320e+001	9.16944597802341e+001
2.51188643150958e+004	1.30719470493110e+001	9.04539309677574e+001
2.71227257933203e+004	1.24053532819468e+001	8.92164879501033e+001
2.92864456462524e+004	1.17335160802721e+001	8.79769134867053e+001
3.16227766016838e+004	1.10563806686609e+001	8.67300582044843e+001
3.41454887383360e+004	1.03738034945039e+001	8.54708923482090e+001
3.68694506451958e+004	9.68555570081566e+000	8.41945577234220e+001
3.98107170553497e+004	8.99132710849013e+000	8.28964204408985e+001
4.29866234708228e+004	8.29073101761461e+000	8.15721242903308e+001
4.64158883361278e+004	7.58331013898397e+000	8.02176436311938e+001
5.01187233627272e+004	6.86854392213488e+000	7.88293336853432e+001
5.41169526546464e+004	6.14585743459081e+000	7.74039750957579e+001
5.84341413373518e+004	5.41463176716571e+000	7.59388088042516e+001
6.30957344480193e+004	4.67421568077780e+000	7.44315568593417e+001
6.81292069057961e+004	3.92393789910631e+000	7.28804163657241e+001
7.35642254459641e+004	3.16311911735296e+000	7.12840843644120e+001
7.94328234724282e+004	2.39108251503508e+000	6.96416222641839e+001
8.57695898590894e+004	1.60716141114735e+000	6.79525269112378e+001
9.26118728128793e+004	8.10702786616303e-001	6.62165296481394e+001
1.00000000000000e+005	1.06578702569088e-003	6.44336202512728e+001
1.07977516232771e+005	-8.22384960686546e-001	6.26039459471644e+001
1.16591440117983e+005	-1.66029040117947e+000	6.07277918421900e+001
1.25892541179417e+005	-2.51331056500123e+000	5.88055956065553e+001
1.35935639087853e+005	-3.38213767484039e+000	5.68380131902440e+001
1.46779926762207e+005	-4.26750540360729e+000	5.48260352443475e+001
1.58489319246111e+005	-5.17019087846216e+000	5.27711438605959e+001
1.71132830416178e+005	-6.09100676012608e+000	5.06754895714709e+001
1.84784979742229e+005	-7.03078209351397e+000	4.85420614596481e+001
1.99526231496888e+005	-7.99033240098396e+000	4.63748205010709e+001
2.15443469003188e+005	-8.97042133320977e+000	4.41787687905491e+001
2.32630506715363e+005	-9.97171774392148e+000	4.19599348274931e+001
2.51188643150958e+005	-1.09947530062974e+001	3.97252662341928e+001
2.71227257933203e+005	-1.20398835625768e+001	3.74824340456931e+001
2.92864456462524e+005	-1.31072630816391e+001	3.52395647017490e+001
3.16227766016838e+005	-1.41968273350860e+001	3.30049249985409e+001
3.41454887383360e+005	-1.53082932527427e+001	3.07865901381816e+001
3.68694506451958e+005	-1.64411718967544e+001	2.85921252095713e+001
3.98107170553497e+005	-1.75947935915437e+001	2.64283064466592e+001
4.29866234708228e+005	-1.87683423766241e+001	2.43009016658327e+001
4.64158883361278e+005	-1.99608964081661e+001	2.22145209588565e+001
5.01187233627272e+005	-2.11714709073516e+001	2.01725405570945e+001
5.41169526546464e+005	-2.23990606330766e+001	1.81770265850730e+001
5.84341413373517e+005	-2.36426794955881e+001	1.62291356941177e+001
6.30957344480193e+005	-2.49013956588372e+001	1.43285243179068e+001
6.81292069057961e+005	-2.61743611965047e+001	1.24741830203565e+001
7.35642254459641e+005	-2.74608359369064e+001	1.06642566101016e+001
7.94328234724281e+005	-2.87602055606203e+001	8.89629783788499e+000
8.57695898590894e+005	-3.00719942494099e+001	7.16746201525771e+000
9.26118728128793e+005	-3.13958722668432e+001	5.47470708806597e+000
1.00000000000000e+006	-3.27316588017701e+001	3.81499609719677e+000
