Freq	Gain	Phase
1.00000000000000e-003	4.37797309913632e+001	-7.39467816708837e+001
1.07977516232771e-003	4.47235804008922e+001	-7.56746023256076e+001
1.16591440117983e-003	4.56474372597433e+001	-7.75944105401014e+001
1.25892541179417e-003	4.65484663193373e+001	-7.96957966678936e+001
1.35935639087853e-003	4.74241090262012e+001	-8.19666840872670e+001
1.46779926762207e-003	4.82721025795899e+001	-8.43937025233164e+001
1.58489319246111e-003	4.90904853637624e+001	-8.69625504126725e+001
1.71132830416178e-003	4.98775902968388e+001	-8.96583215284335e+001
1.84784979742229e-003	5.06320288597700e+001	-9.24657755082911e+001
1.99526231496888e-003	5.13526694817938e+001	-9.53695402358321e+001
2.15443469003188e-003	5.20386143769487e+001	-9.83542423537565e+001
2.32630506715363e-003	5.26891787427090e+001	-1.01404574063992e+002
2.51188643150958e-003	5.33038754554625e+001	-1.04505312075047e+002
2.71227257933203e-003	5.38824071646051e+001	-1.07641311098472e+002
2.92864456462524e-003	5.44246661589534e+001	-1.10797497232789e+002
3.16227766016838e-003	5.49307408209875e+001	-1.13958885011002e+002
3.41454887383360e-003	5.54009261791652e+001	-1.17110636117883e+002
3.68694506451958e-003	5.58357352707565e+001	-1.20238168722980e+002
3.98107170553497e-003	5.62359075949198e+001	-1.23327318777327e+002
4.29866234708228e-003	5.66024114977566e+001	-1.26364541986161e+002
4.64158883361278e-003	5.69364379965068e+001	-1.29337140485535e+002
5.01187233627272e-003	5.72393851099212e+001	-1.32233490579645e+002
5.41169526546464e-003	5.75128326232191e+001	-1.35043251771956e+002
5.84341413373518e-003	5.77585091699702e+001	-1.37757534060375e+002
6.30957344480193e-003	5.79782535849704e+001	-1.40369012675504e+002
6.81292069057961e-003	5.81739737878482e+001	-1.42871980183594e+002
7.35642254459641e-003	5.83476054837715e+001	-1.45262339127403e+002
7.94328234724281e-003	5.85010739562976e+001	-1.47537536689035e+002
8.57695898590894e-003	5.86362600435138e+001	-1.49696455652810e+002
9.26118728128793e-003	5.87549720774714e+001	-1.51739270821246e+002
1.00000000000000e-002	5.88589241047188e+001	-1.53667284651351e+002
