Freq	Gain	Phase
1.00000000000000e-001	5.85451708855054e+001	1.79864602935799e+002
1.07977516232771e-001	5.85451607331615e+001	1.79838678263672e+002
1.16591440117983e-001	5.85451483359239e+001	1.79811805566681e+002
1.25892541179417e-001	5.85451334019900e+001	1.79783822962811e+002
1.35935639087853e-001	5.85451155799925e+001	1.79754559108915e+002
1.46779926762207e-001	5.85450944464848e+001	1.79723854019890e+002
1.58489319246111e-001	5.85450695036898e+001	1.79691522298963e+002
1.71132830416178e-001	5.85450401636702e+001	1.79657366641308e+002
1.84784979742229e-001	5.85450057318156e+001	1.79621198459130e+002
1.99526231496888e-001	5.85449653962173e+001	1.79582800902640e+002
2.15443469003188e-001	5.85449182053315e+001	1.79541942138024e+002
2.32630506715363e-001	5.85448630459691e+001	1.79498374155878e+002
2.51188643150958e-001	5.85447986138382e+001	1.79451860250259e+002
2.71227257933203e-001	5.85447233892193e+001	1.79402116102954e+002
2.92864456462524e-001	5.85446355966166e+001	1.79348851434664e+002
3.16227766016838e-001	5.85445331638559e+001	1.79291754010049e+002
3.41454887383360e-001	5.85444136746181e+001	1.79230473516757e+002
3.68694506451958e-001	5.85442743085334e+001	1.79164662838196e+002
3.98107170553497e-001	5.85441117760050e+001	1.79093947269918e+002
4.29866234708228e-001	5.85439222454984e+001	1.79017864815505e+002
4.64158883361278e-001	5.85437012436477e+001	1.78936007667632e+002
5.01187233627272e-001	5.85434435571613e+001	1.78847904630038e+002
5.41169526546464e-001	5.85431431104054e+001	1.78753018407119e+002
5.84341413373518e-001	5.85427928213466e+001	1.78650742690962e+002
6.30957344480193e-001	5.85423844286086e+001	1.78540571619929e+002
6.81292069057961e-001	5.85419083089165e+001	1.78421837541033e+002
7.35642254459641e-001	5.85413532478862e+001	1.78293764941073e+002
7.94328234724282e-001	5.85407061706867e+001	1.78155696711350e+002
8.57695898590894e-001	5.85399518459409e+001	1.78006773621720e+002
9.26118728128794e-001	5.85390725232960e+001	1.77846188809357e+002
1.00000000000000e+000	5.85380475271154e+001	1.77672895458202e+002
1.07977516232771e+000	5.85368527681372e+001	1.77485947008151e+002
1.16591440117983e+000	5.85354601905552e+001	1.77284261783087e+002
1.25892541179417e+000	5.85338371217639e+001	1.77066732505223e+002
1.35935639087853e+000	5.85319455249213e+001	1.76831990357902e+002
1.46779926762207e+000	5.85297411218458e+001	1.76578686552080e+002
1.58489319246111e+000	5.85271723839793e+001	1.76305486021382e+002
1.71132830416178e+000	5.85241793711611e+001	1.76010715762437e+002
1.84784979742229e+000	5.85206923747169e+001	1.75692703411600e+002
1.99526231496888e+000	5.85166303647553e+001	1.75349770622051e+002
2.15443469003188e+000	5.85118991999244e+001	1.74979766310064e+002
2.32630506715363e+000	5.85063895647615e+001	1.74580865793881e+002
2.51188643150958e+000	5.84999746130864e+001	1.74150874648768e+002
2.71227257933203e+000	5.84925072726718e+001	1.73687338696008e+002
2.92864456462524e+000	5.84838171727628e+001	1.73187770119754e+002
3.16227766016838e+000	5.84737071662316e+001	1.72649529897549e+002
3.41454887383360e+000	5.84619494032363e+001	1.72069827301797e+002
3.68694506451958e+000	5.84482809293532e+001	1.71445722053224e+002
3.98107170553497e+000	5.84323987859132e+001	1.70774129902650e+002
4.29866234708228e+000	5.84139546037485e+001	1.70051832569923e+002
4.64158883361278e+000	5.83925487057308e+001	1.69275493129854e+002
5.01187233627272e+000	5.83677237540827e+001	1.68441908230821e+002
5.41169526546464e+000	5.83389580256766e+001	1.67547117888802e+002
5.84341413373518e+000	5.83056584664384e+001	1.66588056244613e+002
6.30957344480193e+000	5.82671536878761e+001	1.65560531912218e+002
6.81292069057961e+000	5.82226872623624e+001	1.64462053739927e+002
7.35642254459641e+000	5.81714116142361e+001	1.63288918402604e+002
7.94328234724281e+000	5.81123831070382e+001	1.62038146189970e+002
8.57695898590894e+000	5.80445588868483e+001	1.60706671977264e+002
9.26118728128793e+000	5.79667962903528e+001	1.59292853545979e+002
1.00000000000000e+001	5.78778556133527e+001	1.57795693547006e+002
1.07977516232771e+001	5.77764071851533e+001	1.56214533174716e+002
1.16591440117983e+001	5.76610436548993e+001	1.54548751993337e+002
1.25892541179417e+001	5.75302983397632e+001	1.52800227357570e+002
1.35935639087853e+001	5.73826700395995e+001	1.50971640169160e+002
1.46779926762207e+001	5.72166545650526e+001	1.49067057495230e+002
1.58489319246111e+001	5.70307824823068e+001	1.47092016994858e+002
