Freq	Gain	Phase
1.00000000000000e-001	5.85452430756544e+001	-1.79901887942786e+002
1.07977516232771e-001	5.85452448924422e+001	-1.79909184618522e+002
1.16591440117983e-001	5.85452464500876e+001	-1.79915943327660e+002
1.25892541179417e-001	5.85452477862388e+001	-1.79922207422530e+002
1.35935639087853e-001	5.85452489336355e+001	-1.79928020264895e+002
1.46779926762207e-001	5.85452499168273e+001	-1.79933403653803e+002
1.58489319246111e-001	5.85452507599817e+001	-1.79938393782517e+002
1.71132830416178e-001	5.85452514840684e+001	-1.79943026857656e+002
1.84784979742229e-001	5.85452521041810e+001	-1.79947317527260e+002
1.99526231496888e-001	5.85452526356735e+001	-1.79951294837995e+002
2.15443469003188e-001	5.85452530918626e+001	-1.79954987854549e+002
2.32630506715363e-001	5.85452534842575e+001	-1.79958425661395e+002
2.51188643150958e-001	5.85452538197894e+001	-1.79961608600135e+002
2.71227257933203e-001	5.85452541074451e+001	-1.79964565800568e+002
2.92864456462524e-001	5.85452543541198e+001	-1.79967312036051e+002
3.16227766016838e-001	5.85452545655684e+001	-1.79969862108057e+002
3.41454887383360e-001	5.85452547475819e+001	-1.79972245230920e+002
3.68694506451958e-001	5.85452549034792e+001	-1.79974461887672e+002
3.98107170553497e-001	5.85452550361698e+001	-1.79976512597426e+002
4.29866234708228e-001	5.85452551518128e+001	-1.79978455447524e+002
4.64158883361278e-001	5.85452552504739e+001	-1.79980262274109e+002
5.01187233627272e-001	5.85452553340857e+001	-1.79981933723838e+002
5.41169526546464e-001	5.85452554058011e+001	-1.79983499257693e+002
5.84341413373518e-001	5.85452554694902e+001	-1.79985017155088e+002
6.30957344480193e-001	5.85452555222357e+001	-1.79986401931019e+002
6.81292069057961e-001	5.85452555667188e+001	-1.79987683221735e+002
7.35642254459641e-001	5.85452556066680e+001	-1.79988948260790e+002
7.94328234724282e-001	5.85452556396877e+001	-1.79990111768210e+002
8.57695898590894e-001	5.85452556684117e+001	-1.79991232366479e+002
9.26118728128794e-001	5.85452556918122e+001	-1.79992253706060e+002
1.00000000000000e+000	5.85452557131080e+001	-1.79993292117822e+002
1.07977516232771e+000	5.85452557316067e+001	-1.79994291445973e+002
1.16591440117983e+000	5.85452557471194e+001	-1.79995253172530e+002
1.25892541179417e+000	5.85452557591117e+001	-1.79996121367865e+002
1.35935639087853e+000	5.85452557699726e+001	-1.79997012816514e+002
1.46779926762207e+000	5.85452557800349e+001	-1.79997929381877e+002
1.58489319246111e+000	5.85452557872356e+001	-1.79998758017195e+002
1.71132830416178e+000	5.85452557935695e+001	-1.79999615951985e+002
1.84784979742229e+000	5.85452557993617e+001	1.79999494469743e+002
1.99526231496888e+000	5.85452558029251e+001	1.79998685775665e+002
2.15443469003188e+000	5.85452558075173e+001	1.79997725117462e+002
2.32630506715363e+000	5.85452558098873e+001	1.79996839662069e+002
2.51188643150958e+000	5.85452558106555e+001	1.79996026225127e+002
2.71227257933203e+000	5.85452558109477e+001	1.79995166310419e+002
2.92864456462524e+000	5.85452558108815e+001	1.79994256205980e+002
3.16227766016838e+000	5.85452558102182e+001	1.79993291904037e+002
3.41454887383360e+000	5.85452558088817e+001	1.79992269077380e+002
3.68694506451958e+000	5.85452558069571e+001	1.79991183053861e+002
3.98107170553497e+000	5.85452558045149e+001	1.79990028788858e+002
4.29866234708228e+000	5.85452558007399e+001	1.79988800835538e+002
4.64158883361278e+000	5.85452557961866e+001	1.79987493312761e+002
5.01187233627272e+000	5.85452557893362e+001	1.79986329986797e+002
5.41169526546464e+000	5.85452557826754e+001	1.79984843768358e+002
5.84341413373518e+000	5.85452557734445e+001	1.79983487486886e+002
6.30957344480193e+000	5.85452557645093e+001	1.79981562799451e+002
6.81292069057961e+000	5.85452557520305e+001	1.79979981540258e+002
7.35642254459641e+000	5.85452557374243e+001	1.79978274156767e+002
7.94328234724281e+000	5.85452557201076e+001	1.79976430585845e+002
8.57695898590894e+000	5.85452557016692e+001	1.79973979728913e+002
9.26118728128793e+000	5.85452556790925e+001	1.79971370086222e+002
1.00000000000000e+001	5.85452556518244e+001	1.79969049222153e+002
1.07977516232771e+001	5.85452556194622e+001	1.79967003457784e+002
1.16591440117983e+001	5.85452555827347e+001	1.79964297557495e+002
1.25892541179417e+001	5.85452555398022e+001	1.79961375805774e+002
1.35935639087853e+001	5.85452554894627e+001	1.79958220982129e+002
1.46779926762207e+001	5.85452554310101e+001	1.79954814492368e+002
1.58489319246111e+001	5.85452553629815e+001	1.79951136259002e+002
1.71132830416178e+001	5.85452552836463e+001	1.79947164602915e+002
1.84784979742229e+001	5.85452551909561e+001	1.79942876115584e+002
1.99526231496888e+001	5.85452550830155e+001	1.79938245521116e+002
2.15443469003188e+001	5.85452549579580e+001	1.79932325061725e+002
2.32630506715363e+001	5.85452548111585e+001	1.79926926199049e+002
2.51188643150958e+001	5.85452546400222e+001	1.79921096647200e+002
2.71227257933203e+001	5.85452544404582e+001	1.79914802047388e+002
2.92864456462524e+001	5.85452542075814e+001	1.79908005299868e+002
3.16227766016838e+001	5.85452539364439e+001	1.79900666345273e+002
3.41454887383360e+001	5.85452536201566e+001	1.79892741928509e+002
3.68694506451957e+001	5.85452532512638e+001	1.79884185343806e+002
3.98107170553497e+001	5.85452528211874e+001	1.79874946159430e+002
4.29866234708228e+001	5.85452523201622e+001	1.79864969920439e+002
4.64158883361278e+001	5.85452517355583e+001	1.79854197827722e+002
5.01187233627272e+001	5.85452510541554e+001	1.79842566391426e+002
5.41169526546464e+001	5.85452502598498e+001	1.79830007056736e+002
5.84341413373518e+001	5.85452493333771e+001	1.79816445799810e+002
6.30957344480193e+001	5.85452482531691e+001	1.79801802691448e+002
6.81292069057961e+001	5.85452469938881e+001	1.79785991425972e+002
7.35642254459641e+001	5.85452455257026e+001	1.79768918812509e+002
7.94328234724281e+001	5.85452438139802e+001	1.79750484225678e+002
8.57695898590894e+001	5.85452418181428e+001	1.79730579012451e+002
9.26118728128793e+001	5.85452394912367e+001	1.79709085851671e+002
1.00000000000000e+002	5.85452367779125e+001	1.79685878062479e+002
1.07977516232771e+002	5.85452336148034e+001	1.79660818857517e+002
1.16591440117983e+002	5.85452299269948e+001	1.79633760536570e+002
1.25892541179417e+002	5.85452256271534e+001	1.79604543615818e+002
1.35935639087853e+002	5.85452206143018e+001	1.79572995887571e+002
1.46779926762207e+002	5.85452147687282e+001	1.79538931405001e+002
1.58489319246111e+002	5.85452079535305e+001	1.79502149385697e+002
1.71132830416178e+002	5.85452000079799e+001	1.79462433027790e+002
1.84784979742229e+002	5.85451907438886e+001	1.79419548231476e+002
1.99526231496888e+002	5.85451799424376e+001	1.79373242218383e+002
2.15443469003188e+002	5.85451673491030e+001	1.79323242040649e+002
2.32630506715363e+002	5.85451526658190e+001	1.79269252970893e+002
2.51188643150958e+002	5.85451355454346e+001	1.79210956763401e+002
2.71227257933203e+002	5.85451155849569e+001	1.79148009776234e+002
2.92864456462524e+002	5.85450923119693e+001	1.79080040943282e+002
3.16227766016838e+002	5.85450651768186e+001	1.79006649583758e+002
3.41454887383360e+002	5.85450335387705e+001	1.78927403036397e+002
3.68694506451957e+002	5.85449966501429e+001	1.78841834104074e+002
3.98107170553497e+002	5.85449536389883e+001	1.78749438293445e+002
4.29866234708228e+002	5.85449034884917e+001	1.78649670833035e+002
4.64158883361278e+002	5.85448450141840e+001	1.78541943451667e+002
5.01187233627272e+002	5.85447768329188e+001	1.78425620897976e+002
5.41169526546464e+002	5.85446973329436e+001	1.78300017179242e+002
5.84341413373517e+002	5.85446033633746e+001	1.78134936610375e+002
6.30957344480193e+002	5.85444965404844e+001	1.78017943854425e+002
6.81292069057961e+002	5.85443704965040e+001	1.77859810306691e+002
7.35642254459641e+002	5.85442235180067e+001	1.77689057827410e+002
7.94328234724281e+002	5.85440521222219e+001	1.77504678755991e+002
8.57695898590894e+002	5.85438522460648e+001	1.77305584791469e+002
9.26118728128793e+002	5.85436191506614e+001	1.77090600493655e+002
1.00000000000000e+003	5.85433422964828e+001	1.76799546523099e+002
1.07977516232771e+003	5.85430252047542e+001	1.76548870938570e+002
1.16591440117983e+003	5.85426604350602e+001	1.76337092275693e+002
1.25892541179417e+003	5.85422239594586e+001	1.75985880981468e+002
1.35935639087853e+003	5.85417258724989e+001	1.75729146773311e+002
1.46779926762207e+003	5.85411388201096e+001	1.75388292249674e+002
1.58489319246111e+003	5.85404538720647e+001	1.75020208179494e+002
1.71132830416178e+003	5.85396546071645e+001	1.74622712581953e+002
1.84784979742229e+003	5.85387218183089e+001	1.74193446911133e+002
1.99526231496888e+003	5.85376330227322e+001	1.73729861336626e+002
2.15443469003188e+003	5.85363618904942e+001	1.73229198689590e+002
2.32630506715363e+003	5.85348775648136e+001	1.72688476930971e+002
2.51188643150958e+003	5.85331438502159e+001	1.72104469977467e+002
2.71227257933203e+003	5.85310976356688e+001	1.71355867960696e+002
2.92864456462524e+003	5.85287508252046e+001	1.70792347836908e+002
3.16227766016838e+003	5.85259827975753e+001	1.70056360703201e+002
3.41454887383360e+003	5.85227449067453e+001	1.69261291196776e+002
3.68694506451957e+003	5.85188758299022e+001	1.68166697753516e+002
3.98107170553497e+003	5.85145176366075e+001	1.67474273403841e+002
4.29866234708228e+003	5.85093170656724e+001	1.66471455623435e+002
4.64158883361278e+003	5.85032176909670e+001	1.65387736720096e+002
5.01187233627272e+003	5.84960575954153e+001	1.64216441047618e+002
5.41169526546464e+003	5.84876434829955e+001	1.62950308427373e+002
5.84341413373518e+003	5.84777438896315e+001	1.61581436612896e+002
6.30957344480193e+003	5.84660807402099e+001	1.60101217532106e+002
6.81292069057961e+003	5.84523187876307e+001	1.58500266957158e+002
7.35642254459641e+003	5.84360523639294e+001	1.56768347506982e+002
7.94328234724281e+003	5.84167887013892e+001	1.54894285380548e+002
8.57695898590894e+003	5.83939268983288e+001	1.52865882025927e+002
9.26118728128794e+003	5.83667313656992e+001	1.50669823275313e+002
1.00000000000000e+004	5.83339713818386e+001	1.47820362940950e+002
1.07977516232771e+004	5.82951840606676e+001	1.45244161235434e+002
1.16591440117983e+004	5.82489998151937e+001	1.42924055261290e+002
1.25892541179417e+004	5.81930507253018e+001	1.39899113344037e+002
1.35935639087853e+004	5.81255506442069e+001	1.36620758470065e+002
