Freq	Gain	Phase
1.00000000000000e-001	5.85444284985050e+001	1.79313210025624e+002
1.07977516232771e-001	5.85442952077696e+001	1.79243306448441e+002
1.16591440117983e-001	5.85441392469174e+001	1.79168948636441e+002
1.25892541179417e-001	5.85439569371963e+001	1.79089695572285e+002
1.35935639087853e-001	5.85437439790228e+001	1.79005074657738e+002
1.46779926762207e-001	5.85434953467798e+001	1.78914600806585e+002
1.58489319246111e-001	5.85432051778188e+001	1.78817737820879e+002
1.71132830416178e-001	5.85428666313007e+001	1.78713909905040e+002
1.84784979742229e-001	5.85424717244007e+001	1.78602520158415e+002
1.99526231496888e-001	5.85420111507357e+001	1.78482911313325e+002
2.15443469003188e-001	5.85414740595843e+001	1.78354376572730e+002
2.32630506715363e-001	5.85408478017728e+001	1.78216155814918e+002
2.51188643150958e-001	5.85401176309736e+001	1.78067460300189e+002
2.71227257933203e-001	5.85392663660679e+001	1.77907410810848e+002
2.92864456462524e-001	5.85382739859268e+001	1.77735076185031e+002
3.16227766016838e-001	5.85371171656996e+001	1.77549454033238e+002
3.41454887383360e-001	5.85357687370885e+001	1.77349451163947e+002
3.68694506451958e-001	5.85341970570333e+001	1.77133921249597e+002
3.98107170553497e-001	5.85323652816145e+001	1.76901630301385e+002
4.29866234708228e-001	5.85302305243170e+001	1.76651193117127e+002
4.64158883361278e-001	5.85277428682494e+001	1.76381210846917e+002
5.01187233627272e-001	5.85248442410500e+001	1.76090149487533e+002
5.41169526546464e-001	5.85214671051626e+001	1.75776333305900e+002
5.84341413373518e-001	5.85175329467441e+001	1.75437938218589e+002
6.30957344480193e-001	5.85129505289671e+001	1.75073157828592e+002
6.81292069057961e-001	5.85076139029869e+001	1.74679938216535e+002
7.35642254459641e-001	5.85014001103221e+001	1.74256029559918e+002
7.94328234724282e-001	5.84941665549175e+001	1.73799211008521e+002
8.57695898590894e-001	5.84857480230699e+001	1.73306970028925e+002
9.26118728128794e-001	5.84759532862314e+001	1.72776758429455e+002
1.00000000000000e+000	5.84645612778430e+001	1.72205703756147e+002
1.07977516232771e+000	5.84513167857320e+001	1.71590956013281e+002
1.16591440117983e+000	5.84359256632032e+001	1.70929462350622e+002
1.25892541179417e+000	5.84180495270854e+001	1.70218091072694e+002
1.35935639087853e+000	5.83972999621223e+001	1.69453415684294e+002
1.46779926762207e+000	5.83732322553692e+001	1.68632023129047e+002
1.58489319246111e+000	5.83453387442996e+001	1.67750542218374e+002
1.71132830416178e+000	5.83130418991165e+001	1.66805336271263e+002
1.84784979742229e+000	5.82756873170546e+001	1.65792897133907e+002
1.99526231496888e+000	5.82325369129335e+001	1.64709906744449e+002
2.15443469003188e+000	5.81827626626318e+001	1.63552852794562e+002
2.32630506715363e+000	5.81254413871911e+001	1.62318925629662e+002
2.51188643150958e+000	5.80595511720104e+001	1.61005435877094e+002
2.71227257933203e+000	5.79839701578684e+001	1.59610053868911e+002
2.92864456462524e+000	5.78974785332974e+001	1.58131179305554e+002
3.16227766016838e+000	5.77987646420547e+001	1.56567978070798e+002
3.41454887383360e+000	5.76864361166080e+001	1.54920541550593e+002
3.68694506451958e+000	5.75590368684681e+001	1.53190046163663e+002
3.98107170553497e+000	5.74150705386211e+001	1.51378903417422e+002
4.29866234708228e+000	5.72530306354669e+001	1.49490888531457e+002
4.64158883361278e+000	5.70714370473165e+001	1.47531234032521e+002
5.01187233627272e+000	5.68688779316808e+001	1.45506904351669e+002
5.41169526546464e+000	5.66440551931640e+001	1.43425657955060e+002
5.84341413373518e+000	5.63958311117562e+001	1.41297568694529e+002
6.30957344480193e+000	5.61232728797912e+001	1.39132789439668e+002
6.81292069057961e+000	5.58256918252307e+001	1.36944073446111e+002
7.35642254459641e+000	5.55026737561979e+001	1.34743479654957e+002
7.94328234724281e+000	5.51540979112140e+001	1.32543863055733e+002
8.57695898590894e+000	5.47801425366968e+001	1.30357580542361e+002
9.26118728128793e+000	5.43812766704438e+001	1.28197500025943e+002
1.00000000000000e+001	5.39582388167575e+001	1.26075737159318e+002
1.07977516232771e+001	5.35120045905804e+001	1.24002902752264e+002
1.16591440117983e+001	5.30437462353802e+001	1.21987416756493e+002
1.25892541179417e+001	5.25547874482673e+001	1.20037657922253e+002
1.35935639087853e+001	5.20465567240626e+001	1.18160048345365e+002
1.46779926762207e+001	5.15205423944706e+001	1.16359508802632e+002
1.58489319246111e+001	5.09782516659204e+001	1.14639513651798e+002
1.71132830416178e+001	5.04211752840312e+001	1.13002192111661e+002
1.84784979742229e+001	4.98507586803638e+001	1.11448461854926e+002
1.99526231496888e+001	4.92683798014328e+001	1.09978181533218e+002
2.15443469003188e+001	4.86753332899734e+001	1.08589390550970e+002
2.32630506715363e+001	4.80728204513652e+001	1.07282147774642e+002
2.51188643150958e+001	4.74619439212939e+001	1.06053160109769e+002
2.71227257933203e+001	4.68437064239200e+001	1.04899599582528e+002
2.92864456462524e+001	4.62190124861725e+001	1.03818304072845e+002
3.16227766016838e+001	4.55886723863074e+001	1.02805881667955e+002
3.41454887383360e+001	4.49534076166924e+001	1.01858798645284e+002
3.68694506451957e+001	4.43138572818920e+001	1.00973452001198e+002
3.98107170553497e+001	4.36705849743310e+001	1.00146227918048e+002
4.29866234708228e+001	4.30240857804397e+001	9.93735477847425e+001
4.64158883361278e+001	4.23747931647242e+001	9.86519034623753e+001
5.01187233627272e+001	4.17230855579586e+001	9.79778834184655e+001
5.41169526546464e+001	4.10692925372305e+001	9.73481912566999e+001
5.84341413373518e+001	4.04137005336564e+001	9.67596580024389e+001
6.30957344480193e+001	3.97565580393192e+001	9.62092493271918e+001
