Freq	Gain	Phase
1.00000000000000e-001	5.85452356842500e+001	-1.79976453654461e+002
1.07977516232771e-001	5.85452362774033e+001	-1.79989698814368e+002
1.16591440117983e-001	5.85452364083963e+001	1.79997119452994e+002
1.25892541179417e-001	5.85452360811935e+001	1.79983919939349e+002
1.35935639087853e-001	5.85452352890882e+001	1.79970618407159e+002
1.46779926762207e-001	5.85452340111907e+001	1.79957148920888e+002
1.58489319246111e-001	5.85452322181103e+001	1.79943427630005e+002
1.71132830416178e-001	5.85452298684003e+001	1.79929366869020e+002
1.84784979742229e-001	5.85452269049353e+001	1.79914896426203e+002
1.99526231496888e-001	5.85452232581135e+001	1.79899927259022e+002
2.15443469003188e-001	5.85452188429530e+001	1.79884365521256e+002
2.32630506715363e-001	5.85452135556026e+001	1.79868112179613e+002
2.51188643150958e-001	5.85452072690777e+001	1.79851091364313e+002
2.71227257933203e-001	5.85451998361973e+001	1.79833192393149e+002
2.92864456462524e-001	5.85451910812317e+001	1.79814312435823e+002
3.16227766016838e-001	5.85451807974179e+001	1.79794341610811e+002
3.41454887383360e-001	5.85451687429407e+001	1.79773148040792e+002
3.68694506451958e-001	5.85451546322393e+001	1.79750620392403e+002
3.98107170553497e-001	5.85451381314184e+001	1.79726638456404e+002
4.29866234708228e-001	5.85451188539389e+001	1.79701014911182e+002
4.64158883361278e-001	5.85450963418758e+001	1.79673638381874e+002
5.01187233627272e-001	5.85450700633870e+001	1.79644357557964e+002
5.41169526546464e-001	5.85450393994669e+001	1.79612980303657e+002
5.84341413373518e-001	5.85450036284040e+001	1.79579272697763e+002
6.30957344480193e-001	5.85449619010587e+001	1.79543130584818e+002
6.81292069057961e-001	5.85449132340507e+001	1.79504319576009e+002
7.35642254459641e-001	5.85448564810842e+001	1.79462531371929e+002
7.94328234724282e-001	5.85447902996442e+001	1.79417612577275e+002
8.57695898590894e-001	5.85447131295002e+001	1.79369246886966e+002
9.26118728128794e-001	5.85446231469591e+001	1.79317212452842e+002
1.00000000000000e+000	5.85445182318878e+001	1.79261092605307e+002
1.07977516232771e+000	5.85443959062434e+001	1.79200619267726e+002
1.16591440117983e+000	5.85442532836288e+001	1.79135440942768e+002
1.25892541179417e+000	5.85440869974015e+001	1.79065235726556e+002
1.35935639087853e+000	5.85438931272552e+001	1.78989478990530e+002
1.46779926762207e+000	5.85436670991896e+001	1.78907728656757e+002
1.58489319246111e+000	5.85434035798742e+001	1.78819622647196e+002
1.71132830416178e+000	5.85430963577085e+001	1.78724530965977e+002
1.84784979742229e+000	5.85427381884958e+001	1.78621897926266e+002
1.99526231496888e+000	5.85423206280478e+001	1.78511238984289e+002
2.15443469003188e+000	5.85418338388737e+001	1.78391677110492e+002
2.32630506715363e+000	5.85412663509329e+001	1.78262744556941e+002
2.51188643150958e+000	5.85406047998895e+001	1.78123688613382e+002
2.71227257933203e+000	5.85398336152217e+001	1.77973582502573e+002
2.92864456462524e+000	5.85389346515643e+001	1.77811551057708e+002
3.16227766016838e+000	5.85378867715127e+001	1.77636650938393e+002
3.41454887383360e+000	5.85366653516223e+001	1.77447865615849e+002
3.68694506451958e+000	5.85352417139166e+001	1.77244100065267e+002
3.98107170553497e+000	5.85335824626764e+001	1.77024175171516e+002
4.29866234708228e+000	5.85316487171522e+001	1.76786821858397e+002
4.64158883361278e+000	5.85293952218937e+001	1.76530674962942e+002
5.01187233627272e+000	5.85267693140472e+001	1.76254497004864e+002
5.41169526546464e+000	5.85237097335868e+001	1.75956251202376e+002
5.84341413373518e+000	5.85201452436913e+001	1.75634705661096e+002
6.30957344480193e+000	5.85159930440542e+001	1.75287355698642e+002
6.81292069057961e+000	5.85111569417937e+001	1.74913178720998e+002
7.35642254459641e+000	5.85055252517747e+001	1.74509636485200e+002
7.94328234724281e+000	5.84989683905850e+001	1.74074510294501e+002
8.57695898590894e+000	5.84913361284521e+001	1.73604975576734e+002
9.26118728128793e+000	5.84824544658560e+001	1.73098978739712e+002
1.00000000000000e+001	5.84721220919552e+001	1.72554314426393e+002
1.07977516232771e+001	5.84601063873700e+001	1.71968165097342e+002
1.16591440117983e+001	5.84461389474250e+001	1.71336643370068e+002
1.25892541179417e+001	5.84299106245870e+001	1.70657099281056e+002
1.35935639087853e+001	5.84110660393754e+001	1.69926289983437e+002
1.46779926762207e+001	5.83891976150228e+001	1.69140856211706e+002
1.58489319246111e+001	5.83638391664930e+001	1.68297345424390e+002
1.71132830416178e+001	5.83344591371858e+001	1.67392243305171e+002
1.84784979742229e+001	5.83004536218587e+001	1.66422015221549e+002
1.99526231496888e+001	5.82611393991250e+001	1.65383159305451e+002
2.15443469003188e+001	5.82157472553797e+001	1.64271352394170e+002
2.32630506715363e+001	5.81634160823636e+001	1.63085212996390e+002
2.51188643150958e+001	5.81031880933961e+001	1.61820875817514e+002
2.71227257933203e+001	5.80340060381426e+001	1.60475787256768e+002
2.92864456462524e+001	5.79547130127130e+001	1.59047914813549e+002
3.16227766016838e+001	5.78640558021530e+001	1.57535891303400e+002
3.41454887383360e+001	5.77606926586049e+001	1.55939169924432e+002
3.68694506451957e+001	5.76432064204668e+001	1.54258184472659e+002
3.98107170553497e+001	5.75101237311030e+001	1.52494506623903e+002
4.29866234708228e+001	5.73599408527596e+001	1.50650989731400e+002
4.64158883361278e+001	5.71911561231053e+001	1.48731886527006e+002
5.01187233627272e+001	5.70023085206115e+001	1.46742926777400e+002
5.41169526546464e+001	5.67920210670335e+001	1.44691341045351e+002
5.84341413373518e+001	5.65590470326425e+001	1.42585818512468e+002
6.30957344480193e+001	5.63023161996543e+001	1.40436390704301e+002
6.81292069057961e+001	5.60209779193102e+001	1.38254238861867e+002
7.35642254459641e+001	5.57144375428688e+001	1.36051429885968e+002
7.94328234724281e+001	5.53823830414210e+001	1.33840593617833e+002
8.57695898590894e+001	5.50247993542257e+001	1.31634561065831e+002
9.26118728128793e+001	5.46419690838162e+001	1.29445988112021e+002
1.00000000000000e+002	5.42344594735364e+001	1.27286991048092e+002
1.07977516232771e+002	5.38030969151627e+001	1.25168818837274e+002
1.16591440117983e+002	5.33489313684829e+001	1.23101582273228e+002
1.25892541179417e+002	5.28731938061464e+001	1.21094053583985e+002
1.35935639087853e+002	5.23772501196075e+001	1.19153542141549e+002
1.46779926762207e+002	5.18625547677763e+001	1.17285844749954e+002
1.58489319246111e+002	5.13306069859263e+001	1.15495262788642e+002
1.71132830416178e+002	5.07829116630654e+001	1.13784674520859e+002
1.84784979742229e+002	5.02209462308364e+001	1.12155648765393e+002
1.99526231496888e+002	4.96461341736011e+001	1.10608585942878e+002
2.15443469003188e+002	4.90598251576944e+001	1.09142873691203e+002
2.32630506715363e+002	4.84632813256984e+001	1.07757046275246e+002
2.51188643150958e+002	4.78576690119346e+001	1.06448939432283e+002
2.71227257933203e+002	4.72440549881929e+001	1.05215834748777e+002
2.92864456462524e+002	4.66234063186146e+001	1.04054589805645e+002
3.16227766016838e+002	4.59965929469451e+001	1.02961752191816e+002
3.41454887383360e+002	4.53643922368756e+001	1.01933656845772e+002
3.68694506451957e+002	4.47274948052635e+001	1.00966507175559e+002
3.98107170553497e+002	4.40865111116429e+001	1.00056441088660e+002
4.29866234708228e+002	4.34419783871008e+001	9.91995834012127e+001
4.64158883361278e+002	4.27943675897816e+001	9.83920862828425e+001
5.01187233627272e+002	4.21440901636906e+001	9.76301593983930e+001
5.41169526546464e+002	4.14915044490801e+001	9.69100913518748e+001
5.84341413373517e+002	4.08369201981689e+001	9.61988200061164e+001
6.30957344480193e+002	4.01806113096348e+001	9.55811600050751e+001
6.81292069057961e+002	3.95228062659055e+001	9.49653675440488e+001
7.35642254459641e+002	3.88637071023135e+001	9.43775784539596e+001
7.94328234724281e+002	3.82034860986526e+001	9.38145852728932e+001
8.57695898590894e+002	3.75422907158045e+001	9.32732750267470e+001
9.26118728128793e+002	3.68802466438700e+001	9.27506212262900e+001
1.00000000000000e+003	3.62174553075866e+001	9.21847869228033e+001
1.07977516232771e+003	3.55540167014100e+001	9.16906637661822e+001
1.16591440117983e+003	3.48900056506460e+001	9.12654231227173e+001
1.25892541179417e+003	3.42254682391569e+001	9.07296166289626e+001
1.35935639087853e+003	3.35604747298339e+001	9.03160369394058e+001
1.46779926762207e+003	3.28950484451806e+001	8.98452811352284e+001
1.58489319246111e+003	3.22292234103476e+001	8.93734978388242e+001
1.71132830416178e+003	3.15630191771110e+001	8.88979361700803e+001
1.84784979742229e+003	3.08964464189695e+001	8.84158184547860e+001
1.99526231496888e+003	3.02295071600769e+001	8.79243251897213e+001
2.15443469003188e+003	2.95621948048648e+001	8.74205795927737e+001
2.32630506715363e+003	2.88944939673266e+001	8.69016317147558e+001
2.51188643150958e+003	2.82263800945337e+001	8.63644420733258e+001
2.71227257933203e+003	2.75577987434235e+001	8.56880907898940e+001
2.92864456462524e+003	2.68887654119438e+001	8.52226300408800e+001
3.16227766016838e+003	2.62191631552343e+001	8.46113262154138e+001
3.41454887383360e+003	2.55489425414083e+001	8.39683810201300e+001
3.68694506451957e+003	2.48779413408455e+001	8.30544963704673e+001
3.98107170553497e+003	2.42062925966399e+001	8.25723575997443e+001
4.29866234708228e+003	2.35336422900345e+001	8.18111541986696e+001
4.64158883361278e+003	2.28599263720672e+001	8.10020169946727e+001
5.01187233627272e+003	2.21849773898630e+001	8.01402669480982e+001
5.41169526546464e+003	2.15085984431090e+001	7.92209386323322e+001
5.84341413373518e+003	2.08305584308549e+001	7.82387576203088e+001
6.30957344480193e+003	2.01505864629496e+001	7.71881179347984e+001
6.81292069057961e+003	1.94683652994048e+001	7.60630599983125e+001
7.35642254459641e+003	1.87835236592622e+001	7.48572497034381e+001
7.94328234724281e+003	1.80956272170794e+001	7.35639594641996e+001
8.57695898590894e+003	1.74041680809508e+001	7.21760524337956e+001
9.26118728128794e+003	1.67085525229028e+001	7.06859715032573e+001
1.00000000000000e+004	1.60077702860954e+001	6.86146797182757e+001
1.07977516232771e+004	1.53016421378304e+001	6.68958934550480e+001
1.16591440117983e+004	1.45892269139254e+001	6.55207983714402e+001
1.25892541179417e+004	1.38687833974018e+001	6.35381395636237e+001
1.35935639087853e+004	1.31393443133662e+001	6.14095110908413e+001
1.46779926762207e+004	1.23981771232738e+001	5.81832830942334e+001
1.58489319246111e+004	1.16472623233904e+001	5.66756619555450e+001
1.71132830416178e+004	1.08808821714715e+001	5.40511490779310e+001
1.84784979742229e+004	1.00979690502183e+001	5.12425449814701e+001
1.99526231496888e+004	9.29588613027883e+000	4.82414305524637e+001
2.15443469003188e+004	8.47038257118561e+000	4.40987521421724e+001
2.32630506715363e+004	7.62187628604364e+000	4.16345557241781e+001
2.51188643150958e+004	6.74286692404917e+000	3.80202851715346e+001
2.71227257933203e+004	5.83055677466128e+000	3.41978930547005e+001
2.92864456462524e+004	4.88061827734443e+000	3.01714613672232e+001
3.16227766016838e+004	3.88855766738744e+000	2.59498232140338e+001
3.41454887383360e+004	2.84986532627030e+000	2.15472339254046e+001
3.68694506451958e+004	1.76021058411630e+000	1.69838035058836e+001
3.98107170553497e+004	6.15671007871096e-001	1.22855579463454e+001
4.29866234708228e+004	-5.87023702613715e-001	7.48401780448651e+000
4.64158883361278e+004	-1.85026173856504e+000	2.61523917326332e+000
5.01187233627272e+004	-3.17536574668527e+000	-2.28165008696068e+000
5.41169526546464e+004	-4.56248540570398e+000	-7.16628636591146e+000
5.84341413373518e+004	-6.01058456304713e+000	-1.19990639344986e+001
6.30957344480193e+004	-7.51752519377575e+000	-1.67430348142400e+001
6.81292069057961e+004	-9.08023348156741e+000	-2.13654855300977e+001
7.35642254459641e+004	-1.06949206656488e+001	-2.58390341128141e+001
7.94328234724282e+004	-1.23573260775476e+001	-3.01421888138948e+001
8.57695898590894e+004	-1.40629522088446e+001	-3.42594031997097e+001
9.26118728128793e+004	-1.58072694423960e+001	-3.81807280531948e+001
1.00000000000000e+005	-1.75858779579841e+001	-4.19011903631729e+001
1.07977516232771e+005	-1.93946234238603e+001	-4.54200278961747e+001
1.16591440117983e+005	-2.12296697464225e+001	-4.87398856015090e+001
1.25892541179417e+005	-2.30875359526988e+001	-5.18660493921968e+001
1.35935639087853e+005	-2.49651056429748e+001	-5.48057627209421e+001
1.46779926762207e+005	-2.68596171442829e+001	-5.75676468375181e+001
1.58489319246111e+005	-2.88432412563876e+001	-6.76461281145646e+001
1.71132830416178e+005	-3.06900521672611e+001	-6.25965664778968e+001
1.84784979742229e+005	-3.26219948540971e+001	-6.48839689608656e+001
1.99526231496888e+005	-3.45628525511274e+001	-6.70337796667018e+001
2.15443469003188e+005	-3.68015629619774e+001	-8.37786307878081e+001
2.32630506715363e+005	-3.84658486551486e+001	-7.09613139482832e+001
2.51188643150958e+005	-4.07159620328833e+001	-8.74812288211159e+001
2.71227257933203e+005	-4.23897205314912e+001	-7.44579210577329e+001
2.92864456462524e+005	-4.43571448518706e+001	-7.60678254090613e+001
3.16227766016838e+005	-4.63271707306527e+001	-7.75971042983320e+001
3.41454887383360e+005	-4.82990911553574e+001	-7.90540184080720e+001
3.68694506451958e+005	-5.02722480509226e+001	-8.04464553517429e+001
3.98107170553497e+005	-5.22460173842500e+001	-8.17819353769631e+001
4.29866234708228e+005	-5.52792817346701e+001	-1.10790650183554e+002
4.64158883361278e+005	-5.61929857493647e+001	-8.43103003913718e+001
5.01187233627272e+005	-5.81649873660209e+001	-8.55164262018848e+001
5.41169526546464e+005	-6.01351828766490e+001	-8.66920680851238e+001
5.84341413373517e+005	-6.21029275162395e+001	-8.78429164362170e+001
6.30957344480193e+005	-6.40675384597168e+001	-8.89742512935229e+001
6.81292069057961e+005	-6.60282845906624e+001	-9.00909019527796e+001
7.35642254459641e+005	-6.79843767716967e+001	-9.11971908356024e+001
7.94328234724281e+005	-6.99349587484299e+001	-9.22968591749351e+001
8.57695898590894e+005	-7.18790988918503e+001	-9.33929723149214e+001
9.26118728128793e+005	-7.38157830687706e+001	-9.44878029609883e+001
1.00000000000000e+006	-7.89761715635478e+001	-1.42008623355957e+002
