Time	Vin	Vo
0.000000000000000e+000	-1.001215e-002	-1.995596e-002
2.583856494216275e-008	9.716745e-003	-1.995596e-002
7.751569482475351e-008	1.035142e-002	-1.995596e-002
1.128497147551838e-007	9.725090e-003	-1.995549e-002
1.586034458992552e-007	1.028490e-002	-1.995453e-002
2.000607960805229e-007	9.795900e-003	-1.995310e-002
2.548141774458279e-007	1.021385e-002	-1.995024e-002
3.336443632866171e-007	9.824749e-003	-1.994356e-002
4.531899811099222e-007	1.017379e-002	-1.992497e-002
6.922812167565323e-007	9.828564e-003	-1.985344e-002
1.083191730396130e-006	1.016831e-002	-1.961455e-002
1.809778151139196e-006	9.834047e-003	-1.880297e-002
2.809778151138462e-006	1.016545e-002	-1.711354e-002
3.809778151137727e-006	9.836908e-003	-1.495966e-002
4.809778151136993e-006	1.016235e-002	-1.258692e-002
5.809778151136258e-006	9.839293e-003	-1.024803e-002
6.809778151135523e-006	1.016020e-002	-8.100360e-003
7.809778151134789e-006	9.841200e-003	-6.216853e-003
8.809778151134054e-006	1.015806e-002	-4.611343e-003
9.809778151133319e-006	9.843346e-003	-3.268092e-003
1.080977815113259e-005	1.015615e-002	-2.158015e-003
1.180977815113185e-005	9.845253e-003	-1.245826e-003
1.280977815113112e-005	1.015424e-002	-4.981452e-004
1.380977815113038e-005	9.847160e-003	1.155442e-004
1.480977815112965e-005	1.015234e-002	6.224221e-004
1.580977815112891e-005	9.849068e-003	1.044423e-003
1.680977815112818e-005	1.015043e-002	1.400620e-003
1.780977815112744e-005	9.851213e-003	1.705319e-003
1.880977815112671e-005	1.014852e-002	1.970441e-003
1.980977815112597e-005	9.852882e-003	2.205045e-003
2.080977815112524e-005	1.014661e-002	2.417714e-003
2.180977815112450e-005	9.854790e-003	2.613217e-003
2.280977815112377e-005	1.014471e-002	2.795846e-003
2.380977815112303e-005	9.856697e-003	2.968938e-003
2.480977815112230e-005	1.014280e-002	3.134877e-003
2.580977815112157e-005	9.858604e-003	3.296048e-003
2.780977815112010e-005	9.860273e-003	3.605992e-003
3.080977815111789e-005	1.013755e-002	4.052312e-003
4.109549243682463e-005	1.006157e-002	5.464343e-003
5.138120672253136e-005	1.000856e-002	6.773339e-003
6.166692100823809e-005	9.978505e-003	7.979299e-003
7.195263529394483e-005	9.971420e-003	9.082224e-003
8.223834957965156e-005	9.987302e-003	1.008211e-002
9.252406386535828e-005	1.002615e-002	1.097897e-002
1.028097781510650e-004	1.008796e-002	1.177278e-002
1.126669210082006e-004	1.005796e-002	1.247397e-002
1.225240638653363e-004	1.003103e-002	1.312548e-002
1.323812067224719e-004	1.000718e-002	1.372733e-002
1.422383495796075e-004	9.986407e-003	1.427951e-002
1.520954924367431e-004	9.968705e-003	1.478201e-002
1.619526352938787e-004	9.954079e-003	1.523485e-002
1.718097781510143e-004	9.942528e-003	1.563802e-002
1.818097781510070e-004	9.974583e-003	1.601471e-002
1.918097781509996e-004	9.996907e-003	1.636437e-002
2.018097781509923e-004	1.000950e-002	1.668703e-002
2.118097781509849e-004	1.001236e-002	1.698267e-002
2.218097781509776e-004	1.000549e-002	1.725129e-002
