Time	Vin	Vo
0.000000000000000e+000	-9.987358e-003	-1.997374e-002
2.578924975654706e-008	9.716269e-003	-1.997374e-002
7.736774926964118e-008	1.035189e-002	-1.997279e-002
1.126333891345727e-007	9.725090e-003	-1.997136e-002
1.582974664543491e-007	1.028490e-002	-1.996802e-002
1.996817732621836e-007	9.795900e-003	-1.996325e-002
2.543991764539233e-007	1.021409e-002	-1.995371e-002
3.333239149694300e-007	9.824749e-003	-1.993226e-002
4.533254074536725e-007	1.017403e-002	-1.987361e-002
6.933283924238920e-007	9.828325e-003	-1.965855e-002
1.085108134230364e-006	1.016855e-002	-1.902197e-002
1.814360594014006e-006	9.833809e-003	-1.716469e-002
2.814360594013271e-006	1.016545e-002	-1.391076e-002
3.814360594012536e-006	9.836670e-003	-1.047133e-002
4.814360594011802e-006	1.016259e-002	-7.383810e-003
5.814360594011067e-006	9.839054e-003	-4.923807e-003
6.814360594010333e-006	1.016044e-002	-3.098951e-003
7.814360594009598e-006	9.841200e-003	-1.794801e-003
8.814360594008863e-006	1.015830e-002	-8.764129e-004
9.814360594008129e-006	9.843107e-003	-2.255302e-004
1.081436059400739e-005	1.015639e-002	2.460618e-004
1.181436059400666e-005	9.845015e-003	6.013054e-004
1.281436059400593e-005	1.015448e-002	8.821625e-004
1.381436059400519e-005	9.847160e-003	1.116766e-003
1.481436059400446e-005	1.015234e-002	1.322760e-003
1.581436059400372e-005	9.849068e-003	1.510634e-003
1.681436059400299e-005	1.015043e-002	1.688017e-003
1.781436059400225e-005	9.850975e-003	1.857771e-003
1.881436059400152e-005	1.014852e-002	2.022280e-003
2.081436059400005e-005	1.014661e-002	2.343192e-003
2.338578916542673e-005	1.005900e-002	2.742051e-003
2.595721773685342e-005	9.999846e-003	3.132231e-003
2.852864630828010e-005	9.969143e-003	3.513729e-003
3.110007487970678e-005	9.966895e-003	3.886548e-003
3.367150345113347e-005	9.993102e-003	4.250686e-003
3.624293202256015e-005	1.004776e-002	4.606144e-003
3.881436059398682e-005	1.013088e-002	4.952921e-003
4.910007487969356e-005	1.005860e-002	6.244060e-003
5.938578916540029e-005	1.000818e-002	7.443101e-003
6.967150345110702e-005	9.979609e-003	8.550045e-003
7.995721773681376e-005	9.972899e-003	9.564890e-003
9.024293202252049e-005	9.988046e-003	1.048764e-002
1.005286463082272e-004	1.002505e-002	1.131829e-002
1.108143605939339e-004	1.008391e-002	1.205684e-002
1.211000748796407e-004	1.003753e-002	1.273740e-002
1.313857891653474e-004	1.000520e-002	1.336943e-002
1.416715034510541e-004	9.986927e-003	1.395291e-002
1.519572177367609e-004	9.982704e-003	1.448785e-002
1.622429320224676e-004	9.992532e-003	1.497426e-002
1.725286463081743e-004	1.001641e-002	1.541212e-002
1.828143605938810e-004	1.005435e-002	1.580144e-002
1.931000748795878e-004	1.002432e-002	1.616030e-002
2.033857891652945e-004	1.000338e-002	1.649354e-002
2.136715034510012e-004	9.991535e-003	1.680117e-002
2.239572177367080e-004	9.988776e-003	1.708318e-002
2.342429320224147e-004	9.995106e-003	1.733958e-002
2.445286463081214e-004	1.001053e-002	1.757037e-002
2.548143605938281e-004	1.003503e-002	1.777555e-002
2.651000748795349e-004	1.001577e-002	1.796478e-002
2.753857891652416e-004	1.000233e-002	1.814050e-002
2.856715034509483e-004	9.994703e-003	1.830271e-002
2.959572177366551e-004	9.992897e-003	1.845141e-002
3.062429320223618e-004	9.996912e-003	1.858661e-002
3.165286463080685e-004	1.000675e-002	1.870830e-002
3.268143605937753e-004	1.002240e-002	1.881648e-002
3.372429320223391e-004	1.001477e-002	1.891741e-002
3.476715034509028e-004	1.000796e-002	1.901105e-002
3.581000748794665e-004	1.000196e-002	1.909742e-002
3.685286463080303e-004	9.996785e-003	1.917651e-002
3.789572177365941e-004	9.992425e-003	1.924831e-002
3.893857891651579e-004	9.988883e-003	1.931284e-002
3.998143605937216e-004	9.986158e-003	1.937009e-002
4.103857891651425e-004	9.993914e-003	1.942364e-002
4.209572177365632e-004	9.999335e-003	1.947326e-002
4.315286463079841e-004	1.000242e-002	1.951895e-002
4.421000748794048e-004	1.000317e-002	1.956071e-002
4.526715034508257e-004	1.000158e-002	1.959854e-002
4.632429320222465e-004	9.997661e-003	1.963243e-002
4.738143605936673e-004	9.991404e-003	1.966239e-002
4.848143605936592e-004	9.994522e-003	1.969109e-002
4.958143605936511e-004	9.997272e-003	1.971765e-002
5.068143605936430e-004	9.999651e-003	1.974206e-002
5.178143605936349e-004	1.000166e-002	1.976434e-002
5.288143605936269e-004	1.000330e-002	1.978447e-002
5.398143605936188e-004	1.000457e-002	1.980247e-002
5.508143605936107e-004	1.000547e-002	1.981832e-002
5.625286463078878e-004	1.000265e-002	1.983359e-002
5.742429320221649e-004	1.000067e-002	1.984765e-002
5.859572177364421e-004	9.999529e-003	1.986051e-002
5.976715034507192e-004	9.999223e-003	1.987215e-002
6.093857891649962e-004	9.999753e-003	1.988260e-002
6.211000748792733e-004	1.000112e-002	1.989183e-002
6.328143605935505e-004	1.000332e-002	1.989986e-002
6.458143605935409e-004	1.000218e-002	1.990814e-002
6.588143605935314e-004	1.000118e-002	1.991568e-002
6.718143605935218e-004	1.000035e-002	1.992248e-002
6.848143605935123e-004	9.999666e-003	1.992855e-002
6.978143605935027e-004	9.999140e-003	1.993387e-002
7.108143605934932e-004	9.998770e-003	1.993845e-002
7.238143605934836e-004	9.998556e-003	1.994230e-002
7.393857891649007e-004	9.999247e-003	1.994665e-002
7.549572177363179e-004	9.999821e-003	1.995057e-002
7.705286463077350e-004	1.000028e-002	1.995406e-002
7.861000748791521e-004	1.000062e-002	1.995713e-002
8.016715034505693e-004	1.000084e-002	1.995977e-002
8.172429320219864e-004	1.000095e-002	1.996197e-002
8.328143605934035e-004	1.000094e-002	1.996376e-002
8.541000748791022e-004	1.000069e-002	1.996587e-002
8.753857891648008e-004	1.000047e-002	1.996771e-002
8.966715034504995e-004	1.000030e-002	1.996927e-002
9.179572177361982e-004	1.000016e-002	1.997057e-002
9.392429320218968e-004	1.000006e-002	1.997159e-002
9.605286463075954e-004	1.000001e-002	1.997234e-002
9.818143605932941e-004	9.999987e-003	1.997281e-002
9.978143605932823e-004	9.999987e-003	1.997329e-002
9.988143605932816e-004	1.000046e-002	1.997329e-002
9.990000000001022e-004	9.999987e-003	1.997329e-002
9.993712788137436e-004	1.000046e-002	1.997281e-002
1.000000000000102e-003	9.696718e-003	1.991130e-002
1.001000000000101e-003	-9.995226e-003	1.946546e-002
1.001771642096722e-003	-1.001358e-002	1.851798e-002
1.002578640017725e-003	-9.981636e-003	1.668550e-002
1.003578640017724e-003	-1.001907e-002	1.365663e-002
1.004578640017724e-003	-9.979967e-003	1.041271e-002
1.005578640017723e-003	-1.001954e-002	7.441534e-003
1.006578640017722e-003	-9.980206e-003	5.013480e-003
1.007578640017721e-003	-1.001907e-002	3.166689e-003
1.008578640017721e-003	-9.980682e-003	1.822962e-003
1.009578640017720e-003	-1.001883e-002	8.678574e-004
1.010578640017719e-003	-9.980921e-003	1.902718e-004
1.011578640017719e-003	-1.001859e-002	-2.989631e-004
1.012578640017718e-003	-9.980921e-003	-6.656509e-004
1.013578640017717e-003	-1.001859e-002	-9.536605e-004
1.014578640017716e-003	-9.980921e-003	-1.192556e-003
1.015578640017716e-003	-1.001859e-002	-1.400934e-003
1.016578640017715e-003	-9.980921e-003	-1.590238e-003
1.017578640017714e-003	-1.001859e-002	-1.767622e-003
1.018578640017713e-003	-9.980921e-003	-1.936899e-003
1.019578640017713e-003	-1.001859e-002	-2.101884e-003
1.021578640017711e-003	-1.001859e-002	-2.421365e-003
1.023864354303424e-003	-1.000713e-002	-2.774984e-003
1.026150068589136e-003	-9.999440e-003	-3.121674e-003
1.028435782874849e-003	-9.995528e-003	-3.461435e-003
1.030721497160562e-003	-9.995391e-003	-3.794267e-003
1.033007211446274e-003	-9.999031e-003	-4.120171e-003
1.035292925731987e-003	-1.000645e-002	-4.439146e-003
1.037578640017699e-003	-1.001764e-002	-4.751192e-003
1.047864354303406e-003	-1.000788e-002	-6.060061e-003
1.058150068589113e-003	-1.000103e-002	-7.275509e-003
1.068435782874820e-003	-9.997070e-003	-8.397536e-003
1.078721497160526e-003	-9.996014e-003	-9.426142e-003
1.089007211446233e-003	-9.997858e-003	-1.036133e-002
1.099292925731940e-003	-1.000260e-002	-1.120309e-002
1.109578640017647e-003	-1.001025e-002	-1.195143e-002
1.119864354303353e-003	-1.000450e-002	-1.264113e-002
1.130150068589060e-003	-1.000046e-002	-1.328163e-002
1.140435782874767e-003	-9.998131e-003	-1.387293e-002
1.150721497160473e-003	-9.997518e-003	-1.441503e-002
