Time	Vin	Vo
0.000000000000000e+000	-1.002194e-002	-1.730488e-002
2.314998273980629e-008	9.668810e-003	-1.730249e-002
6.944994821941886e-008	1.037763e-002	-1.729772e-002
1.012507952358882e-007	9.690506e-003	-1.729439e-002
1.382041506011594e-007	1.028512e-002	-1.729009e-002
1.758932891456067e-007	9.782774e-003	-1.728580e-002
2.235142199779466e-007	1.020811e-002	-1.727960e-002
2.999897171489935e-007	9.816153e-003	-1.726911e-002
4.346716312424864e-007	1.016639e-002	-1.724432e-002
6.696820716804025e-007	9.818060e-003	-1.717851e-002
1.089434323477481e-006	1.016067e-002	-1.696155e-002
1.843971067554129e-006	9.822590e-003	-1.625631e-002
2.843971067553394e-006	1.015828e-002	-1.479624e-002
3.843971067552660e-006	9.824736e-003	-1.284693e-002
4.843971067551925e-006	1.015542e-002	-1.059625e-002
5.843971067551190e-006	9.827120e-003	-8.280734e-003
6.843971067550456e-006	1.015328e-002	-6.083468e-003
7.843971067549721e-006	9.829266e-003	-4.117945e-003
8.843971067548986e-006	1.015113e-002	-2.435664e-003
9.843971067548252e-006	9.831173e-003	-1.046160e-003
1.084397106754752e-005	1.014899e-002	6.630093e-005
1.184397106754678e-005	9.833319e-003	9.331909e-004
1.284397106754605e-005	1.014708e-002	1.589319e-003
1.384397106754531e-005	9.835226e-003	2.072355e-003
1.484397106754458e-005	1.014517e-002	2.416631e-003
1.584397106754384e-005	9.837134e-003	2.653143e-003
1.684397106754311e-005	1.014326e-002	2.807638e-003
1.784397106754238e-005	9.839279e-003	2.902528e-003
1.884397106754164e-005	1.014136e-002	2.955457e-003
1.984397106754091e-005	9.841187e-003	2.981206e-003
2.084397106754017e-005	1.013945e-002	2.988836e-003
2.184397106753944e-005	9.843094e-003	2.987882e-003
2.284397106753870e-005	1.013754e-002	2.982637e-003
2.384397106753797e-005	9.844763e-003	2.977392e-003
2.484397106753723e-005	1.013563e-002	2.975008e-003
2.584397106753650e-005	9.846670e-003	2.976438e-003
2.684397106753576e-005	1.013373e-002	2.982637e-003
2.784397106753503e-005	9.848578e-003	2.993127e-003
2.884397106753429e-005	1.013206e-002	3.007909e-003
2.984397106753356e-005	9.850247e-003	3.026983e-003
3.084397106753282e-005	1.013015e-002	3.048917e-003
3.184397106753209e-005	9.852154e-003	3.073713e-003
3.284397106753136e-005	1.012848e-002	3.101369e-003
3.384397106753062e-005	9.853823e-003	3.130457e-003
3.484397106752989e-005	1.012681e-002	3.160497e-003
3.584397106752915e-005	9.855492e-003	3.191969e-003
3.684397106752842e-005	1.012490e-002	3.224393e-003
3.884397106752695e-005	1.012324e-002	3.289720e-003
4.184397106752474e-005	9.860499e-003	3.387949e-003
4.584397106752181e-005	9.936948e-003	3.517483e-003
4.984397106751887e-005	9.988914e-003	3.645733e-003
5.384397106751594e-005	1.001640e-002	3.772698e-003
5.784397106751300e-005	1.001939e-002	3.898378e-003
6.184397106751005e-005	9.997905e-003	4.022775e-003
6.584397106750713e-005	9.951934e-003	4.145886e-003
6.984397106750417e-005	9.881479e-003	4.267713e-003
1.177011139246119e-004	9.928273e-003	5.636771e-003
1.655582567817196e-004	9.965315e-003	6.907308e-003
2.134153996388273e-004	9.992607e-003	8.079326e-003
2.612725424959350e-004	1.001015e-002	9.152822e-003
3.091296853530428e-004	1.001794e-002	1.012780e-002
3.569868282101505e-004	1.001598e-002	1.100425e-002
4.048439710672581e-004	1.000426e-002	1.178219e-002
4.528439710672228e-004	9.997915e-003	1.250095e-002
5.008439710671876e-004	9.993103e-003	1.316786e-002
5.488439710671523e-004	9.989828e-003	1.378292e-002
5.968439710671170e-004	9.988091e-003	1.434613e-002
6.448439710670818e-004	9.987892e-003	1.485750e-002
6.928439710670466e-004	9.989230e-003	1.531701e-002
7.408439710670112e-004	9.992106e-003	1.572468e-002
7.775582567812700e-004	9.991458e-003	1.601716e-002
8.142725424955288e-004	9.990948e-003	1.629254e-002
8.509868282097875e-004	9.990573e-003	1.655084e-002
8.877011139240463e-004	9.990334e-003	1.679206e-002
9.244153996383050e-004	9.990232e-003	1.701618e-002
9.611296853525638e-004	9.990266e-003	1.722321e-002
9.978439710668224e-004	9.990437e-003	1.741316e-002
9.988439710668217e-004	9.990913e-003	1.741841e-002
9.990000000001005e-004	9.990675e-003	1.741888e-002
9.993120578666581e-004	9.990675e-003	1.742079e-002
9.995035370676374e-004	9.990675e-003	1.742174e-002
9.997588426689432e-004	9.990675e-003	1.742270e-002
