Time	Vin	Vo
0.000000000000000e+000	-9.987835e-003	-1.760945e-002
2.633844359278825e-008	9.722467e-003	-1.760945e-002
7.901533078009948e-008	1.034569e-002	-1.760945e-002
1.149945215717096e-007	9.729143e-003	-1.760945e-002
1.616091189170221e-007	1.028227e-002	-1.760945e-002
2.038923002361387e-007	9.797092e-003	-1.760945e-002
2.593909400466776e-007	1.021266e-002	-1.760897e-002
3.386630278469360e-007	9.825464e-003	-1.760754e-002
4.572410417531120e-007	1.017284e-002	-1.760420e-002
6.943970695671986e-007	9.829517e-003	-1.758942e-002
1.085054170270328e-006	1.016736e-002	-1.753554e-002
1.806676945447644e-006	9.835239e-003	-1.733383e-002
2.806676945446909e-006	1.016426e-002	-1.686034e-002
3.806676945446175e-006	9.837862e-003	-1.617464e-002
4.806676945445440e-006	1.016140e-002	-1.530823e-002
5.806676945444705e-006	9.840246e-003	-1.432308e-002
6.806676945443971e-006	1.015925e-002	-1.327786e-002
7.806676945443236e-006	9.842392e-003	-1.221833e-002
8.806676945442502e-006	1.015710e-002	-1.117548e-002
9.806676945441767e-006	9.844299e-003	-1.017079e-002
1.180667694544030e-005	9.846207e-003	-8.318275e-003
1.380667694543883e-005	9.848114e-003	-6.698936e-003
1.580667694543736e-005	9.850260e-003	-5.305141e-003
1.680667694543662e-005	1.014948e-002	-4.685252e-003
1.780667694543589e-005	9.852167e-003	-4.113048e-003
1.880667694543516e-005	1.014757e-002	-3.584235e-003
1.980667694543442e-005	9.853836e-003	-3.095477e-003
2.080667694543369e-005	1.014566e-002	-2.643436e-003
2.180667694543295e-005	9.855743e-003	-2.224773e-003
2.280667694543222e-005	1.014375e-002	-1.837581e-003
2.380667694543148e-005	9.857651e-003	-1.478046e-003
2.480667694543075e-005	1.014185e-002	-1.144260e-003
2.580667694543001e-005	9.859558e-003	-8.343154e-004
2.680667694542928e-005	1.014018e-002	-5.463058e-004
2.780667694542854e-005	9.861227e-003	-2.773696e-004
2.880667694542781e-005	1.013827e-002	-2.703013e-005
2.980667694542707e-005	9.862896e-003	2.070969e-004
3.080667694542634e-005	1.013660e-002	4.254883e-004
3.180667694542561e-005	9.864803e-003	6.305283e-004
3.280667694542487e-005	1.013493e-002	8.222168e-004
3.380667694542414e-005	9.866472e-003	1.002461e-003
3.580667694542267e-005	9.868141e-003	1.331002e-003
3.780667694542120e-005	9.869810e-003	1.622826e-003
3.980667694541973e-005	9.871479e-003	1.882703e-003
4.180667694541826e-005	9.873148e-003	2.115876e-003
4.380667694541679e-005	9.874578e-003	2.326161e-003
4.580667694541532e-005	9.876247e-003	2.517373e-003
4.780667694541385e-005	9.877678e-003	2.690942e-003
4.980667694541238e-005	9.879347e-003	2.849728e-003
5.180667694541091e-005	9.880777e-003	2.996594e-003
5.380667694540944e-005	9.882208e-003	3.132493e-003
5.680667694540724e-005	1.011610e-002	3.318936e-003
5.980667694540504e-005	9.886499e-003	3.488213e-003
6.280667694540283e-005	1.011180e-002	3.643662e-003
6.580667694540063e-005	9.890791e-003	3.788144e-003
6.880667694539842e-005	1.010775e-002	3.923566e-003
7.123524837396807e-005	1.007523e-002	4.026076e-003
7.366381980253772e-005	1.004383e-002	4.125706e-003
7.609239123110736e-005	1.001353e-002	4.222455e-003
7.852096265967700e-005	9.984339e-003	4.316324e-003
8.094953408824665e-005	9.956259e-003	4.407312e-003
8.337810551681630e-005	9.929288e-003	4.495420e-003
8.580667694538594e-005	9.903427e-003	4.580647e-003
8.966381980252597e-005	9.933526e-003	4.712858e-003
9.352096265966598e-005	9.962107e-003	4.842733e-003
9.737810551680600e-005	9.989170e-003	4.970272e-003
1.012352483739460e-004	1.001472e-002	5.095476e-003
1.050923912310861e-004	1.003874e-002	5.218344e-003
1.089495340882261e-004	1.006125e-002	5.338877e-003
1.128066769453661e-004	1.008224e-002	5.457074e-003
1.232352483739299e-004	1.005406e-002	5.770580e-003
1.336638198024936e-004	1.002886e-002	6.077313e-003
1.440923912310574e-004	1.000664e-002	6.377272e-003
1.545209626596212e-004	9.987399e-003	6.670459e-003
1.649495340881850e-004	9.971133e-003	6.956873e-003
1.753781055167487e-004	9.957845e-003	7.236514e-003
1.858066769453125e-004	9.947535e-003	7.509381e-003
2.302352483738513e-004	9.970014e-003	8.593047e-003
2.746638198023901e-004	9.987861e-003	9.599096e-003
3.190923912309289e-004	1.000108e-002	1.052753e-002
3.635209626594677e-004	1.000966e-002	1.137834e-002
4.079495340880065e-004	1.001361e-002	1.215154e-002
4.523781055165453e-004	1.001293e-002	1.284712e-002
4.968066769450840e-004	1.000762e-002	1.346508e-002
5.416638198021940e-004	1.000419e-002	1.403965e-002
5.865209626593038e-004	1.000159e-002	1.457276e-002
6.313781055164138e-004	9.999836e-003	1.506442e-002
6.762352483735236e-004	9.998916e-003	1.551462e-002
7.210923912306336e-004	9.998833e-003	1.592337e-002
7.659495340877436e-004	9.999588e-003	1.629066e-002
8.108066769448533e-004	1.000118e-002	1.661649e-002
8.375209626591194e-004	1.000083e-002	1.680037e-002
8.642352483733855e-004	1.000055e-002	1.697556e-002
8.909495340876516e-004	1.000032e-002	1.714208e-002
9.176638198019177e-004	1.000015e-002	1.729991e-002
9.443781055161839e-004	1.000004e-002	1.744906e-002
9.710923912304500e-004	9.999982e-003	1.758953e-002
9.978066769447160e-004	9.999987e-003	1.772133e-002
9.988066769447152e-004	1.000046e-002	1.772609e-002
9.993866461108711e-004	1.000046e-002	1.772896e-002
1.000000000000100e-003	1.000023e-002	1.772752e-002
1.001000000000099e-003	-9.994987e-003	1.769939e-002
1.001756596486606e-003	-1.001430e-002	1.763073e-002
1.002549579107998e-003	-9.980682e-003	1.747957e-002
1.003546253972844e-003	-1.002002e-002	1.718107e-002
1.004546253972843e-003	-9.979252e-003	1.678100e-002
1.005546253972842e-003	-1.002026e-002	1.629654e-002
1.006546253972842e-003	-9.979490e-003	1.575008e-002
1.007546253972841e-003	-1.001978e-002	1.515880e-002
1.008546253972840e-003	-9.979967e-003	1.453701e-002
1.009546253972839e-003	-1.001954e-002	1.389518e-002
1.010546253972839e-003	-9.980206e-003	1.324192e-002
1.011546253972838e-003	-1.001931e-002	1.258388e-002
1.012546253972837e-003	-9.980206e-003	1.192680e-002
1.013546253972836e-003	-1.001931e-002	1.127401e-002
1.015546253972835e-003	-1.001931e-002	9.996087e-003
1.017546253972834e-003	-1.001931e-002	8.770139e-003
1.018831968258547e-003	-1.001372e-002	8.014284e-003
1.020117682544260e-003	-1.000813e-002	7.289491e-003
1.021403396829974e-003	-1.000255e-002	6.595761e-003
1.022689111115687e-003	-9.996963e-003	5.933094e-003
