Time	Vin	Vo
0.000000000000000e+000	-1.001239e-002	-1.995835e-002
2.938621568304711e-015	2.429720e-003	-1.995835e-002
8.815864704914134e-015	2.533670e-003	-1.995835e-002
2.057035097813298e-014	2.726313e-003	-1.995835e-002
4.407932352457067e-014	3.057714e-003	-1.995835e-002
9.109726861744605e-014	3.555771e-003	-1.995835e-002
1.851331588031968e-013	4.145380e-003	-1.995835e-002
3.732049391746983e-013	4.616495e-003	-1.995835e-002
7.493484999177014e-013	4.795309e-003	-1.995835e-002
1.501635621403707e-012	4.655357e-003	-1.995835e-002
3.006209864375720e-012	4.238840e-003	-1.995835e-002
6.015358350319744e-012	3.722187e-003	-1.995835e-002
1.203365532220779e-011	3.322598e-003	-1.995835e-002
2.407024926598389e-011	3.251310e-003	-1.995835e-002
4.724375231301980e-011	3.437038e-003	-1.995835e-002
9.335603991245112e-011	3.739592e-003	-1.995835e-002
1.855806133765903e-010	4.178759e-003	-1.995835e-002
3.376051539022429e-010	4.749533e-003	-1.995835e-002
5.551551492816165e-010	5.462643e-003	-1.995835e-002
9.902551400403636e-010	6.645437e-003	-1.995835e-002
1.860455121557858e-009	8.246180e-003	-1.995835e-002
3.600855086327570e-009	9.713408e-003	-1.995835e-002
5.705702087882569e-009	1.011276e-002	-1.995835e-002
8.784293443683811e-009	1.014804e-002	-1.995835e-002
1.360736433253518e-008	1.011228e-002	-1.995835e-002
2.325350611197263e-008	1.008272e-002	-1.995835e-002
3.196330019931970e-008	1.004481e-002	-1.995835e-002
4.916360645673690e-008	1.002287e-002	-1.995835e-002
7.534539513825989e-008	1.001906e-002	-1.995787e-002
1.277089725013059e-007	1.002431e-002	-1.995692e-002
2.324361272256631e-007	1.001501e-002	-1.995167e-002
4.418904366743776e-007	1.000332e-002	-1.991877e-002
8.607990555735412e-007	9.997364e-003	-1.971134e-002
1.698616293371869e-006	1.000237e-002	-1.871666e-002
2.698616293371134e-006	9.998318e-003	-1.647124e-002
3.698616293370399e-006	1.000213e-002	-1.295647e-002
4.698616293369665e-006	9.998795e-003	-8.274882e-003
5.698616293368930e-006	1.000189e-002	-2.741187e-003
6.698616293368195e-006	9.999033e-003	3.255040e-003
7.698616293367461e-006	1.000166e-002	9.326131e-003
8.698616293366726e-006	9.999033e-003	1.513401e-002
9.698616293365991e-006	1.000166e-002	2.041784e-002
1.069861629336526e-005	9.999033e-003	2.499929e-002
1.169861629336452e-005	1.000142e-002	2.877489e-002
1.269861629336379e-005	9.999033e-003	3.170314e-002
1.369861629336305e-005	1.000142e-002	3.379265e-002
1.469861629336232e-005	9.999033e-003	3.508583e-002
1.569861629336158e-005	1.000142e-002	3.564850e-002
1.669861629336085e-005	9.999033e-003	3.556219e-002
1.769861629336011e-005	1.000142e-002	3.491274e-002
1.869861629335938e-005	9.999033e-003	3.378835e-002
1.969861629335865e-005	1.000142e-002	3.227630e-002
2.069861629335791e-005	9.999033e-003	3.045908e-002
2.169861629335718e-005	1.000142e-002	2.841678e-002
2.269861629335644e-005	9.999033e-003	2.622619e-002
2.369861629335571e-005	1.000142e-002	2.395979e-002
2.469861629335497e-005	9.999033e-003	2.168956e-002
2.569861629335424e-005	1.000142e-002	1.948467e-002
2.669861629335350e-005	9.999033e-003	1.741329e-002
2.769861629335277e-005	1.000142e-002	1.554123e-002
2.869861629335203e-005	9.999033e-003	1.392904e-002
2.969861629335130e-005	1.000142e-002	1.263109e-002
3.069861629335056e-005	9.999033e-003	1.168934e-002
3.169861629334983e-005	1.000142e-002	1.113191e-002
3.269861629334910e-005	9.999033e-003	1.096788e-002
3.369861629334836e-005	1.000142e-002	1.118675e-002
3.469861629334763e-005	9.999033e-003	1.175800e-002
3.569861629334689e-005	1.000142e-002	1.263300e-002
3.669861629334616e-005	9.999033e-003	1.374975e-002
3.769861629334542e-005	1.000142e-002	1.503816e-002
3.869861629334469e-005	9.999033e-003	1.642385e-002
3.969861629334395e-005	1.000142e-002	1.783529e-002
4.069861629334322e-005	9.999033e-003	1.920667e-002
4.169861629334248e-005	1.000142e-002	2.048221e-002
4.269861629334175e-005	9.999033e-003	2.161709e-002
4.369861629334101e-005	1.000142e-002	2.257791e-002
4.469861629334028e-005	9.999033e-003	2.334276e-002
4.569861629333955e-005	1.000142e-002	2.390114e-002
4.669861629333881e-005	9.999033e-003	2.425161e-002
4.769861629333808e-005	1.000142e-002	2.440181e-002
4.869861629333734e-005	9.999033e-003	2.436557e-002
4.969861629333661e-005	1.000142e-002	2.416197e-002
5.069861629333587e-005	9.999033e-003	2.381340e-002
5.169861629333514e-005	1.000142e-002	2.334514e-002
5.269861629333440e-005	9.999033e-003	2.278534e-002
5.369861629333367e-005	1.000142e-002	2.216163e-002
5.469861629333293e-005	9.999033e-003	2.150264e-002
5.569861629333220e-005	1.000142e-002	2.083412e-002
5.669861629333146e-005	9.999033e-003	2.018276e-002
5.769861629333073e-005	1.000142e-002	1.957241e-002
5.869861629332999e-005	9.999033e-003	1.902214e-002
5.969861629332926e-005	1.000142e-002	1.855055e-002
6.069861629332853e-005	9.999033e-003	1.817051e-002
6.169861629332779e-005	1.000142e-002	1.789013e-002
6.269861629332706e-005	9.999033e-003	1.771513e-002
6.369861629332632e-005	1.000142e-002	1.764455e-002
6.469861629332559e-005	9.999033e-003	1.767364e-002
6.569861629332485e-005	1.000142e-002	1.779476e-002
6.669861629332412e-005	9.999033e-003	1.799503e-002
6.769861629332338e-005	1.000142e-002	1.826111e-002
6.869861629332265e-005	9.999033e-003	1.857582e-002
6.969861629332191e-005	1.000142e-002	1.892248e-002
7.069861629332118e-005	9.999033e-003	1.928392e-002
7.169861629332044e-005	1.000142e-002	1.964393e-002
7.269861629331971e-005	9.999033e-003	1.998821e-002
7.369861629331898e-005	1.000142e-002	2.030388e-002
7.469861629331824e-005	9.999033e-003	2.058044e-002
7.569861629331751e-005	1.000142e-002	2.081028e-002
7.669861629331677e-005	9.999033e-003	2.098766e-002
7.769861629331604e-005	1.000142e-002	2.111068e-002
7.869861629331530e-005	9.999033e-003	2.117887e-002
7.969861629331457e-005	1.000142e-002	2.119413e-002
8.069861629331383e-005	9.999033e-003	2.116075e-002
8.169861629331310e-005	1.000142e-002	2.108398e-002
8.269861629331236e-005	9.999033e-003	2.097002e-002
8.369861629331163e-005	1.000142e-002	2.082697e-002
8.469861629331089e-005	9.999033e-003	2.066198e-002
8.569861629331016e-005	1.000142e-002	2.048412e-002
8.669861629330943e-005	9.999033e-003	2.030101e-002
8.769861629330869e-005	1.000142e-002	2.011982e-002
8.869861629330796e-005	9.999033e-003	1.994816e-002
8.969861629330722e-005	1.000142e-002	1.979175e-002
9.069861629330649e-005	9.999033e-003	1.965585e-002
9.169861629330575e-005	1.000142e-002	1.954427e-002
9.269861629330502e-005	9.999271e-003	1.945940e-002
9.369861629330428e-005	1.000142e-002	1.940218e-002
9.469861629330355e-005	9.999271e-003	1.937357e-002
9.569861629330281e-005	1.000142e-002	1.937214e-002
9.669861629330208e-005	9.999271e-003	1.939550e-002
9.769861629330134e-005	1.000142e-002	1.944128e-002
9.869861629330061e-005	9.999271e-003	1.950565e-002
9.969861629329987e-005	1.000142e-002	1.958433e-002
1.006986162932991e-004	9.999271e-003	1.967350e-002
1.016986162932984e-004	1.000142e-002	1.976791e-002
1.026986162932977e-004	9.999271e-003	1.986423e-002
