Time	Vin	Vo
0.000000000000000e+000	-1.001239e-002	-1.997660e-002
2.938621568304711e-015	2.429958e-003	-1.997660e-002
8.815864704914134e-015	2.534386e-003	-1.997660e-002
2.057035097813298e-014	2.727505e-003	-1.997660e-002
4.407932352457067e-014	3.059860e-003	-1.997660e-002
9.109726861744605e-014	3.558870e-003	-1.997660e-002
1.851331588031968e-013	4.148003e-003	-1.997660e-002
3.732049391746983e-013	4.616734e-003	-1.997660e-002
7.493484999177014e-013	4.793879e-003	-1.997660e-002
1.501635621403707e-012	4.654642e-003	-1.997660e-002
3.006209864375720e-012	4.238125e-003	-1.997660e-002
6.015358350319744e-012	3.721233e-003	-1.997660e-002
1.203365532220779e-011	3.321644e-003	-1.997660e-002
2.407024926598389e-011	3.250834e-003	-1.997660e-002
4.724195167005174e-011	3.436562e-003	-1.997660e-002
9.334284734041631e-011	3.739592e-003	-1.997660e-002
1.855446369464220e-010	4.178997e-003	-1.997660e-002
3.375530150534489e-010	4.750248e-003	-1.997660e-002
5.550619738142748e-010	5.463835e-003	-1.997660e-002
9.900639023896485e-010	6.646868e-003	-1.997660e-002
1.860067761275119e-009	8.247372e-003	-1.997660e-002
3.600075477311338e-009	9.713884e-003	-1.997660e-002
5.712434534080324e-009	1.011347e-002	-1.997660e-002
8.791567812291290e-009	1.014757e-002	-1.997660e-002
1.361807491946643e-008	1.011180e-002	-1.997660e-002
2.327108913555143e-008	1.008248e-002	-1.997660e-002
3.199398864242586e-008	1.004457e-002	-1.997660e-002
4.921957005507571e-008	1.002287e-002	-1.997613e-002
7.541345937132904e-008	1.001906e-002	-1.997565e-002
1.278012380038357e-007	1.002454e-002	-1.997231e-002
2.325767952688490e-007	1.001477e-002	-1.995514e-002
4.421279097988756e-007	1.000332e-002	-1.985262e-002
8.612301388589289e-007	9.997364e-003	-1.929949e-002
1.699434596977301e-006	1.000237e-002	-1.704262e-002
2.699434596976566e-006	9.998318e-003	-1.275919e-002
3.699434596975831e-006	1.000213e-002	-7.137285e-003
4.699434596975097e-006	9.998795e-003	-8.239608e-004
5.699434596974362e-006	1.000189e-002	5.535140e-003
6.699434596973627e-006	9.998795e-003	1.145650e-002
7.699434596972893e-006	1.000166e-002	1.661684e-002
8.699434596972158e-006	9.999033e-003	2.083255e-002
9.699434596971424e-006	1.000166e-002	2.402975e-002
1.069943459697069e-005	9.999033e-003	2.622129e-002
1.169943459696995e-005	1.000166e-002	2.748395e-002
1.269943459696922e-005	9.999033e-003	2.793695e-002
1.369943459696849e-005	1.000142e-002	2.772809e-002
1.469943459696775e-005	9.999033e-003	2.701522e-002
1.569943459696702e-005	1.000142e-002	2.595569e-002
1.669943459696628e-005	9.999033e-003	2.469779e-002
1.769943459696555e-005	1.000142e-002	2.337219e-002
1.869943459696481e-005	9.999033e-003	2.208663e-002
1.969943459696408e-005	1.000142e-002	2.092458e-002
2.069943459696334e-005	9.999033e-003	1.994325e-002
2.169943459696261e-005	1.000142e-002	1.917459e-002
2.269943459696187e-005	9.999033e-003	1.862861e-002
2.369943459696114e-005	1.000142e-002	1.829721e-002
2.469943459696040e-005	9.999033e-003	1.815797e-002
2.569943459695967e-005	1.000142e-002	1.817895e-002
2.669943459695894e-005	9.999033e-003	1.832439e-002
2.769943459695820e-005	1.000142e-002	1.855661e-002
2.869943459695747e-005	9.999033e-003	1.883985e-002
2.969943459695673e-005	1.000142e-002	1.914312e-002
3.069943459695600e-005	9.999033e-003	1.943971e-002
3.169943459695526e-005	1.000142e-002	1.970960e-002
3.269943459695453e-005	9.999033e-003	1.994039e-002
3.369943459695379e-005	1.000142e-002	2.012302e-002
3.469943459695306e-005	9.999033e-003	2.025558e-002
3.569943459695232e-005	1.000142e-002	2.033903e-002
3.669943459695159e-005	9.999033e-003	2.037860e-002
3.769943459695085e-005	1.000142e-002	2.038099e-002
3.869943459695012e-005	9.999033e-003	2.035381e-002
3.969943459694938e-005	1.000142e-002	2.030565e-002
4.069943459694865e-005	9.999033e-003	2.024414e-002
4.169943459694792e-005	1.000142e-002	2.017690e-002
4.269943459694718e-005	9.999033e-003	2.011014e-002
4.369943459694645e-005	1.000142e-002	2.004816e-002
4.469943459694571e-005	9.999033e-003	1.999475e-002
4.569943459694498e-005	1.000142e-002	1.995136e-002
4.669943459694424e-005	9.999033e-003	1.991893e-002
4.769943459694351e-005	1.000142e-002	1.989795e-002
4.869943459694277e-005	9.999033e-003	1.988698e-002
4.969943459694204e-005	1.000142e-002	1.988508e-002
5.069943459694130e-005	9.999033e-003	1.988985e-002
5.169943459694057e-005	1.000142e-002	1.990034e-002
5.269943459693983e-005	9.999033e-003	1.991321e-002
5.369943459693910e-005	1.000142e-002	1.992847e-002
5.469943459693837e-005	9.999033e-003	1.994325e-002
5.569943459693763e-005	1.000142e-002	1.995756e-002
5.669943459693690e-005	9.999033e-003	1.996995e-002
5.769943459693616e-005	1.000142e-002	1.998044e-002
5.869943459693543e-005	9.999033e-003	1.998807e-002
5.969943459693469e-005	1.000142e-002	1.999332e-002
6.069943459693396e-005	9.999033e-003	1.999618e-002
6.169943459693322e-005	1.000142e-002	1.999666e-002
6.269943459693249e-005	9.999033e-003	1.999618e-002
6.369943459693175e-005	1.000142e-002	1.999427e-002
6.469943459693102e-005	9.999033e-003	1.999141e-002
6.569943459693028e-005	1.000142e-002	1.998807e-002
6.669943459692955e-005	9.999033e-003	1.998474e-002
6.769943459692882e-005	1.000142e-002	1.998140e-002
6.869943459692808e-005	9.999033e-003	1.997854e-002
6.969943459692735e-005	1.000142e-002	1.997568e-002
7.069943459692661e-005	9.999033e-003	1.997425e-002
7.169943459692588e-005	1.000142e-002	1.997281e-002
7.269943459692514e-005	9.999033e-003	1.997186e-002
7.369943459692441e-005	1.000142e-002	1.997186e-002
7.469943459692367e-005	9.999033e-003	1.997186e-002
7.569943459692294e-005	1.000142e-002	1.997234e-002
7.669943459692220e-005	9.999033e-003	1.997281e-002
7.769943459692147e-005	1.000142e-002	1.997377e-002
7.869943459692073e-005	9.999033e-003	1.997425e-002
7.969943459692000e-005	1.000142e-002	1.997520e-002
8.069943459691926e-005	9.999033e-003	1.997568e-002
8.169943459691853e-005	1.000142e-002	1.997663e-002
8.369943459691706e-005	1.000142e-002	1.997711e-002
8.469943459691633e-005	9.999033e-003	1.997758e-002
8.569943459691559e-005	1.000142e-002	1.997758e-002
8.669943459691486e-005	9.999033e-003	1.997758e-002
8.769943459691412e-005	1.000142e-002	1.997758e-002
8.869943459691339e-005	9.999033e-003	1.997711e-002
8.969943459691265e-005	1.000142e-002	1.997711e-002
