vin	V(vo)
0.000000000000000e+000	-1.574535e-023
1.000000000000000e-001	8.444563e-010
2.000000000000000e-001	2.852475e-009
3.000000000000000e-001	1.194968e-008
4.000000000000000e-001	4.170301e-008
5.000000000000000e-001	1.088213e-007
6.000000000000000e-001	2.827614e-007
7.000000000000000e-001	8.050913e-006
7.999999999999999e-001	1.407916e-003
8.999999999999999e-001	1.548651e-001
9.999999999999999e-001	3.788133e-001
1.100000000000000e+000	5.059263e-001
1.200000000000000e+000	6.047605e-001
1.300000000000000e+000	7.006243e-001
1.400000000000000e+000	7.967477e-001
1.500000000000000e+000	8.929908e-001
1.600000000000000e+000	9.892108e-001
1.700000000000000e+000	1.085302e+000
1.800000000000001e+000	1.181123e+000
1.900000000000001e+000	1.276451e+000
2.000000000000000e+000	1.371039e+000
2.100000000000001e+000	1.464666e+000
2.200000000000001e+000	1.557168e+000
2.300000000000001e+000	1.648488e+000
2.400000000000001e+000	1.738684e+000
2.500000000000001e+000	1.827908e+000
2.600000000000001e+000	1.916353e+000
2.700000000000001e+000	2.004214e+000
2.800000000000001e+000	2.091661e+000
2.900000000000001e+000	2.178823e+000
3.000000000000001e+000	2.265795e+000
3.100000000000001e+000	2.352642e+000
3.200000000000002e+000	2.446906e+000
3.300000000000002e+000	2.545678e+000
3.400000000000002e+000	2.644547e+000
3.500000000000002e+000	2.743457e+000
3.600000000000002e+000	2.842399e+000
3.700000000000002e+000	2.941370e+000
3.800000000000002e+000	3.040368e+000
3.900000000000002e+000	3.139390e+000
4.000000000000002e+000	3.238436e+000
4.100000000000001e+000	3.337503e+000
4.200000000000001e+000	3.436590e+000
4.300000000000001e+000	3.535696e+000
4.400000000000000e+000	3.634820e+000
4.500000000000000e+000	3.733961e+000
4.600000000000000e+000	3.833118e+000
4.699999999999999e+000	3.932290e+000
4.799999999999999e+000	4.031477e+000
4.899999999999999e+000	4.130677e+000
4.999999999999998e+000	4.229891e+000
5.099999999999998e+000	4.329117e+000
5.199999999999998e+000	4.428354e+000
5.299999999999997e+000	4.527600e+000
5.399999999999997e+000	4.626837e+000
5.499999999999996e+000	4.725951e+000
5.599999999999996e+000	4.824262e+000
5.699999999999996e+000	4.918233e+000
5.799999999999995e+000	4.993957e+000
5.899999999999995e+000	5.015543e+000
5.999999999999995e+000	5.016255e+000
6.099999999999994e+000	5.016817e+000
6.199999999999994e+000	5.017049e+000
6.299999999999994e+000	5.017282e+000
6.399999999999993e+000	5.017509e+000
6.499999999999993e+000	5.017733e+000
6.599999999999993e+000	5.017956e+000
6.699999999999992e+000	5.018178e+000
6.799999999999992e+000	5.018398e+000
6.899999999999992e+000	5.018617e+000
6.999999999999991e+000	5.018835e+000
7.099999999999991e+000	5.019051e+000
7.199999999999990e+000	5.019267e+000
7.299999999999990e+000	5.019481e+000
7.399999999999990e+000	5.019694e+000
7.499999999999989e+000	5.019906e+000
7.599999999999989e+000	5.020117e+000
7.699999999999989e+000	5.020327e+000
7.799999999999988e+000	5.020536e+000
7.899999999999988e+000	5.020744e+000
7.999999999999988e+000	5.020951e+000
8.099999999999987e+000	5.021157e+000
8.199999999999987e+000	5.021363e+000
8.299999999999987e+000	5.021567e+000
8.399999999999986e+000	5.021770e+000
8.499999999999986e+000	5.021974e+000
8.599999999999985e+000	5.022175e+000
8.699999999999985e+000	5.022376e+000
8.799999999999985e+000	5.022576e+000
8.899999999999984e+000	5.022776e+000
8.999999999999984e+000	5.022975e+000
9.099999999999984e+000	5.023173e+000
9.199999999999983e+000	5.023370e+000
9.299999999999983e+000	5.023566e+000
9.399999999999983e+000	5.023762e+000
9.499999999999982e+000	5.023957e+000
9.599999999999982e+000	5.024152e+000
9.699999999999982e+000	5.024345e+000
9.799999999999981e+000	5.024539e+000
9.899999999999981e+000	5.024731e+000
9.999999999999981e+000	5.024923e+000
1.009999999999998e+001	5.025114e+000
1.019999999999998e+001	5.025304e+000
1.029999999999998e+001	5.025495e+000
1.039999999999998e+001	5.025684e+000
1.049999999999998e+001	5.025872e+000
1.059999999999998e+001	5.026061e+000
1.069999999999998e+001	5.026248e+000
1.079999999999998e+001	5.026435e+000
1.089999999999998e+001	5.026621e+000
1.099999999999998e+001	5.026807e+000
1.109999999999998e+001	5.026993e+000
1.119999999999998e+001	5.027177e+000
1.129999999999998e+001	5.027361e+000
1.139999999999998e+001	5.027545e+000
1.149999999999998e+001	5.027729e+000
1.159999999999998e+001	5.027911e+000
1.169999999999997e+001	5.028093e+000
1.179999999999997e+001	5.028275e+000
1.189999999999997e+001	5.028456e+000
1.199999999999997e+001	5.028636e+000
1.209999999999997e+001	5.028817e+000
1.219999999999997e+001	5.028996e+000
1.229999999999997e+001	5.029175e+000
1.239999999999997e+001	5.029354e+000
1.249999999999997e+001	5.029532e+000
1.259999999999997e+001	5.029710e+000
1.269999999999997e+001	5.029888e+000
1.279999999999997e+001	5.030065e+000
1.289999999999997e+001	5.030241e+000
1.299999999999997e+001	5.030417e+000
1.309999999999997e+001	5.030592e+000
1.319999999999997e+001	5.030767e+000
1.329999999999997e+001	5.030942e+000
1.339999999999997e+001	5.031116e+000
1.349999999999997e+001	5.031290e+000
1.359999999999997e+001	5.031464e+000
1.369999999999997e+001	5.031637e+000
1.379999999999997e+001	5.031809e+000
1.389999999999997e+001	5.031981e+000
1.399999999999997e+001	5.032153e+000
1.409999999999997e+001	5.032324e+000
1.419999999999997e+001	5.032495e+000
1.429999999999997e+001	5.032666e+000
1.439999999999997e+001	5.032836e+000
1.449999999999996e+001	5.033006e+000
1.459999999999996e+001	5.033175e+000
1.469999999999996e+001	5.033344e+000
1.479999999999996e+001	5.033513e+000
1.489999999999996e+001	5.033681e+000
1.499999999999996e+001	5.033849e+000
1.509999999999996e+001	5.034017e+000
1.519999999999996e+001	5.034184e+000
1.529999999999996e+001	5.034350e+000
1.539999999999996e+001	5.034517e+000
1.549999999999996e+001	5.034683e+000
1.559999999999996e+001	5.034849e+000
1.569999999999996e+001	5.035014e+000
1.579999999999996e+001	5.035179e+000
1.589999999999996e+001	5.035344e+000
1.599999999999996e+001	5.035509e+000
1.609999999999996e+001	5.035672e+000
1.619999999999996e+001	5.035836e+000
1.629999999999996e+001	5.035999e+000
1.639999999999996e+001	5.036162e+000
1.649999999999996e+001	5.036325e+000
1.659999999999997e+001	5.036488e+000
1.669999999999997e+001	5.036650e+000
1.679999999999997e+001	5.036811e+000
1.689999999999997e+001	5.036973e+000
1.699999999999997e+001	5.037134e+000
1.709999999999997e+001	5.037294e+000
1.719999999999997e+001	5.037455e+000
1.729999999999998e+001	5.037615e+000
1.739999999999998e+001	5.037775e+000
1.749999999999998e+001	5.037934e+000
1.759999999999998e+001	5.038094e+000
1.769999999999998e+001	5.038252e+000
1.779999999999998e+001	5.038411e+000
1.789999999999998e+001	5.038569e+000
1.799999999999999e+001	5.038727e+000
1.809999999999999e+001	5.038885e+000
1.819999999999999e+001	5.039042e+000
1.829999999999999e+001	5.039199e+000
1.839999999999999e+001	5.039356e+000
1.849999999999999e+001	5.039513e+000
1.859999999999999e+001	5.039669e+000
1.870000000000000e+001	5.039825e+000
1.880000000000000e+001	5.039980e+000
1.890000000000000e+001	5.040136e+000
1.900000000000000e+001	5.040291e+000
1.910000000000000e+001	5.040446e+000
1.920000000000000e+001	5.040600e+000
1.930000000000000e+001	5.040755e+000
1.940000000000001e+001	5.040909e+000
1.950000000000001e+001	5.041062e+000
1.960000000000001e+001	5.041216e+000
1.970000000000001e+001	5.041369e+000
1.980000000000001e+001	5.041522e+000
1.990000000000001e+001	5.041675e+000
2.000000000000001e+001	5.041827e+000
2.010000000000002e+001	5.041979e+000
2.020000000000002e+001	5.042131e+000
2.030000000000002e+001	5.042283e+000
2.040000000000002e+001	5.042434e+000
2.050000000000002e+001	5.042585e+000
2.060000000000002e+001	5.042736e+000
2.070000000000002e+001	5.042887e+000
2.080000000000003e+001	5.043037e+000
2.090000000000003e+001	5.043187e+000
2.100000000000003e+001	5.043337e+000
2.110000000000003e+001	5.043487e+000
2.120000000000003e+001	5.043636e+000
2.130000000000003e+001	5.043785e+000
2.140000000000003e+001	5.043934e+000
2.150000000000004e+001	5.044083e+000
2.160000000000004e+001	5.044231e+000
2.170000000000004e+001	5.044379e+000
2.180000000000004e+001	5.044527e+000
2.190000000000004e+001	5.044674e+000
2.200000000000004e+001	5.044822e+000
2.210000000000004e+001	5.044969e+000
2.220000000000005e+001	5.045116e+000
2.230000000000005e+001	5.045263e+000
2.240000000000005e+001	5.045409e+000
2.250000000000005e+001	5.045556e+000
2.260000000000005e+001	5.045702e+000
2.270000000000005e+001	5.045847e+000
2.280000000000005e+001	5.045993e+000
2.290000000000006e+001	5.046138e+000
2.300000000000006e+001	5.046283e+000
2.310000000000006e+001	5.046428e+000
2.320000000000006e+001	5.046573e+000
2.330000000000006e+001	5.046717e+000
2.340000000000006e+001	5.046862e+000
2.350000000000006e+001	5.047006e+000
2.360000000000007e+001	5.047149e+000
2.370000000000007e+001	5.047293e+000
2.380000000000007e+001	5.047436e+000
2.390000000000007e+001	5.047579e+000
2.400000000000007e+001	5.047722e+000
2.410000000000007e+001	5.047865e+000
2.420000000000007e+001	5.048007e+000
2.430000000000008e+001	5.048150e+000
2.440000000000008e+001	5.048292e+000
2.450000000000008e+001	5.048434e+000
2.460000000000008e+001	5.048575e+000
2.470000000000008e+001	5.048717e+000
2.480000000000008e+001	5.048858e+000
2.490000000000008e+001	5.048999e+000
2.500000000000009e+001	5.049140e+000
2.510000000000009e+001	5.049281e+000
2.520000000000009e+001	5.049421e+000
2.530000000000009e+001	5.049562e+000
2.540000000000009e+001	5.049701e+000
2.550000000000009e+001	5.049841e+000
2.560000000000009e+001	5.049981e+000
2.570000000000010e+001	5.050120e+000
2.580000000000010e+001	5.050260e+000
2.590000000000010e+001	5.050398e+000
2.600000000000010e+001	5.050537e+000
2.610000000000010e+001	5.050676e+000
2.620000000000010e+001	5.050815e+000
2.630000000000010e+001	5.050952e+000
2.640000000000011e+001	5.051091e+000
2.650000000000011e+001	5.051229e+000
2.660000000000011e+001	5.051366e+000
2.670000000000011e+001	5.051504e+000
2.680000000000011e+001	5.051641e+000
2.690000000000011e+001	5.051778e+000
2.700000000000011e+001	5.051915e+000
2.710000000000012e+001	5.052052e+000
2.720000000000012e+001	5.052188e+000
2.730000000000012e+001	5.052325e+000
2.740000000000012e+001	5.052461e+000
2.750000000000012e+001	5.052597e+000
2.760000000000012e+001	5.052733e+000
2.770000000000012e+001	5.052868e+000
2.780000000000013e+001	5.053004e+000
2.790000000000013e+001	5.053139e+000
2.800000000000013e+001	5.053274e+000
2.810000000000013e+001	5.053409e+000
2.820000000000013e+001	5.053544e+000
2.830000000000013e+001	5.053679e+000
2.840000000000013e+001	5.053813e+000
2.850000000000014e+001	5.053947e+000
2.860000000000014e+001	5.054081e+000
2.870000000000014e+001	5.054215e+000
2.880000000000014e+001	5.054348e+000
2.890000000000014e+001	5.054482e+000
2.900000000000014e+001	5.054615e+000
2.910000000000014e+001	5.054749e+000
2.920000000000015e+001	5.054882e+000
2.930000000000015e+001	5.055015e+000
2.940000000000015e+001	5.055147e+000
2.950000000000015e+001	5.055280e+000
2.960000000000015e+001	5.055412e+000
2.970000000000015e+001	5.055544e+000
2.980000000000015e+001	5.055676e+000
2.990000000000016e+001	5.055808e+000
3.000000000000000e+001	5.055940e+000
