rl	V(vo)	I(Rl)
1.000000000000023e-003	4.279988e-004	4.279988e-001
1.039122303835193e-003	4.447470e-004	4.280025e-001
1.079775162327734e-003	4.621507e-004	4.280064e-001
1.122018454301989e-003	4.802356e-004	4.280104e-001
1.165914401179858e-003	4.990284e-004	4.280146e-001
1.211527658628616e-003	5.185569e-004	4.280190e-001
1.258925411794196e-003	5.388497e-004	4.280235e-001
1.308177474260224e-003	5.599369e-004	4.280282e-001
1.359356390878556e-003	5.818495e-004	4.280331e-001
1.412537544622786e-003	6.046200e-004	4.280382e-001
1.467799267622102e-003	6.282819e-004	4.280435e-001
1.525222956539053e-003	6.528700e-004	4.280489e-001
1.584893192461149e-003	6.784209e-004	4.280546e-001
1.646897865482905e-003	7.049720e-004	4.280606e-001
1.711328304161819e-003	7.325627e-004	4.280667e-001
1.778279410038962e-003	7.612336e-004	4.280731e-001
1.847849797422332e-003	7.910271e-004	4.280798e-001
1.920141938638844e-003	8.219871e-004	4.280866e-001
1.995262314968923e-003	8.541595e-004	4.280938e-001
2.073321573486000e-003	8.875916e-004	4.281013e-001
2.154434690031931e-003	9.223329e-004	4.281090e-001
2.238721138568388e-003	9.584347e-004	4.281171e-001
2.326305067153676e-003	9.959504e-004	4.281254e-001
2.417315480804156e-003	1.034935e-003	4.281341e-001
2.511886431509634e-003	1.075447e-003	4.281432e-001
2.610157215682592e-003	1.117546e-003	4.281526e-001
2.712272579332086e-003	1.161293e-003	4.281623e-001
2.818382931264513e-003	1.206754e-003	4.281724e-001
2.928644564625298e-003	1.253996e-003	4.281830e-001
3.043219887107786e-003	1.303088e-003	4.281939e-001
3.162277660168445e-003	1.354104e-003	4.282053e-001
3.285993247600723e-003	1.407119e-003	4.282171e-001
3.414548873833672e-003	1.462210e-003	4.282294e-001
3.548133892335828e-003	1.519461e-003	4.282422e-001
3.686945064519651e-003	1.578954e-003	4.282554e-001
3.831186849557367e-003	1.640779e-003	4.282692e-001
3.981071705535054e-003	1.705028e-003	4.282836e-001
4.136820402388592e-003	1.771794e-003	4.282984e-001
4.298662347082365e-003	1.841177e-003	4.283139e-001
4.466835921509722e-003	1.913280e-003	4.283300e-001
4.641588833612873e-003	1.988209e-003	4.283467e-001
4.823178482239404e-003	2.066076e-003	4.283641e-001
5.011872336272824e-003	2.146997e-003	4.283821e-001
5.207948328595568e-003	2.231090e-003	4.284009e-001
5.411695265464745e-003	2.318481e-003	4.284204e-001
5.623413251903603e-003	2.409299e-003	4.284406e-001
5.843414133735292e-003	2.503679e-003	4.284616e-001
6.072021956910006e-003	2.601761e-003	4.284835e-001
6.309573444802057e-003	2.703692e-003	4.285063e-001
6.556418494179918e-003	2.809621e-003	4.285299e-001
6.812920690579746e-003	2.919707e-003	4.285544e-001
7.079457843841517e-003	3.034114e-003	4.285799e-001
7.356422544596557e-003	3.153010e-003	4.286065e-001
7.644222742526151e-003	3.276574e-003	4.286340e-001
7.943282347242968e-003	3.404988e-003	4.286626e-001
8.254041852680343e-003	3.538445e-003	4.286924e-001
8.576958985909105e-003	3.677142e-003	4.287233e-001
8.912509381337625e-003	3.821287e-003	4.287555e-001
9.261187281288111e-003	3.971094e-003	4.287889e-001
9.623506263981068e-003	4.126787e-003	4.288236e-001
1.000000000000019e-002	4.288597e-003	4.288597e-001
1.039122303835189e-002	4.456766e-003	4.288972e-001
1.079775162327730e-002	4.631546e-003	4.289362e-001
1.122018454301984e-002	4.813198e-003	4.289767e-001
1.165914401179853e-002	5.001992e-003	4.290188e-001
1.211527658628611e-002	5.198211e-003	4.290625e-001
1.258925411794191e-002	5.402150e-003	4.291080e-001
1.308177474260218e-002	5.614113e-003	4.291553e-001
1.359356390878551e-002	5.834417e-003	4.292044e-001
1.412537544622780e-002	6.063394e-003	4.292555e-001
1.467799267622096e-002	6.301387e-003	4.293085e-001
1.525222956539047e-002	6.548753e-003	4.293637e-001
1.584893192461142e-002	6.805865e-003	4.294210e-001
1.646897865482898e-002	7.073107e-003	4.294806e-001
1.711328304161812e-002	7.350883e-003	4.295425e-001
1.778279410038955e-002	7.639612e-003	4.296069e-001
1.847849797422324e-002	7.939728e-003	4.296739e-001
1.920141938638836e-002	8.251684e-003	4.297434e-001
1.995262314968915e-002	8.575952e-003	4.298157e-001
2.073321573485992e-002	8.913021e-003	4.298909e-001
2.154434690031921e-002	9.263402e-003	4.299690e-001
2.238721138568379e-002	9.627626e-003	4.300503e-001
2.326305067153667e-002	1.000625e-002	4.301347e-001
2.417315480804146e-002	1.039983e-002	4.302225e-001
2.511886431509624e-002	1.080899e-002	4.303137e-001
2.610157215682582e-002	1.123434e-002	4.304085e-001
2.712272579332075e-002	1.167653e-002	4.305072e-001
2.818382931264502e-002	1.213623e-002	4.306097e-001
2.928644564625286e-002	1.261415e-002	4.307162e-001
3.043219887107773e-002	1.311101e-002	4.308270e-001
3.162277660168433e-002	1.362759e-002	4.309422e-001
3.285993247600710e-002	1.416467e-002	4.310620e-001
3.414548873833659e-002	1.472307e-002	4.311865e-001
3.548133892335813e-002	1.530367e-002	4.313160e-001
3.686945064519637e-002	1.590735e-002	4.314506e-001
3.831186849557351e-002	1.653504e-002	4.315906e-001
3.981071705535038e-002	1.718772e-002	4.317361e-001
4.136820402388575e-002	1.786641e-002	4.318874e-001
4.298662347082347e-002	1.857215e-002	4.320448e-001
4.466835921509704e-002	1.930605e-002	4.322085e-001
4.641588833612854e-002	2.006924e-002	4.323787e-001
4.823178482239385e-002	2.086293e-002	4.325557e-001
5.011872336272804e-002	2.168836e-002	4.327397e-001
5.207948328595548e-002	2.254683e-002	4.329312e-001
5.411695265464724e-002	2.343969e-002	4.331303e-001
5.623413251903581e-002	2.436835e-002	4.333374e-001
5.843414133735270e-002	2.533428e-002	4.335527e-001
6.072021956909982e-002	2.633902e-002	4.337768e-001
6.309573444802033e-002	2.738417e-002	4.340099e-001
6.556418494179893e-002	2.847140e-002	4.342523e-001
6.812920690579720e-002	2.960245e-002	4.345045e-001
7.079457843841490e-002	3.077914e-002	4.347669e-001
7.356422544596528e-002	3.200337e-002	4.350399e-001
7.644222742526120e-002	3.327713e-002	4.353240e-001
7.943282347242937e-002	3.460249e-002	4.356195e-001
8.254041852680311e-002	3.598160e-002	4.359270e-001
8.576958985909072e-002	3.741673e-002	4.362471e-001
