Vin	Rendimiento
1.000000000000000e+000	2.161184e+001
1.001000000000000e+000	2.169500e+001
1.002000000000000e+000	2.177690e+001
1.003000000000000e+000	2.185850e+001
1.004000000000000e+000	2.193945e+001
1.004999999999999e+000	2.201973e+001
1.005999999999999e+000	2.209936e+001
1.006999999999999e+000	2.217832e+001
1.007999999999999e+000	2.225660e+001
1.008999999999999e+000	2.233422e+001
1.009999999999999e+000	2.241115e+001
1.010999999999999e+000	2.248741e+001
1.011999999999999e+000	2.256298e+001
1.012999999999999e+000	2.263785e+001
1.013999999999999e+000	2.271204e+001
1.014999999999998e+000	2.278553e+001
1.015999999999998e+000	2.285832e+001
1.016999999999998e+000	2.293041e+001
1.017999999999998e+000	2.300179e+001
1.018999999999998e+000	2.307246e+001
1.019999999999998e+000	2.314242e+001
1.020999999999998e+000	2.321166e+001
1.021999999999998e+000	2.328019e+001
1.022999999999998e+000	2.334799e+001
1.023999999999997e+000	2.341508e+001
1.024999999999997e+000	2.348144e+001
1.025999999999997e+000	2.354708e+001
1.026999999999997e+000	2.361199e+001
1.027999999999997e+000	2.367617e+001
1.028999999999997e+000	2.373962e+001
1.029999999999997e+000	2.380235e+001
1.030999999999997e+000	2.386435e+001
1.031999999999997e+000	2.392561e+001
1.032999999999996e+000	2.398615e+001
1.033999999999996e+000	2.404595e+001
1.034999999999996e+000	2.410503e+001
1.035999999999996e+000	2.416338e+001
1.036999999999996e+000	2.422100e+001
1.037999999999996e+000	2.427790e+001
1.038999999999996e+000	2.433408e+001
1.039999999999996e+000	2.438954e+001
1.040999999999996e+000	2.444428e+001
1.041999999999995e+000	2.449830e+001
1.042999999999995e+000	2.455161e+001
1.043999999999995e+000	2.460421e+001
1.044999999999995e+000	2.465611e+001
1.045999999999995e+000	2.470730e+001
1.046999999999995e+000	2.475779e+001
1.047999999999995e+000	2.480760e+001
1.048999999999995e+000	2.485671e+001
1.049999999999995e+000	2.490514e+001
1.050999999999994e+000	2.495288e+001
1.051999999999994e+000	2.499996e+001
1.052999999999994e+000	2.504636e+001
1.053999999999994e+000	2.509210e+001
1.054999999999994e+000	2.513718e+001
1.055999999999994e+000	2.518161e+001
1.056999999999994e+000	2.522539e+001
1.057999999999994e+000	2.526853e+001
1.058999999999994e+000	2.531103e+001
1.059999999999993e+000	2.535291e+001
1.060999999999993e+000	2.539417e+001
1.061999999999993e+000	2.543481e+001
1.062999999999993e+000	2.547485e+001
1.063999999999993e+000	2.551428e+001
1.064999999999993e+000	2.555312e+001
1.065999999999993e+000	2.559137e+001
1.066999999999993e+000	2.562904e+001
1.067999999999993e+000	2.566613e+001
1.068999999999992e+000	2.570266e+001
1.069999999999992e+000	2.573863e+001
1.070999999999992e+000	2.577405e+001
1.071999999999992e+000	2.580892e+001
1.072999999999992e+000	2.584326e+001
1.073999999999992e+000	2.587706e+001
1.074999999999992e+000	2.591034e+001
1.075999999999992e+000	2.594310e+001
1.076999999999992e+000	2.597536e+001
1.077999999999991e+000	2.600711e+001
1.078999999999991e+000	2.603836e+001
1.079999999999991e+000	2.606912e+001
1.080999999999991e+000	2.609941e+001
1.081999999999991e+000	2.612922e+001
1.082999999999991e+000	2.615856e+001
1.083999999999991e+000	2.618744e+001
1.084999999999991e+000	2.621586e+001
1.085999999999991e+000	2.624384e+001
1.086999999999990e+000	2.627138e+001
1.087999999999990e+000	2.629848e+001
1.088999999999990e+000	2.632515e+001
1.089999999999990e+000	2.635140e+001
1.090999999999990e+000	2.637724e+001
1.091999999999990e+000	2.640267e+001
1.092999999999990e+000	2.642769e+001
1.093999999999990e+000	2.645233e+001
1.094999999999990e+000	2.647656e+001
1.095999999999989e+000	2.650042e+001
1.096999999999989e+000	2.652389e+001
1.097999999999989e+000	2.654699e+001
1.098999999999989e+000	2.656973e+001
1.099999999999989e+000	2.659211e+001
1.100999999999989e+000	2.661413e+001
1.101999999999989e+000	2.663580e+001
1.102999999999989e+000	2.665713e+001
1.103999999999989e+000	2.667812e+001
1.104999999999988e+000	2.669877e+001
1.105999999999988e+000	2.671910e+001
1.106999999999988e+000	2.673910e+001
1.107999999999988e+000	2.675878e+001
1.108999999999988e+000	2.677816e+001
1.109999999999988e+000	2.679722e+001
1.110999999999988e+000	2.681599e+001
1.111999999999988e+000	2.683445e+001
1.112999999999988e+000	2.685262e+001
1.113999999999987e+000	2.687050e+001
1.114999999999987e+000	2.688810e+001
1.115999999999987e+000	2.690542e+001
