vin	Rendimiento
1.000000000000000e+000	2.682371e+001
1.001000000000000e+000	2.695533e+001
1.002000000000000e+000	2.708496e+001
1.003000000000000e+000	2.721427e+001
1.004000000000000e+000	2.734272e+001
1.004999999999999e+000	2.747032e+001
1.005999999999999e+000	2.759707e+001
1.006999999999999e+000	2.772297e+001
1.007999999999999e+000	2.784805e+001
1.008999999999999e+000	2.797230e+001
1.009999999999999e+000	2.809572e+001
1.010999999999999e+000	2.821831e+001
1.011999999999999e+000	2.834009e+001
1.012999999999999e+000	2.846106e+001
1.013999999999999e+000	2.858121e+001
1.014999999999998e+000	2.870054e+001
1.015999999999998e+000	2.881907e+001
1.016999999999998e+000	2.893679e+001
1.017999999999998e+000	2.905369e+001
1.018999999999998e+000	2.916979e+001
1.019999999999998e+000	2.928508e+001
1.020999999999998e+000	2.939956e+001
1.021999999999998e+000	2.951323e+001
1.022999999999998e+000	2.962608e+001
1.023999999999997e+000	2.973812e+001
1.024999999999997e+000	2.984935e+001
1.025999999999997e+000	2.995975e+001
1.026999999999997e+000	3.006935e+001
1.027999999999997e+000	3.017812e+001
1.028999999999997e+000	3.028606e+001
1.029999999999997e+000	3.039318e+001
1.030999999999997e+000	3.049948e+001
1.031999999999997e+000	3.060494e+001
1.032999999999996e+000	3.070957e+001
1.033999999999996e+000	3.081337e+001
1.034999999999996e+000	3.091633e+001
1.035999999999996e+000	3.101845e+001
1.036999999999996e+000	3.111973e+001
1.037999999999996e+000	3.122016e+001
1.038999999999996e+000	3.131975e+001
1.039999999999996e+000	3.141849e+001
1.040999999999996e+000	3.151638e+001
1.041999999999995e+000	3.161341e+001
1.042999999999995e+000	3.170960e+001
1.043999999999995e+000	3.180492e+001
1.044999999999995e+000	3.189939e+001
1.045999999999995e+000	3.199301e+001
1.046999999999995e+000	3.208576e+001
1.047999999999995e+000	3.217765e+001
1.048999999999995e+000	3.226869e+001
1.049999999999995e+000	3.235886e+001
1.050999999999994e+000	3.244817e+001
1.051999999999994e+000	3.253663e+001
1.052999999999994e+000	3.262422e+001
1.053999999999994e+000	3.271096e+001
1.054999999999994e+000	3.279684e+001
1.055999999999994e+000	3.288186e+001
1.056999999999994e+000	3.296604e+001
1.057999999999994e+000	3.304936e+001
1.058999999999994e+000	3.313182e+001
1.059999999999993e+000	3.321345e+001
1.060999999999993e+000	3.329423e+001
1.061999999999993e+000	3.337418e+001
1.062999999999993e+000	3.345329e+001
1.063999999999993e+000	3.353156e+001
1.064999999999993e+000	3.360900e+001
1.065999999999993e+000	3.368563e+001
1.066999999999993e+000	3.376144e+001
1.067999999999993e+000	3.383643e+001
1.068999999999992e+000	3.391062e+001
1.069999999999992e+000	3.398400e+001
1.070999999999992e+000	3.405659e+001
1.071999999999992e+000	3.412839e+001
1.072999999999992e+000	3.419941e+001
1.073999999999992e+000	3.426965e+001
1.074999999999992e+000	3.433912e+001
1.075999999999992e+000	3.440783e+001
1.076999999999992e+000	3.447579e+001
1.077999999999991e+000	3.454300e+001
1.078999999999991e+000	3.460948e+001
1.079999999999991e+000	3.467522e+001
1.080999999999991e+000	3.474024e+001
1.081999999999991e+000	3.480454e+001
1.082999999999991e+000	3.486814e+001
1.083999999999991e+000	3.493104e+001
1.084999999999991e+000	3.499325e+001
1.085999999999991e+000	3.505479e+001
1.086999999999990e+000	3.511565e+001
1.087999999999990e+000	3.517585e+001
1.088999999999990e+000	3.523540e+001
1.089999999999990e+000	3.529430e+001
1.090999999999990e+000	3.535257e+001
1.091999999999990e+000	3.541021e+001
1.092999999999990e+000	3.546724e+001
1.093999999999990e+000	3.552366e+001
1.094999999999990e+000	3.557948e+001
1.095999999999989e+000	3.563472e+001
1.096999999999989e+000	3.568937e+001
1.097999999999989e+000	3.574345e+001
1.098999999999989e+000	3.579698e+001
1.099999999999989e+000	3.584995e+001
1.100999999999989e+000	3.590238e+001
1.101999999999989e+000	3.595427e+001
1.102999999999989e+000	3.600563e+001
1.103999999999989e+000	3.605649e+001
1.104999999999988e+000	3.610683e+001
1.105999999999988e+000	3.615668e+001
1.106999999999988e+000	3.620603e+001
1.107999999999988e+000	3.625490e+001
1.108999999999988e+000	3.630331e+001
1.109999999999988e+000	3.635124e+001
1.110999999999988e+000	3.639872e+001
1.111999999999988e+000	3.644575e+001
1.112999999999988e+000	3.649234e+001
1.113999999999987e+000	3.653850e+001
1.114999999999987e+000	3.658423e+001
1.115999999999987e+000	3.662955e+001
1.116999999999987e+000	3.667446e+001
1.117999999999987e+000	3.671896e+001
1.118999999999987e+000	3.676307e+001
1.119999999999987e+000	3.680680e+001
1.120999999999987e+000	3.685014e+001
1.121999999999987e+000	3.689312e+001
1.122999999999987e+000	3.693572e+001
1.123999999999986e+000	3.697797e+001
1.124999999999986e+000	3.701987e+001
1.125999999999986e+000	3.706141e+001
1.126999999999986e+000	3.710262e+001
1.127999999999986e+000	3.714350e+001
1.128999999999986e+000	3.718406e+001
1.129999999999986e+000	3.722428e+001
1.130999999999986e+000	3.726419e+001
1.131999999999986e+000	3.730380e+001
1.132999999999985e+000	3.734310e+001
1.133999999999985e+000	3.738211e+001
1.134999999999985e+000	3.742082e+001
1.135999999999985e+000	3.745925e+001
1.136999999999985e+000	3.749739e+001
1.137999999999985e+000	3.753526e+001
