Vin	Rendimiento
9.300000000000001e+000	5.315015e+001
9.301000000000000e+000	5.314441e+001
9.302000000000000e+000	5.313867e+001
9.302999999999999e+000	5.313292e+001
9.303999999999999e+000	5.312718e+001
9.304999999999998e+000	5.312144e+001
9.305999999999997e+000	5.311570e+001
9.306999999999997e+000	5.310996e+001
9.307999999999996e+000	5.310423e+001
9.308999999999996e+000	5.309850e+001
9.309999999999995e+000	5.309276e+001
9.310999999999995e+000	5.308703e+001
9.311999999999994e+000	5.308129e+001
9.312999999999994e+000	5.307557e+001
9.313999999999993e+000	5.306983e+001
9.314999999999992e+000	5.306411e+001
9.315999999999992e+000	5.305838e+001
9.316999999999991e+000	5.305266e+001
9.317999999999991e+000	5.304693e+001
9.318999999999990e+000	5.304121e+001
9.319999999999990e+000	5.303549e+001
9.320999999999989e+000	5.302977e+001
9.321999999999989e+000	5.302405e+001
9.322999999999988e+000	5.301833e+001
9.323999999999987e+000	5.301261e+001
9.324999999999987e+000	5.300690e+001
9.325999999999986e+000	5.300118e+001
9.326999999999986e+000	5.299547e+001
9.327999999999985e+000	5.298975e+001
9.328999999999985e+000	5.298405e+001
9.329999999999984e+000	5.297834e+001
9.330999999999984e+000	5.297263e+001
9.331999999999983e+000	5.296692e+001
9.332999999999982e+000	5.296122e+001
9.333999999999982e+000	5.295551e+001
9.334999999999981e+000	5.294981e+001
9.335999999999981e+000	5.294411e+001
9.336999999999980e+000	5.293841e+001
9.337999999999980e+000	5.293271e+001
9.338999999999979e+000	5.292701e+001
9.339999999999979e+000	5.292131e+001
9.340999999999978e+000	5.291562e+001
9.341999999999977e+000	5.290993e+001
9.342999999999977e+000	5.290423e+001
9.343999999999976e+000	5.289854e+001
9.344999999999976e+000	5.289284e+001
9.345999999999975e+000	5.288716e+001
9.346999999999975e+000	5.288146e+001
9.347999999999974e+000	5.287578e+001
9.348999999999974e+000	5.287010e+001
9.349999999999973e+000	5.286441e+001
9.350999999999972e+000	5.285872e+001
9.351999999999972e+000	5.285304e+001
9.352999999999971e+000	5.284736e+001
9.353999999999971e+000	5.284167e+001
9.354999999999970e+000	5.283601e+001
9.355999999999970e+000	5.283033e+001
9.356999999999969e+000	5.282464e+001
9.357999999999969e+000	5.281898e+001
9.358999999999968e+000	5.281330e+001
9.359999999999968e+000	5.280763e+001
9.360999999999967e+000	5.280195e+001
9.361999999999966e+000	5.279628e+001
9.362999999999966e+000	5.279061e+001
9.363999999999965e+000	5.278494e+001
9.364999999999965e+000	5.277928e+001
9.365999999999964e+000	5.277361e+001
9.366999999999964e+000	5.276795e+001
9.367999999999963e+000	5.276229e+001
9.368999999999963e+000	5.275662e+001
9.369999999999962e+000	5.275096e+001
9.370999999999961e+000	5.274530e+001
9.371999999999961e+000	5.273965e+001
9.372999999999960e+000	5.273398e+001
9.373999999999960e+000	5.272833e+001
9.374999999999959e+000	5.272268e+001
9.375999999999959e+000	5.271702e+001
9.376999999999958e+000	5.271137e+001
9.377999999999958e+000	5.270572e+001
9.378999999999957e+000	5.270007e+001
9.379999999999956e+000	5.269442e+001
9.380999999999956e+000	5.268878e+001
9.381999999999955e+000	5.268313e+001
