RL	Rend
1.000000000000000e-003	4.408351e-003
1.079775162327710e-003	4.760114e-003
1.165914401179832e-003	5.139954e-003
1.258925411794167e-003	5.550112e-003
1.359356390878526e-003	5.993010e-003
1.467799267622070e-003	6.471263e-003
1.584893192461113e-003	6.987695e-003
1.711328304161781e-003	7.545357e-003
1.847849797422291e-003	8.147542e-003
1.995262314968879e-003	8.797808e-003
2.154434690031883e-003	9.499999e-003
2.326305067153626e-003	1.025826e-002
2.511886431509580e-003	1.107709e-002
2.712272579332028e-003	1.196131e-002
2.928644564625237e-003	1.291616e-002
3.162277660168379e-003	1.394729e-002
3.414548873833602e-003	1.506080e-002
3.686945064519576e-003	1.626329e-002
3.981071705534973e-003	1.756187e-002
4.298662347082277e-003	1.896424e-002
4.641588833612779e-003	2.047872e-002
5.011872336272723e-003	2.211428e-002
5.411695265464637e-003	2.388062e-002
5.843414133735176e-003	2.578824e-002
6.309573444801932e-003	2.784845e-002
6.812920690579613e-003	3.007351e-002
7.356422544596413e-003	3.247666e-002
7.943282347242814e-003	3.507218e-002
8.576958985908940e-003	3.787554e-002
9.261187281287935e-003	4.090344e-002
1.000000000000000e-002	4.417396e-002
1.079775162327710e-002	4.770662e-002
1.165914401179832e-002	5.152254e-002
1.258925411794167e-002	5.564456e-002
1.359356390878526e-002	6.009739e-002
1.467799267622069e-002	6.490772e-002
1.584893192461113e-002	7.010448e-002
1.711328304161780e-002	7.571893e-002
1.847849797422290e-002	8.178492e-002
1.995262314968879e-002	8.833906e-002
2.154434690031883e-002	9.542102e-002
2.326305067153625e-002	1.030737e-001
2.511886431509579e-002	1.113437e-001
2.712272579332027e-002	1.202813e-001
2.928644564625235e-002	1.299411e-001
3.162277660168378e-002	1.403822e-001
3.414548873833600e-002	1.516689e-001
3.686945064519574e-002	1.638706e-001
3.981071705534971e-002	1.770628e-001
4.298662347082275e-002	1.913275e-001
4.641588833612777e-002	2.067535e-001
5.011872336272721e-002	2.234374e-001
5.411695265464634e-002	2.414842e-001
5.843414133735173e-002	2.610080e-001
6.309573444801929e-002	2.821331e-001
6.812920690579609e-002	3.049944e-001
7.356422544596408e-002	3.297391e-001
7.943282347242810e-002	3.565278e-001
8.576958985908935e-002	3.855354e-001
9.261187281287928e-002	4.169530e-001
9.999999999999992e-002	4.509890e-001
1.079775162327709e-001	4.878718e-001
1.165914401179831e-001	5.278511e-001
1.258925411794166e-001	5.712006e-001
1.359356390878524e-001	6.182205e-001
1.467799267622068e-001	6.692405e-001
1.584893192461112e-001	7.246232e-001
1.711328304161779e-001	7.847682e-001
1.847849797422289e-001	8.501157e-001
1.995262314968878e-001	9.211527e-001
2.154434690031881e-001	9.984174e-001
2.326305067153624e-001	1.082508e+000
2.511886431509577e-001	1.174086e+000
2.712272579332025e-001	1.273893e+000
2.928644564625233e-001	1.382753e+000
3.162277660168376e-001	1.501588e+000
3.414548873833598e-001	1.631435e+000
3.686945064519571e-001	1.773458e+000
3.981071705534968e-001	1.928973e+000
4.298662347082272e-001	2.099471e+000
4.641588833612774e-001	2.286644e+000
5.011872336272717e-001	2.492427e+000
5.411695265464630e-001	2.719036e+000
5.843414133735169e-001	2.969020e+000
6.309573444801925e-001	3.245332e+000
6.812920690579605e-001	3.551408e+000
7.356422544596405e-001	3.891264e+000
7.943282347242806e-001	4.269632e+000
8.576958985908931e-001	4.692123e+000
9.261187281287924e-001	5.165439e+000
9.999999999999988e-001	5.697652e+000
1.079775162327708e+000	6.298575e+000
1.165914401179830e+000	6.980258e+000
1.258925411794166e+000	7.757656e+000
1.359356390878524e+000	8.649575e+000
1.467799267622068e+000	9.679982e+000
1.584893192461111e+000	1.087991e+001
1.711328304161779e+000	1.229029e+001
1.847849797422289e+000	1.396620e+001
1.995262314968877e+000	1.598358e+001
2.154434690031881e+000	1.845010e+001
2.326305067153623e+000	2.152375e+001
2.511886431509577e+000	2.544590e+001
2.712272579332025e+000	3.060472e+001
2.928644564625233e+000	3.766605e+001
3.162277660168375e+000	4.787148e+001
3.414548873833597e+000	5.213717e+001
3.686945064519570e+000	5.213656e+001
3.981071705534967e+000	5.211512e+001
4.298662347082271e+000	5.208842e+001
4.641588833612772e+000	5.205828e+001
5.011872336272716e+000	5.202409e+001
5.411695265464629e+000	5.198581e+001
5.843414133735167e+000	5.194331e+001
6.309573444801923e+000	5.189647e+001
6.812920690579603e+000	5.184507e+001
7.356422544596402e+000	5.178891e+001
7.943282347242803e+000	5.172770e+001
8.576958985908927e+000	5.166116e+001
9.261187281287921e+000	5.158897e+001
9.999999999999984e+000	5.151077e+001
1.079775162327708e+001	5.142618e+001
1.165914401179830e+001	5.133478e+001
1.258925411794165e+001	5.123611e+001
1.359356390878523e+001	5.112969e+001
1.467799267622067e+001	5.101501e+001
1.584893192461111e+001	5.089151e+001
1.711328304161778e+001	5.075862e+001
1.847849797422288e+001	5.061570e+001
1.995262314968876e+001	5.046210e+001
2.154434690031880e+001	5.029713e+001
2.326305067153622e+001	5.012005e+001
2.511886431509576e+001	4.993012e+001
2.712272579332023e+001	4.972667e+001
2.928644564625231e+001	4.950843e+001
3.162277660168374e+001	4.927498e+001
3.414548873833596e+001	4.902528e+001
3.686945064519569e+001	4.875840e+001
3.981071705534966e+001	4.847340e+001
4.298662347082269e+001	4.816931e+001
4.641588833612771e+001	4.784516e+001
5.011872336272714e+001	4.749996e+001
5.411695265464627e+001	4.713272e+001
5.843414133735165e+001	4.674245e+001
6.309573444801921e+001	4.632821e+001
6.812920690579600e+001	4.588905e+001
7.356422544596398e+001	4.542408e+001
7.943282347242798e+001	4.493245e+001
8.576958985908924e+001	4.441338e+001
9.261187281287916e+001	4.386617e+001
9.999999999999979e+001	4.329023e+001
1.079775162327707e+002	4.268507e+001
1.165914401179829e+002	4.205033e+001
1.258925411794165e+002	4.138581e+001
1.359356390878523e+002	4.069144e+001
1.467799267622067e+002	3.996736e+001
1.584893192461110e+002	3.921389e+001
1.711328304161777e+002	3.843157e+001
1.847849797422287e+002	3.762114e+001
1.995262314968876e+002	3.678357e+001
2.154434690031879e+002	3.592007e+001
2.326305067153622e+002	3.503208e+001
2.511886431509575e+002	3.412126e+001
2.712272579332023e+002	3.318950e+001
2.928644564625231e+002	3.223890e+001
3.162277660168373e+002	3.127178e+001
3.414548873833595e+002	3.029062e+001
3.686945064519568e+002	2.929804e+001
3.981071705534965e+002	2.829682e+001
4.298662347082268e+002	2.728983e+001
4.641588833612770e+002	2.628001e+001
5.011872336272713e+002	2.527031e+001
5.411695265464626e+002	2.426371e+001
5.843414133735165e+002	2.326315e+001
6.309573444801921e+002	2.227147e+001
6.812920690579600e+002	2.129143e+001
7.356422544596400e+002	2.032566e+001
7.943282347242800e+002	1.937663e+001
8.576958985908925e+002	1.844702e+001
9.261187281287918e+002	1.753774e+001
9.999999999999981e+002	1.665182e+001
1.079775162327707e+003	1.579054e+001
1.165914401179829e+003	1.495529e+001
1.258925411794165e+003	1.414727e+001
1.359356390878523e+003	1.336742e+001
1.467799267622066e+003	1.261648e+001
1.584893192461110e+003	1.189494e+001
1.711328304161777e+003	1.120313e+001
1.847849797422287e+003	1.054114e+001
1.995262314968875e+003	9.908919e+000
2.154434690031879e+003	9.306235e+000
2.326305067153621e+003	8.732718e+000
2.511886431509574e+003	8.187871e+000
2.712272579332022e+003	7.671078e+000
2.928644564625230e+003	7.181636e+000
3.162277660168372e+003	6.718757e+000
3.414548873833594e+003	6.281590e+000
3.686945064519567e+003	5.869233e+000
3.981071705534963e+003	5.480747e+000
4.298662347082266e+003	5.115162e+000
4.641588833612767e+003	4.771497e+000
5.011872336272711e+003	4.448760e+000
5.411695265464624e+003	4.145962e+000
5.843414133735162e+003	3.862123e+000
6.309573444801918e+003	3.596275e+000
6.812920690579596e+003	3.347470e+000
7.356422544596396e+003	3.114787e+000
7.943282347242796e+003	2.897326e+000
8.576958985908921e+003	2.694222e+000
9.261187281287914e+003	2.504639e+000
9.999999999999976e+003	2.327774e+000
1.079775162327707e+004	2.162860e+000
1.165914401179829e+004	2.009163e+000
1.258925411794164e+004	1.865985e+000
1.359356390878522e+004	1.732660e+000
1.467799267622066e+004	1.608560e+000
1.584893192461110e+004	1.493088e+000
1.711328304161776e+004	1.385680e+000
1.847849797422286e+004	1.285805e+000
1.995262314968875e+004	1.192960e+000
2.154434690031878e+004	1.106676e+000
2.326305067153620e+004	1.026507e+000
2.511886431509574e+004	9.520388e-001
2.712272579332022e+004	8.828805e-001
2.928644564625229e+004	8.186663e-001
3.162277660168372e+004	7.590543e-001
3.414548873833593e+004	7.037239e-001
3.686945064519566e+004	6.523762e-001
