time	V(vo)	V(vregp)
Step Information: Cx=1n  (Run: 1/3)
0.000000000000000e+000	3.283008e-024	0.000000e+000
1.000000000000000e-003	1.900740e-024	0.000000e+000
1.000002025000007e-003	2.349080e-003	9.499710e+000
1.000002025123603e-003	2.349223e-003	9.500000e+000
1.000002025370795e-003	2.349509e-003	9.500000e+000
1.000002025865180e-003	2.350082e-003	9.500000e+000
1.000002026853950e-003	2.351224e-003	9.500000e+000
1.000002028831489e-003	2.353499e-003	9.500000e+000
1.000002032786567e-003	2.358019e-003	9.500000e+000
1.000002038220007e-003	2.364173e-003	9.500000e+000
1.000002043670153e-003	2.370274e-003	9.500000e+000
1.000002050532271e-003	2.377846e-003	9.500000e+000
1.000002060539899e-003	2.388713e-003	9.500000e+000
1.000002069569649e-003	2.398336e-003	9.500000e+000
1.000002081133510e-003	2.410410e-003	9.500000e+000
1.000002091779290e-003	2.421276e-003	9.500000e+000
1.000002106695568e-003	2.436110e-003	9.500000e+000
1.000002122560162e-003	2.451397e-003	9.500000e+000
1.000002145785251e-003	2.472908e-003	9.500000e+000
1.000002172835185e-003	2.496662e-003	9.500000e+000
1.000002216720754e-003	2.532395e-003	9.500000e+000
1.000002279093643e-003	2.577411e-003	9.500000e+000
1.000002403839423e-003	2.650347e-003	9.500000e+000
1.000002653330981e-003	2.760250e-003	9.500000e+000
1.000002862434457e-003	2.825728e-003	9.500000e+000
1.000003095805443e-003	2.876870e-003	9.500000e+000
1.000003308816249e-003	2.912677e-003	9.500000e+000
1.000003540945657e-003	2.944541e-003	9.500000e+000
1.000003785640047e-003	2.973869e-003	9.500000e+000
1.000004052201251e-003	3.003030e-003	9.500000e+000
1.000004390867683e-003	3.038076e-003	9.500000e+000
1.000004753368411e-003	3.074431e-003	9.500000e+000
1.000005305868992e-003	3.128961e-003	9.500000e+000
1.000005906886085e-003	3.187896e-003	9.500000e+000
1.000007068129901e-003	3.301459e-003	9.500000e+000
1.000008431629055e-003	3.434655e-003	9.500000e+000
1.000010012236757e-003	3.588907e-003	9.500000e+000
1.000012094658633e-003	3.791929e-003	9.500000e+000
1.000014023061209e-003	3.979734e-003	9.500000e+000
1.000015974056635e-003	4.169526e-003	9.500000e+000
1.000018191735098e-003	4.385052e-003	9.500000e+000
1.000020367347160e-003	4.596321e-003	9.500000e+000
1.000023550758418e-003	4.905221e-003	9.500000e+000
1.000026683074849e-003	5.208907e-003	9.500000e+000
1.000029556338292e-003	5.487199e-003	9.500000e+000
1.000032727880356e-003	5.794012e-003	9.500000e+000
1.000037512176654e-003	6.256140e-003	9.500000e+000
1.000043672940486e-003	6.850067e-003	9.500000e+000
1.000051016326102e-003	7.556200e-003	9.500000e+000
1.000060622273222e-003	8.476353e-003	9.500000e+000
1.000079500989906e-003	1.027275e-002	9.500000e+000
1.000116405217372e-003	1.374771e-002	9.500000e+000
1.000165779954288e-003	1.832905e-002	9.500000e+000
1.000221442438734e-003	2.339502e-002	9.500000e+000
1.000290669485632e-003	2.954561e-002	9.500000e+000
1.000379959509357e-003	3.723470e-002	9.500000e+000
1.000508765199087e-003	4.785189e-002	9.500000e+000
1.000704050089144e-003	6.287366e-002	9.500000e+000
1.001063631682718e-003	8.753680e-002	9.500000e+000
1.001686274713521e-003	1.237996e-001	9.500000e+000
1.002360819736882e-003	1.558014e-001	9.500000e+000
1.002970356723444e-003	1.786731e-001	9.500000e+000
1.003580737630617e-003	1.965922e-001	9.500000e+000
1.004314573686823e-003	2.138816e-001	9.500000e+000
1.004640911560037e-003	2.202069e-001	9.500000e+000
1.004969310490029e-003	2.255708e-001	9.500000e+000
1.005288592979100e-003	2.301127e-001	9.500000e+000
1.005769672978305e-003	2.358432e-001	9.500000e+000
1.006548574076654e-003	2.431614e-001	9.500000e+000
1.007548574076654e-003	2.500702e-001	9.500000e+000
1.008548574076654e-003	2.548401e-001	9.500000e+000
1.009548574076654e-003	2.580210e-001	9.500000e+000
1.010548574076653e-003	2.601368e-001	9.500000e+000
1.011548574076653e-003	2.615407e-001	9.500000e+000
1.012548574076653e-003	2.624679e-001	9.500000e+000
1.013548574076653e-003	2.630935e-001	9.500000e+000
1.014131263508141e-003	2.633529e-001	9.500000e+000
1.014449889341078e-003	2.634601e-001	9.500000e+000
1.014804634811733e-003	2.635571e-001	9.500000e+000
1.015227309327035e-003	2.636527e-001	9.500000e+000
1.015670010631142e-003	2.637333e-001	9.500000e+000
1.016387888944261e-003	2.638609e-001	9.500000e+000
1.017387888944261e-003	2.642100e-001	9.500000e+000
1.018177812589053e-003	2.651498e-001	9.500000e+000
1.018871502066177e-003	2.677824e-001	9.500000e+000
1.019622977930760e-003	2.744242e-001	9.500000e+000
1.020366114095661e-003	2.863699e-001	9.500000e+000
1.021213408663161e-003	3.065428e-001	9.500000e+000
1.022014159832010e-003	3.311412e-001	9.500000e+000
1.023014159832010e-003	3.673343e-001	9.500000e+000
1.024014159832010e-003	4.069208e-001	9.500000e+000
1.024362079429240e-003	4.213885e-001	9.500000e+000
1.024698468765729e-003	4.357338e-001	9.500000e+000
1.025416463452963e-003	4.668710e-001	9.500000e+000
1.025977389246281e-003	4.916350e-001	9.500000e+000
1.026881896328904e-003	5.320492e-001	9.500000e+000
1.027881896328904e-003	5.772099e-001	9.500000e+000
1.028881896328904e-003	6.227338e-001	9.500000e+000
1.030881896328904e-003	7.143494e-001	9.500000e+000
1.032881896328904e-003	8.062357e-001	9.500000e+000
1.033881896328904e-003	8.521964e-001	9.500000e+000
1.034577428821200e-003	8.841591e-001	9.500000e+000
1.037479447201883e-003	1.017417e+000	9.500000e+000
1.040479447201883e-003	1.154992e+000	9.500000e+000
1.043479447201883e-003	1.292391e+000	9.500000e+000
1.044430202514771e-003	1.335904e+000	9.500000e+000
1.049364498771390e-003	1.561502e+000	9.500000e+000
1.053364498771389e-003	1.744168e+000	9.500000e+000
1.054061148615936e-003	1.775965e+000	9.500000e+000
1.055631305509506e-003	1.847614e+000	9.500000e+000
1.063325371127719e-003	2.198420e+000	9.500000e+000
1.064046086681468e-003	2.231260e+000	9.500000e+000
1.065623016193751e-003	2.303100e+000	9.500000e+000
1.073311974250280e-003	2.653178e+000	9.500000e+000
1.074040915213735e-003	2.686351e+000	9.500000e+000
1.075537862346672e-003	2.754464e+000	9.500000e+000
1.083174205313990e-003	3.101751e+000	9.500000e+000
1.083987266683121e-003	3.138712e+000	9.500000e+000
1.085297120263974e-003	3.198248e+000	9.500000e+000
1.086570888644143e-003	3.256136e+000	9.500000e+000
1.092570888644143e-003	3.528712e+000	9.500000e+000
1.095230177390280e-003	3.649469e+000	9.500000e+000
1.097395420664730e-003	3.747764e+000	9.500000e+000
1.098395420664730e-003	3.793154e+000	9.500000e+000
1.099395420664729e-003	3.838539e+000	9.500000e+000
1.100395420664729e-003	3.883918e+000	9.500000e+000
