time	V(vo)	V(vregp)	I(Rl)
0.000000000000000e+000	1.834155e-025	0.000000e+000	3.668310e-027
1.000000000000000e-003	-1.221390e-022	0.000000e+000	-2.442779e-024
1.000002025000007e-003	1.068541e-003	9.499710e+000	2.137081e-005
1.000002025123603e-003	1.068606e-003	9.500000e+000	2.137212e-005
1.000002025370795e-003	1.068736e-003	9.500000e+000	2.137472e-005
1.000002025865180e-003	1.068996e-003	9.500000e+000	2.137992e-005
1.000002026853950e-003	1.069515e-003	9.500000e+000	2.139030e-005
1.000002028831489e-003	1.070548e-003	9.500000e+000	2.141096e-005
1.000002032786567e-003	1.072598e-003	9.500000e+000	2.145196e-005
1.000002037882719e-003	1.075214e-003	9.500000e+000	2.150428e-005
1.000002043102245e-003	1.077863e-003	9.500000e+000	2.155725e-005
1.000002049381598e-003	1.081006e-003	9.500000e+000	2.162011e-005
1.000002058344198e-003	1.085426e-003	9.500000e+000	2.170851e-005
1.000002066557881e-003	1.089409e-003	9.500000e+000	2.178817e-005
1.000002076559907e-003	1.094168e-003	9.500000e+000	2.188335e-005
1.000002087520871e-003	1.099275e-003	9.500000e+000	2.198550e-005
1.000002100885236e-003	1.105353e-003	9.500000e+000	2.210705e-005
1.000002116303555e-003	1.112163e-003	9.500000e+000	2.224325e-005
1.000002136359804e-003	1.120707e-003	9.500000e+000	2.241413e-005
1.000002161553716e-003	1.130945e-003	9.500000e+000	2.261890e-005
1.000002197859307e-003	1.144766e-003	9.500000e+000	2.289532e-005
1.000002251298887e-003	1.163145e-003	9.500000e+000	2.326290e-005
1.000002350869380e-003	1.191900e-003	9.500000e+000	2.383800e-005
1.000002550010366e-003	1.236782e-003	9.500000e+000	2.473565e-005
1.000002755852763e-003	1.270919e-003	9.500000e+000	2.541838e-005
1.000002959895025e-003	1.295039e-003	9.500000e+000	2.590078e-005
1.000003175770359e-003	1.314103e-003	9.500000e+000	2.628205e-005
1.000003403867595e-003	1.330094e-003	9.500000e+000	2.660188e-005
1.000003640349759e-003	1.344065e-003	9.500000e+000	2.688129e-005
1.000003890227524e-003	1.357190e-003	9.500000e+000	2.714381e-005
1.000004185775841e-003	1.371598e-003	9.500000e+000	2.743197e-005
1.000004519606707e-003	1.387164e-003	9.500000e+000	2.774327e-005
1.000004963494246e-003	1.407354e-003	9.500000e+000	2.814707e-005
1.000005494345034e-003	1.431210e-003	9.500000e+000	2.862420e-005
1.000006317406659e-003	1.467994e-003	9.500000e+000	2.935989e-005
1.000007148660518e-003	1.505055e-003	9.500000e+000	3.010110e-005
1.000007854138045e-003	1.536460e-003	9.500000e+000	3.072921e-005
1.000008567300680e-003	1.568173e-003	9.500000e+000	3.136345e-005
1.000009348188121e-003	1.602862e-003	9.500000e+000	3.205725e-005
1.000010356785826e-003	1.647627e-003	9.500000e+000	3.295253e-005
1.000011416653421e-003	1.694623e-003	9.500000e+000	3.389247e-005
1.000012654257783e-003	1.749452e-003	9.500000e+000	3.498903e-005
1.000013902036424e-003	1.804681e-003	9.500000e+000	3.609361e-005
1.000015293973677e-003	1.866236e-003	9.500000e+000	3.732471e-005
1.000016717964662e-003	1.929153e-003	9.500000e+000	3.858306e-005
1.000018774917979e-003	2.019960e-003	9.500000e+000	4.039919e-005
1.000021426358051e-003	2.136929e-003	9.500000e+000	4.273858e-005
1.000023488429380e-003	2.227841e-003	9.500000e+000	4.455683e-005
1.000025989712559e-003	2.338055e-003	9.500000e+000	4.676110e-005
1.000028472246896e-003	2.447374e-003	9.500000e+000	4.894748e-005
1.000031645475442e-003	2.586993e-003	9.500000e+000	5.173986e-005
1.000035402431389e-003	2.752120e-003	9.500000e+000	5.504240e-005
1.000039490624554e-003	2.931565e-003	9.500000e+000	5.863131e-005
1.000044182063875e-003	3.137146e-003	9.500000e+000	6.274293e-005
1.000050220861841e-003	3.401202e-003	9.500000e+000	6.802404e-005
1.000058768947812e-003	3.773853e-003	9.500000e+000	7.547706e-005
1.000072186170048e-003	4.355973e-003	9.500000e+000	8.711946e-005
1.000096054945196e-003	5.382638e-003	9.500000e+000	1.076528e-004
1.000143792495491e-003	7.410487e-003	9.500000e+000	1.482097e-004
1.000193975792524e-003	9.505587e-003	9.500000e+000	1.901117e-004
1.000259967134166e-003	1.220116e-002	9.500000e+000	2.440231e-004
1.000332099108770e-003	1.506723e-002	9.500000e+000	3.013447e-004
1.000443523060418e-003	1.933573e-002	9.500000e+000	3.867146e-004
1.000590548982525e-003	2.466755e-002	9.500000e+000	4.933510e-004
1.000861364000293e-003	3.359143e-002	9.500000e+000	6.718286e-004
1.001402994035829e-003	4.895367e-002	9.500000e+000	9.790735e-004
1.002129040563907e-003	6.572527e-002	9.500000e+000	1.314505e-003
1.002849345167540e-003	7.857665e-002	9.500000e+000	1.571533e-003
1.003607830481294e-003	8.879364e-002	9.500000e+000	1.775873e-003
1.004258701211177e-003	9.557726e-002	9.500000e+000	1.911545e-003
1.004615601482157e-003	9.855627e-002	9.500000e+000	1.971126e-003
1.004924346740994e-003	1.007074e-001	9.500000e+000	2.014149e-003
1.005271876610475e-003	1.027746e-001	9.500000e+000	2.055493e-003
1.005742494095113e-003	1.050647e-001	9.500000e+000	2.101294e-003
1.006504797736089e-003	1.078629e-001	9.500000e+000	2.157258e-003
1.007504797736089e-003	1.103633e-001	9.500000e+000	2.207266e-003
1.008504797736089e-003	1.118491e-001	9.500000e+000	2.236982e-003
1.009504797736089e-003	1.125742e-001	9.500000e+000	2.251484e-003
1.010504797736089e-003	1.127891e-001	9.500000e+000	2.255782e-003
1.011504797736089e-003	1.126637e-001	9.500000e+000	2.253274e-003
1.012504797736089e-003	1.123120e-001	9.500000e+000	2.246241e-003
1.013504797736089e-003	1.118184e-001	9.500000e+000	2.236369e-003
1.014114688918994e-003	1.114666e-001	9.500000e+000	2.229332e-003
1.014437432074470e-003	1.112648e-001	9.500000e+000	2.225296e-003
1.014789525340523e-003	1.110354e-001	9.500000e+000	2.220707e-003
1.015221674123501e-003	1.107463e-001	9.500000e+000	2.214927e-003
1.015660843527233e-003	1.104481e-001	9.500000e+000	2.208961e-003
1.016373087381899e-003	1.099835e-001	9.500000e+000	2.199670e-003
1.017373087381899e-003	1.094981e-001	9.500000e+000	2.189962e-003
1.018268153439866e-003	1.096738e-001	9.500000e+000	2.193475e-003
1.019225893580854e-003	1.114381e-001	9.500000e+000	2.228762e-003
1.020098784853277e-003	1.151489e-001	9.500000e+000	2.302978e-003
1.020591720913424e-003	1.186181e-001	9.500000e+000	2.372362e-003
1.021065105867133e-003	1.231456e-001	9.500000e+000	2.462912e-003
1.021487215551808e-003	1.280298e-001	9.500000e+000	2.560596e-003
1.021891710229999e-003	1.335932e-001	9.500000e+000	2.671863e-003
1.022700699586381e-003	1.465896e-001	9.500000e+000	2.931791e-003
1.023489366129858e-003	1.610703e-001	9.500000e+000	3.221407e-003
1.024108832499615e-003	1.737252e-001	9.500000e+000	3.474505e-003
1.024433032663938e-003	1.808465e-001	9.500000e+000	3.616931e-003
1.025219684660743e-003	1.994558e-001	9.500000e+000	3.989116e-003
1.025657607051039e-003	2.104852e-001	9.500000e+000	4.209703e-003
1.026367860822540e-003	2.293193e-001	9.500000e+000	4.586386e-003
1.027367860822540e-003	2.572782e-001	9.500000e+000	5.145564e-003
1.028367860822540e-003	2.867224e-001	9.500000e+000	5.734447e-003
1.029367860822540e-003	3.175361e-001	9.500000e+000	6.350721e-003
1.030367860822540e-003	3.494939e-001	9.500000e+000	6.989877e-003
1.031367860822540e-003	3.824048e-001	9.500000e+000	7.648097e-003
1.033367860822540e-003	4.504274e-001	9.500000e+000	9.008547e-003
1.034742071205329e-003	4.984620e-001	9.500000e+000	9.969240e-003
1.036326520269092e-003	5.549097e-001	9.500000e+000	1.109819e-002
1.037326520269092e-003	5.909143e-001	9.500000e+000	1.181829e-002
1.038326520269092e-003	6.271315e-001	9.500000e+000	1.254263e-002
1.039326520269092e-003	6.635364e-001	9.500000e+000	1.327073e-002
1.040326520269092e-003	7.000886e-001	9.500000e+000	1.400177e-002
1.041326520269092e-003	7.367539e-001	9.500000e+000	1.473508e-002
1.042326520269092e-003	7.735043e-001	9.500000e+000	1.547009e-002
1.044386303539184e-003	8.493701e-001	9.500000e+000	1.698740e-002
1.046784639151993e-003	9.379622e-001	9.500000e+000	1.875924e-002
1.049182974764802e-003	1.026415e+000	9.500000e+000	2.052830e-002
1.051581310377611e-003	1.114729e+000	9.500000e+000	2.229458e-002
1.053979645990419e-003	1.202903e+000	9.500000e+000	2.405806e-002
1.056377981603228e-003	1.290938e+000	9.500000e+000	2.581877e-002
