Vin	Iin	Vo	Rl
1	0.6	0.411	995
2.01	3.1	1.391	995
3	5.5	2.276	995
4	7.9	3.214	995
5	10.2	4.19	995
6.01	12.17	4.95	995
7.01	13.16	4.95	995
8.02	14.18	4.96	995
9	15.16	4.96	995
10.01	16.17	4.96	995
11.04	17.19	4.96	995
12.01	18.17	4.96	995
13.03	19.18	4.96	995
14.04	20.19	4.96	995
15.03	21.19	4.96	995
16.02	22.16	4.96	995
17.03	23.18	4.96	995
18.02	24.17	4.96	995
19	25.16	4.97	995
20	26.15	4.97	995
21.01	27.17	4.97	995
22.01	28.17	4.97	995
23.03	29.18	4.97	995
24.01	30.17	4.97	995
25.01	31.17	4.97	995
26.03	32.20	4.97	995
27.01	33.18	4.98	995
28.02	34.19	4.98	995
29.03	35.20	4.98	995
30.01	36.18	4.98	995
