Vin	Iin	Vo	Rl
1.088	0.0023	0.444	218.8
1.984	0.0077	1.316	218.8
3.02	0.0135	2.226	218.8
3.98	0.019	3.134	218.8
5.05	0.025	4.15	218.8
6.04	0.0299	4.95	218.8
7	0.0309	4.95	218.8
8.03	0.0319	4.96	218.8
9	0.0329	4.96	218.8
10.02	0.0339	4.96	218.8
11.01	0.0349	4.96	218.8
12.01	0.0359	4.96	218.8
13	0.037	4.96	218.8
14.02	0.038	4.96	218.8
15.01	0.039	4.96	218.8
16.02	0.040	4.96	218.8
17	0.041	4.96	218.8
18.02	0.042	4.96	218.8
19.02	0.043	4.97	218.8
20.03	0.0441	4.97	218.8
21	0.0451	4.97	218.8
22.05	0.0461	4.97	218.8
23	0.0471	4.97	218.8
23.99	0.0481	4.97	218.8
25	0.0491	4.97	218.8
26.01	0.0502	4.97	218.8
27.03	0.0512	4.98	218.8
28.01	0.0522	4.98	218.8
29.01	0.0532	4.98	218.8
30.03	0.0542	4.98	218.8
